Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Means to displeasing Bhagwān | Vachanāmrut Gaḍhaḍā III-21,"I do not like even the sight of one who speaks negative of a devotee of God before Me. In fact, I do not enjoy food or water offered by a person who perceives flaws in a devotee of God.",અને અમારી આગળ જે કોઈ ભગવાનના ભક્તનું ઘસાતું બોલે તે તો અમને દીઠો જ ગમે નહીં. અને જે ભગવાનના ભક્તનો અવગુણ લેતો હોય તેના હાથનું તો અન્ન-જળ પણ ભાવે નહીં.,Ane amārī āgaḷ je koī Bhagwānnā bhaktnu ghasātu bole te to amne dīṭhoj game nahī. Ane je Bhagwānnā bhaktano avguṇ leto hoy tenā hāthnu to anna-jaḷ paṇ bhāve nahī.,https://baps.box.com/shared/static/2f63errus7hrht2lezbz5vzxtvfycze7.mp3,Vachanāmrut Gaḍhaḍā III-21,Means to displeasing Bhagwān
Detrimental to Personal Satsang & Moksha | Vachanāmrut Gaḍhaḍā I-28,"When a satsangi is likely to regress in the Satsang fellowship, vicious desires steadily flourish within him. At first, he begins to perceive flaws in all of the satsangis day by day.",જે સત્સંગી સત્સંગમાંથી પાછો પડવાનો હોય તેને અસદ્‍વાસનાની વૃદ્ધિ થાય છે ને તેને પ્રથમ તો દિવસે દિવસે સત્સંગીમાત્રનો અવગુણ આવે છે. ,Je satsangī satsangmāthī pāchho paḍvāno hoy tene asadvāsanānī vṛuddhi thāy chhe ne tene pratham to divase divase satsangī mātrano avguṇ āve chhe. ,https://baps.box.com/shared/static/fppxeanprgx4pgoisnc88f03njj1d928.mp3,Vachanāmrut Gaḍhaḍā I-28,Detrimental to Personal Satsang & Moksha
Detrimental to Personal Satsang & Moksha | Purushottam Bolyā Prite 3,"In Mankuva, Shri Hari said, “The sādhus and devotees are the form of Akshardhām. if one develops abhav (dislike) for them, then one who takes abhav is not able to enter Akshardhām. Even if all the sādhus and devotees help him, he is unable to attain Akshardhām. The fault of taking abhav is the greatest fault of all.","માનકુવામાં વાત કરતાં શ્રીહરિએ કહ્યું, “સંતો હરિભક્તો અક્ષરધામનું સ્વરૂપ છે. જો તેનો અભાવ આવે તો અભાવ લેનારો અક્ષરધામમાં જઈ શકતો નથી. તેની સહાય બધા સંતો કરે, હરિભક્તો કરે તોય તેને ધામ મળતું નથી. અભાવનો દોષ બધા દોષોથી અધિક છે.”","Mānkuvāmā vāt kartā Shrī Harie kahyu, “Santo haribhakto Akṣhardhāmnu swarūp chhe. Jo teno abhāv āve to abhāv lenāro Akṣhardhāmmā jaī shakto nathī. Tenī sahāy badhā santo kare, haribhakto kare toy tene dhām maḷtu nathī. Abhāvno doṣh badhā doṣhothī adhik chhe.” ",https://baps.box.com/shared/static/s8sl2enynhmhrqrm34p9bb2h3jnm6p5s.mp3,Purushottam Bolyā Prite 3,Detrimental to Personal Satsang & Moksha
Detrimental to Personal Satsang & Moksha | Swāmini Vāt 2/132,"Serve according to one’s own faith, but never do disservice. What is that disservice? To perceive faults in others.","સેવા તો પોતાની શ્રદ્ધા પ્રમાણે થાય તે કરવી, પણ અસેવા તો ન જ કરવી. તે અસેવા તે શું જે, અવગુણ લેવો.","Sevā to potānī shraddhā pramāṇe thāy te karvī, paṇ asevā to naj karvī. Te asevā te shu je, avguṇ levo. ",https://baps.box.com/shared/static/c9unl5fz8umixocfrmk093odzdc6zd8k.mp3,Swāmini Vāt 2/132,Detrimental to Personal Satsang & Moksha
Detrimental to Personal Satsang & Moksha | Yogi Gita,"In Satsang, if one is untouched by the sour taste of fault-finding, then the bliss of Satsang tastes as sweet as a Kesar mango. So, see all devotees and sādhus as divine, have nirdosh buddhi towards all. If this is done,then there is nothing more left to know or do. ",સત્સંગમાં અભાવ અવગુણરૂપ ખટાશ ન આવે તો સત્સંગનું  સુખ કેસર કેરી જેવું ગળ્યું આવે. માટે સંતો ને હરિભક્તોમાં દિવ્યભાવ રાખવો નિર્દોષબુદ્ધિ રાખવી જો તેમ રહે તો કરવાનું જાણવાનું કાંઈ બાકી રહેતું નથી  ,Satsangamā abhāv avguṇrūp khaṭāsh na āve to satsanganu  sukh kesar kerī jevu gaḷyu āve. Māṭe santo ne haribhaktomā divyabhāv rākhvo nirdoṣhabuddhi rākhavī jo tem rahe to karvānu jāṇavānu kāī bākī rahetu nathī,https://baps.box.com/shared/static/mlismxu4ybijdms8vqkksudytdoj4htn.wav,Yogi Gita,Detrimental to Personal Satsang & Moksha
Solution to Abhāv-avguṇ | Vachanāmrut Kāriyāni-9,"A person who possesses the bhakti of God in his heart and realises the greatness of God would never find a fault in a devotee of God, and he would never develop a spiteful obstinacy towards a devotee of God. ",જેના હૈયામાં ભગવાનની ભક્તિ હોય ને ભગવાનનો મહિમા જાણતો હોય તેને ભગવાનના ભક્તનો અવગુણ આવે નહીં અને ભગવાનના ભક્ત ઉપર રીસની આંટી બંધાય જ નહીં. ,Jenā haiyāmā Bhagwānnī bhakti hoy ne Bhagwānno mahimā jāṇato hoy tene Bhagwānnā bhaktano avaguṇ āve nahī ane Bhagwānnā bhakta upar rīsnī ānṭī bandhāyj nahī. ,https://baps.box.com/shared/static/jwz534r4w6d5l3j39bb81jgg4hje0qf7.mp3,Vachanāmrut Kāriyāni-9,Solution to Abhāv-avguṇ
Solution to Abhāv-avguṇ | Swāmini Vāt 2/18,"When a flaw of a devotee is noticed, then think of his virtues so that thoughts of the flaw are eliminated. Just as, if five soldiers have come to fight and if fifty come to oppose them, they will certainly throw out the five. Similarly, there are many virtues and by thinking of them the few faults are discarded. And if a devotee has many faults, he will not be able to stay in Satsang. ","ભગવાનના ભક્તનો અવગુણ આવે ત્યારે તેમાં ગુણ હોય તે વિચારવા, તો તે અવગુણ ટળી જાય, જેમ પાંચ લડવા આવ્યા હોય તે સામા પચાસ આવે તો તેને હઠાવી દિયે; તેમ ગુણ તો ઘણાય હોય તે વિચારવા, તો દોષ થોડા હોય તે ટળી જાય; ને જો દોષ ઝાઝા હોય તો સત્સંગમાં રહેવાય નહિ.","Bhagwānnā bhaktano avguṇ āve tyāre temā guṇ hoy te vichārvā, to te avguṇ ṭaḷī jāy, jem pāch laḍvā āvyā hoy te sāmā pachās āve to tene haṭhāvī diye; tem guṇ to ghaṇāy hoy te vichārvā, to doṣh thoḍā hoy te ṭaḷī jāy; ne jo doṣh jhājhā hoy to satsangmā rahevāy nahi. ",https://baps.box.com/shared/static/wl67jlel0xvfvqws7v1s8qxuan0iq31i.mp3,Swāmini Vāt 2/18,Solution to Abhāv-avguṇ
Solution to Abhāv-avguṇ | Sākhi - Nishkuḷānand Swāmi,"When an illusionist does the magic rope trick, the whole town gathers to see him.  However he does not look at others and if he does so then he may fail.  In the same way when one does bhakti, one should not look at others flaws.  However if one does look at others flaws, they will regret doing so.
","જેમ નટ ચડે વળી વાંસળે,  જોવા મળે  સઘળું ગામ
પણ નટ ન જુવે કોઈને, જો જુવે તો બગડે કામ ॥૪॥
તેમ ભક્તિ કરતાં ભક્તને, નવ જોવા દોષ અદોષ ।
ગુણ અવગુણ કેના ગોતતાં, અતિ થાય અપશોષ ॥૫॥
","Jem naṭ chaḍe vaḷī vānsaḷe,  jovā maḷe  saghaḷu gām
Paṇ naṭ na juve koīne, jo juve to bagaḍe kām ॥4॥
Tem bhakti karatā bhaktane, nav jovā doṣh adoṣh ।
Guṇ avguṇ kenā gotatā, ati thāy apshoṣh ॥5॥
",https://baps.box.com/shared/static/6kz8akjpnj7qca48s3o350q2rf0mnzbh.mp3,Sākhi - Nishkuḷānand Swāmi,Solution to Abhāv-avguṇ
Solution to Abhāv-avguṇ | Satsang Dikshā Shloka 226,"One should avoid the company of those who perceive drawbacks in devotees, speak only ill of others, are wilful or disobey the guru. ","જે મનુષ્ય ભક્તોમાં દોષ જોનાર, અવગુણની જ વાતો કરનાર, મનસ્વી અને ગુરુદ્રોહી હોય તેનો સંગ ન કરવો. ","Je manuṣhya bhaktomā doṣh jonār, avguṇnīj vāto karnār, manasvī ane gurudrohī hoy teno sang na karvo. ",https://baps.box.com/shared/static/ojnu8icu98kf1do9o0ge7o9kizfsqzcm.mp3,Satsang Dikshā Shloka 226,Solution to Abhāv-avguṇ
Prasang,"Mahant Swāmi Mahārāj
October 9, 2018 - Bhavnagar. After eating dinner, Swāmishri went into his room. ātmāswarup Swāmi said, “Swāmi! The kishores from London have asked which four qualities are necessary for one to attain Akshardhām?”
 
Swāmishri, pleased with their question, replied, “One, remove abhāv-avguṇ from its roots. One should not even touch it (refrain from taking avguṇ)...then, divyabhāv...third, mahimā...and finally, dāsno dās.”
",,,https://baps.box.com/shared/static/ewrv85dz2tqveq7wy7ujoayufuyge3m0.mp3,Prasang,"Solution to Abhāv-avguṇ
"
