Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Benefits of Following Āgnā | Swamini Vat 1/119,If a true God-realized Sadhu is attained and one does as he says then the failings that would have taken tens of millions of births to overcome are overcome today and one becomes brahmrup. ,"કોટિ જન્મે કસર ટળવાની હોય તે આજ ટળી જાય ને બ્રહ્મરૂપ કરી મૂકે, જો ખરેખરા સાધુ મળે ને તે કહે તેમ કરે તો.","Koṭi janme kasar ṭaḷvānī hoy te āj ṭaḷī jāy ne brahmarūp karī mūke, jo khare-kharā sādhu maḷe ne te kahe tem kare to. ",https://baps.box.com/shared/static/lmksp3w021ff4esw1o5c52h0r5541l4z.mp3,Swamini Vat 1/119,Benefits of Following Āgnā
Benefits of Following Āgnā | Vachanamrut Karyani-11,"Wherever such a devotee goes by God’s command, the form of God also goes with him. Moreover, just as that devotee cannot remain without God, in exactly the same way, God also cannot remain without that devotee. In fact, He does not leave the heart of that devotee even for a fraction of a second.", તે ભક્ત ભગવાનની આજ્ઞાએ કરીને જ્યાં જ્યાં જાય છે ત્યાં ત્યાં ભગવાનની મૂર્તિ પણ એ ભક્ત ભેળી જ જાય છે. ને જેમ એ ભક્તને ભગવાન વિના રહેવાતું નથી તેમ જ ભગવાનને પણ એ ભક્ત વિના રહેવાતું નથી અને એ ભક્તના હૃદામાંથી આંખ્યનું મટકું ભરીએ એટલી વાર છેટે રહેતા નથી.,Te bhakta Bhagwānnī āgnāe karīne jyā jyā jāy chhe tyā tyā Bhagwānnī mūrti paṇ e bhakta bheḷīj jāy chhe. Ne jem e bhaktane Bhagwān vinā rahevātu nathī temaj Bhagwānne paṇ e bhakta vinā rahevātu nathī ane e bhaktanā hṛudāmāthī ākhyanu maṭku bharīe eṭlī vār chheṭe rahetā nathī. ,https://baps.box.com/shared/static/l6bvugdl7vboehi6za7ydnhhj3d5mi7x.mp3,Vachanamrut Karyani-11,Benefits of Following Āgnā
Benefits of Following Āgnā | Vachanamrut Gadhada I-34,"When one ignores the injunctions of God and begins to stray away from them, one suffers. On the other hand, if one acts according to those injunctions, one will experience the true bliss of God.",પરમેશ્વરના વચનને મૂકીને જ્યારે આડો-અવળો ડોલે છે ત્યારે ક્લેશને પામે છે અને જો વચનને વિષે રહે તો જેવો ભગવાનનો આનંદ છે તેવા આનંદમાં રહે છે ,Parameshwarnā vachanne mūkīne jyāre āḍo-avaḷo ḍole chhe tyāre kleshne pāme chhe ane jo vachanne viṣhe rahe to jevo Bhagwānno ānand chhe tevā ānandmā rahe chhe.,https://baps.box.com/shared/static/rono78qvy3jhzv101y1uqyvbfysyq3q1.mp3,Vachanamrut Gadhada I-34,Benefits of Following Āgnā
Benefits of Following Āgnā | Vachanamrut Gadhada II-51,"Only one who follows the commands of the Satpurush can be said to be under the influence of favorable circumstances. To deviate from those commands is the very definition of adverse circumstances. Therefore, only one who follows the commands of the Satpurush is behaving as the ātmā. ","સત્પુરુષની આજ્ઞા પ્રમાણે જે રહે છે, તે જ રૂડાં દેશકાળાદિકને વિષે રહ્યો છે અને જે સત્પુરુષની આજ્ઞાથી બહાર પડ્યો તે જ તેને ભૂંડાં દેશકાળાદિકનો યોગ થયો છે. માટે સત્પુરુષની આજ્ઞાને વિષે વર્તે છે તે જ આત્મસત્તારૂપે વર્તે છે.","Satpuruṣhnī āgnā pramāṇe je rahe chhe, tej rūḍā desh-kāḷādikne viṣhe rahyo chhe ane je satpuruṣhnī āgnāthī bahār paḍyo tej tene bhūnḍā desh-kāḷādikno yog thayo chhe. Māṭe satpuruṣhnī āgnāne viṣhe varte chhe tej ātmasattārūpe varte chhe. ",https://baps.box.com/shared/static/wlcfazxuzpw9mcs70dclvbc7rxf4g2tl.mp3,Vachanamrut Gadhada II-51,Benefits of Following Āgnā
How to follow Āgnā | Swamini Vat 5/136,"Greatness lies in knowing Maharaj as Purushottam and observing his commands. When God is manifest everyone follows his will, but when he is at a distance and one still follows his commands properly, then one is a true devotee. ", મોટાઈ તો મહારાજને પુરુષોત્તમ જાણે ને આજ્ઞા પાળે તેની છે. પ્રગટ હોય ત્યારે સર્વે આજ્ઞા પાળે પણ છેટે ગયા પછી પછવાડેથી આજ્ઞા બરાબર પાળે તે ખરા. ,Moṭāī to Mahārājne Puruṣhottam jāṇe ne āgnā pāḷe tenī chhe. Pragaṭ hoy tyāre sarve āgnā pāḷe paṇ chheṭe gayā pachhī pachhvāḍethī āgnā barābar pāḷe te kharā.  ,https://baps.box.com/shared/static/dqfrvkxgtmeyibzvhoiqlbce6mb0w9a8.mp3,Swamini Vat 5/136,How to follow Āgnā
How to follow Āgnā | Sākhi - Nishkulanand Swami,"The peacock grasps the tear drop of the peahen before it  touches the ground, a peacock is conceived, but if it hits the ground  and then the peacock grasps the tear drop, a peahen is conceived. (29-8)
The essence of the above is that, in the same way if you grasp the  word of our beloved Mahārāj, then you will attain ultimate liberation.  [If, you can grasp the words of God like the peacock grasps the tear  drop before it falls on the floor, then you will have pleased Him]. (29-9)"," જેમ મોરપત્ની બિંદુ આવતાં, રત્યે લિયે છે રસે ભરેલડાં ॥
તેનો મયૂર થાય તદવત, થાય પડતાં બિંદુના ઢેલડાં ॥૮॥ 
તેમ આવતાં વચન વા’લાતણાં, ગ્રહી લિયે નર ગરજું થઈ ॥
તે પૂરણ પામે પ્રાપતિ, ફરી ફેરવણી રહે નઈ ॥૯॥","Jem mor-patni bindu āvatā, Rate liye chhe rase bharelaḍā |  
Teno mayur thāya tadavat, Thāy paḍatā bindunā ḍhelaḍā || (29-8)
Tem āvatā vachan vā’lā taṇā, Grahi liye nar garaju thai |  
Te puraṇ pāme prāpati, Fari feravaṇi rahe nai || (29-9) 
",https://baps.box.com/shared/static/pyarqbback4sml8h2sidf46dc35mumlc.mp3,Sākhi - Nishkulanand Swami,How to follow Āgnā
How to follow Āgnā | Sakhi - Nishkulanand Swami,"Only one who rejects the wishes of the mind, and remains within agna can be considered a true disciple, others are simply troublemakers","મનગમતું મેલી કરી, રહે આજ્ઞાને અનુસાર
તે જ શિષ્ય સાચા ખરા, બીજા સર્વે સંતાપનાર","Mangamtu melī karī, rahe āgnāne anusāra
Te j shiṣhya sāchā kharā, bījā sarve santāpanāra",https://baps.box.com/shared/static/e9jwsuxyvwqu2julhi49902bbnot46d4.wav,Sakhi - Nishkulanand Swami,How to follow Āgnā
How to follow Āgnā | Satsang Diksha Shlok 143–144,"One should always obey the commands of Bhagwān and the Brahmaswarup guru. One should realize their inner wishes and firmly abide by them. Their instructions should be followed without laziness, immediately, and always with joy, enthusiasm, mahimā and an eagerness to please them. ","ભગવાન અને બ્રહ્મસ્વરૂપ ગુરુની આજ્ઞાનું સદાય પાલન કરવું. તેમની અનુવૃત્તિ જાણીને તેને દૃઢપણે અનુસરવું. તેમની આજ્ઞા આળસ વગેરે મૂકીને પાળવી, તરત પાળવી; સદા આનંદ, ઉત્સાહ અને મહિમા સાથે તેમને રાજી કરવાના ભાવથી પાળવી.","Bhagwān ane brahmaswarūp gurunī āgnānu sadāy pālan karvu. Temnī anuvṛutti jāṇīne tene dṛaḍhpaṇe anusarvu. Temnī āgnā āḷas vagere mūkīne pāḷvī, tarat pāḷvī; sadā ānand, utsāh ane mahimā sāthe temne rājī karvānā bhāvthī pāḷvī. ",https://baps.box.com/shared/static/a5im0vbscnmz3n7f9klzgo2m27thl77o.mp3,Satsang Diksha Shlok 143–144,How to follow Āgnā
How to follow Āgnā | Kirtan - Mel man tāṇ grahī vachan gurudevnu - Muktanand Swami,"Leave the calling of the mind and accept the commands of the Guru. Serve that true and pure form.
You do infinite endeavours according to the mind’s calling,  but it is all raw without the command of the Sadguru (Guru)"," મેલ મન તાણ ગ્રહી વચન ગુરુદેવનું, સેવ તું રૂપ એ શુદ્ધ સાચું;
મનમત્ત થઈને તું કોટિ સાધન કરે, સદ્‍ગુરુ શબ્દ વિણ સર્વે કાચું... ૧","Mel man tāṇ grahī vachan gurudevnu,
Sev tu rūp e shuddh sāchu;
Manamatta thaīne tu koṭi sādhan kare,
 Sadguru shabda viṇ sarve kāchu... 1
",https://baps.box.com/shared/static/ffloizgdidylrk5g6mzh4mx9uru6s07z.mp3,Kirtan - Mel man tāṇ grahī vachan gurudevnu - Muktanand Swami,How to follow Āgnā
Prasang,"October 21, 2017 | Junagadh 

Mahant Swami Maharaj remembered an incident with Yogiji Maharaj; 

‘One day, I did an upvaas (waterless fast) in the presence of Yogiji Maharaj. The following day, after doing darshan of Thakorji in the morning and bowing to Yogiji Maharaj, I was ready to break the fast. However, Yogiji Maharaj then came to bow to us. Yogiji Maharaj said, “Guru, āje upvās kari lyo! (Guru, fast today! Maharaj will be very happy.)” This was another fast. On the third day, I went again to do darshan of Thakorji and thereafter approached Yogiji Maharaj. Yogiji Maharaj said,”Āje upvās karo to Swāmi bahu rāji thashe. (If you do upvaas today, Swami will be very happy)”. In this way, this happened for 5 days. From Yogiji Maharaj’s agna, I did 5 continuous waterless fasts. Swamishri thought, what will happen now on the 6th day?

Yogiji Maharaj showed much raajipo. He himself made lemonade for Mahant Swami Maharaj.",,,https://baps.box.com/shared/static/au7fn8qrii0pdr28u6r7q0ugwcs5sl1m.mp3,,How to follow Āgnā
