Title (OPTIONAL),English Content,Gujurati Content,Transliteration Content,Audio URL
Importance of Akshar-Purushottam Sidhant,"Brahmavidya is that by which Akshar [Aksharbrahman] and Purush [Purushottam] are thoroughly known.(Mundaka Upanishad - 1/2/13)

Therefore, the desire to know Brahman now commences. (Brahmasutra - 1/1/1)","યેનાડ​ક્ષરં પુરુષં વેદ સત્યં પ્રોવાચ તાં તત્ત્વતો બ્રહ્મ-વિધામ્ I

અથાતો બ્રહ્મ-જિજ્ઞાસા","‘Yenā’Ksharam Purusham Veda / Satyam provācha / Tām Tattvato Brahma-Vidyām

‘Athāto Brahma-Jignāsā |’",
The Glory of Aksharbrahma,"One who knows Aksharbrahman [becomes brahmarup] attains Parabrahma.(Taittiriya Upanishad, Anandvalli - 1)

Aksharbrahman is true, the form of knowledge, and endless. (Taittiriya Upanishad, Anandvalli)

From this Akshar, the entire world is created. (Mundaka Upanishad - 1/2/17)

O Gārgi, Under the control of this Aksharbrahman, the sun and the moon remain unstable. (Bruhadaranyaka Upanishad - 3/8/9)

This Aksharbrahman is the best support. This Aksharbrahman is the highest support. Upon knowing this support in the form of Aksharbrahman, one attains great bliss in Brahmalok [Akshardham]. (Katha Upanishad - 2/17)

In the divine Brahmapur [Akshardham] resides Aksharbrahman, the life-force of all beings. He is embodied with a divine mind, pran, form, etc. (Mundaka Upanishad - 2/2/7)

Gārgi! Those who die within this realm without realising this Aksharbrahman are miserable and pitiful. Believe that their birth has gone to waste. On the other hand, Gārgi! Only those who depart this world having realized this Akshar are the ones who truly understand Brahmavidya (Bruhadāranyaka Upanishad - 3/8/10)","ૐ બ્રહ્મવિદાપ્નોતિ પરમ્ I

સત્યં જ્ઞાનમનન્તં બ્રહ્મ l

અક્ષરાત્ સમ્ભવતીહ વિશ્વમ્ I

એતસ્ય વા અક્ષરસ્ય પ્રશાસને ગાર્ગિ સૂર્યાચન્દ્રમસૌ વિધૃતૌ તિષ્ઠતઃ I એતસ્ય વા અક્ષરસ્ય પ્રશાસને ગાર્ગિ દ્યાવાપૃથિવ્યૌ વિઘૃતે તિષ્ઠતઃ I

એતદાલમ્બનં શ્રેષ્ઠમ્ એતદાલમ્બનં પરમ્ Iએતદાલમ્બનં જ્ઞાત્વા બ્રહ્મલોકે મહીયતે II 

દિવ્યે બ્રહ્મપુરે હ્યેષ વ્યોમ્ન્યાત્મા પ્રતિષ્ઠિત: l મનોમય: પ્રાણશરીરનેતા ll

યો વા એતદ્ અક્ષરં ગાર્ગિ અવિદિત્વા અસ્માદ્ લાેકાત્ પ્રૈતિ સ કૃપણ: Iઅથ ય: એતદ્ અક્ષરં ગાર્ગિ વિદિત્વા અસ્માદ્ લાેકાત્ પ્રૈતિ સ: બ્રાહ્મણ: II","Om Brahma-Vid-āpnoti Param |

Satyam Gnānam-Anantam Brahma |

Aksharāt Sambhavateeha Vishvam |

Etasya Vā Aksharasya Prashāsane Gārgi / Suryā-Chandram-Asau Vidhrutau Tishṭhataha | Etasya Vā Aksharasya Prashāsane Gārgi / Dyāvā-Pruthivyau Vidhrute Tishṭhataha |

Etadālambanam Shreshṭham / Etadālambanam Param |Etadālambanam Gnātvā / Brahmaloke Mahiyate ||

Divye Brahmapure Hyesha Vyom-Nyātmā / Pratishṭhitaha |  / Manomayaha Prāṇa-Sharira-Netā ||

Yo Vā Etad-Aksharam Gārgi / Aviditvāsmād-Lokāt-Praiti / Sa Krupaṇaha | Atha yah Etad-Aksharam Gārgi / Viditvāsmād-Lokāt-Praiti / Sa Brāhmaṇaha ||",
The Glory of Parabrahma,"Purushottam is superior to even Aksharbrahman, who is superior to all else.(Mundaka Upanishad - 2/1/2)

Nobody is superior to Purushottam. He is the ultimate entity. He is the highest attainment. (Katha Upanishad - 3/11)

Those free of desires worship this Purushottam and transcend maya.(Mundaka Upanishad - 3/2/1)","અક્ષરાત્ પરતઃ પર: I

પુરુષાન્ન પરં કિંચિત્ l સા કાષ્ઠા સા પરા ગતિ: I

ઉપાસતે પુરુષં યે હ્યકામાસ્તે શુક્રમેતદતિવર્તન્તિ ધીરા: I",‘Aksharāt-Parataha Paraha |’,
Need of Becoming Brahmarup,"One who becomes Brahmarup,becomes internally fulfilled. He never laments nor has any material desires. He treats all as equal and attains supreme devotion to God.(Bhagavad Gita - 18/54)

To attain this Brahmavidhya one should surrender to a guru who is well versed in the shastras, is Aksharbrahman himself and has conviction in Parabrahman.(Mundaka Upanishad - 1/2/12)

This Aksharbrahman is a bridge for those who desire to cross the ocean of sansar [maya]. Nachiketa! With its help, one overcomes sansar, reaches Akshardham and attains Paramatma. (Katha Upanishad - 3/2)

In the same way that one offers supreme devotion to Parabrahman if one offers such devotion to the guru then all the wisdom of the Upanishads enlightens one’s heart. (Shvetashvatara Upanishad - 6/23)","બ્રહ્મભૂતઃ પ્રસન્નાત્મા ન શોચતિ ન કાંક્ષતિ । સમઃ સર્વેષુ ભૂતેષુ મદ્‍ભક્તિં લભતે પરામ્ ॥

તદ્ વિજ્ઞાનાર્થં સ ગુરુમેવાભિગચ્છેત્ સમિત્પાણિ: શ્રોત્રિયં બ્રહ્મ નિષ્ઠમ્ I

યઃ સેતુરીજાનાનામ્ અક્ષરં બ્રહ્મ યત્ પરમ્ I અભયં તિતીર્ષતાં પારં નાચિકેતં શકેમહિ ll

યસ્ય દેવે પરા ભક્તિર્યથા દેવે તથા ગુરૌ । તસ્યૈતે કથિતા હ્યર્થાઃ પ્રકાશન્તે મહાત્મનઃ  II","Brahma-Bhootaha Prasannātmā / Na Shochati Na Kānkshati | Samaha Sarveshu Bhuteshu / Madbhaktim Labhate Parām ||

Tad Vignān-ārtham / Sa gurum-evābhigachhet samitpānihi / Shrotriyam brahma nishṭham ||

Yaha seturee-jānānām / Aksharam Brahma yat param | Abhayam titeershatām pāram / Nāchiketam shakemahi ||

Yasya deve parā bhaktir / Yathā deve tathā gurau | Tasyaite kathitā hyarthāha / Prakāshante mahātmanaha ||",
Akshar-Purushottam Siddhānt in the Swāminārāyaṇ Sampradāy,"Glory to the Lord of Akshar ! Glory to Sahajanand Swami!
The Lord of all performers God is Ghanshyam. 
He is also known Lord Swāminārāyaṇ,... 1
Gunatitanand Swami is the true form of Akshar, Sahajanand Swami is the one and only Supreme God.
If one has this understanding and chants His name, one will
go to Akshardham…. 2
Swāminārāyaṇ Bhagwān travelled far and beyond in the form of Pramukh Swami Maharaj. Today for the liberation of infinite jivas he is travelling in the form of Mahant Swami Maharaj. ….3

","જય અક્ષરપતિ પુરુષોત્તમ, જય જય સ્વામી સહજાનંદ;
નારાયણ નટવર ઘનશ્યામ, સ્વામિનારાયણ ભગવાન... ૧
ગુણાતીતાનંદ સ્વામી મૂળ અક્ષર, સહજાનંદ એક પરમેશ્વર;
એમ સમજીને લેશે નામ, તે તો જાશે અક્ષરધામ... ૨
સ્વામિનારાયણ ભગવાન, પ્રમુખસ્વામીમાં વિચર્યા અપાર;
પ્રમુખસ્વામીમાં વિચર્યા અપાર, મહંત સ્વામીમાં વિચરે આજ;
મહંત સ્વામીમાં વિચરે આજ, અનેક જીવોનાં કલ્યાણ કાજ... ૩
","Jay Akṣharpati Puruṣhottam, jay jay Swāmī Sahajānand;
Nārāyaṇ Naṭvar Ghanshyām, Swāminārāyaṇ Bhagwān... 1
Guṇātītānand Swāmī Mūḷ Akṣhar, Sahajānand ek Parameshvar;
Em samajīne leshe nām, te to jāshe Akṣhardhām... 2
Swāminārāyaṇ Bhagwān, Pramukh Swāmīmā vicharyā apār;
Pramukh Swāmīmā vicharyā apār, Mahant Swāmīmā vichare āj;
Mahant Swāmīmā vichare āj, anek jīvonā kalyāṇ kāj... 3
(Dhun)
",
Akshar-Purushottam Siddhānt in the Swāminārāyaṇ Sampradāy,"One possessing the highest level of ‘nirvikalp faith’ realizes that countless millions of universes, each encircled by the eight barriers appear like mere atoms before Akshar. Such is the greatness of Akshar, the abode of Purushottam Nārāyan. One who worships Purushottam realizing oneself to be aksharrup can be said to possess the highest level of ‘nirvikalp faith’. ","અષ્ટાવરણે યુક્ત એવાં જે કોટિ કોટિ બ્રહ્માંડ તે જે અક્ષરને વિષે અણુની પેઠે જણાય છે, એવું જે પુરુષોત્તમ નારાયણનું ધામરૂપ અક્ષર તે રૂપે પોતે રહ્યો થકો પુરુષોત્તમની ઉપાસના કરે, તેને ઉત્તમ નિર્વિકલ્પ નિશ્ચયવાળો કહીએ. ","Aṣhṭāvarṇe yukta evā je koṭi koṭi brahmānḍ te je Akṣharne viṣhe aṇunī peṭhe jaṇāy chhe, evu je Puruṣhottam Nārāyaṇnu dhāmrūp Akṣhar te rūpe pote rahyo thako Puruṣhottamnī upāsanā kare, tene uttam nirvikalp nishchay-vāḷo kahīe.”",
Akshar-Purushottam Siddhānt in the Swāminārāyaṇ Sampradāy,Gunatitanand Swami is Mul Aksharbrahma. Shriji Maharaj is Bhagwān Purushottam. Whoever understands this principle will be freed from the cycles of births and deaths.,ગુણાતીતોક્ષરં બ્રહ્મ ભગવાન્ પુરુષોત્તમઃ । જનો જાનન્નિદં સત્યં મુચ્યતે ભવ-બંધનાત્ ॥,"Guṇātitoksharam Brahma, Bhagawāna Purushottamaha | Jano Jānan-Nidam Satyam, Muchyate Bhava-bandhanāt ||",
Akshar-Purushottam Siddhānt in the Swāminārāyaṇ Sampradāy,"Identify one’s ātmā, which is distinct from the three bodies, as brahmarup and always offer upāsanā to Parabrahman. ",ત્રણ દેહથી વિલક્ષણ એવા પોતાના આત્માને વિષે બ્રહ્મરૂપની વિભાવના કરી સદૈવ પરબ્રહ્મની ઉપાસના કરવી., Traṇ dehthī vilakṣhaṇ evā potānā ātmāne viṣhe brahmarūpnī vibhāvanā karī sadaiva Parabrahmanī upāsanā karavī.,
Akshar-Purushottam Siddhānt in the Swāminārāyaṇ Sampradāy,"Therefore, a devotee of God should realise that the form of God along with His Akshardhām is present on this earth, and he should also explain this fact to others.” ",ભગવાનના ભક્તને ભગવાનનું સ્વરૂપ અક્ષરધામ સહિત પૃથ્વી ઉપર વિરાજમાન છે એમ સમજવું અને બીજા આગળ પણ એવી રીતે વાર્તા કરવી.” (વચનામૃત ગઢડા પ્રથમ ૭૧),Bhagwānnā bhaktane Bhagwānnu swarūp Akṣhardhām sahit pṛuthvī upar virājmān chhe em samajvu ane bījā āgaḷ paṇ evī rīte vārtā karvī.”,
Akshar-Purushottam Siddhānt in the Swāminārāyaṇ Sampradāy,"During the evening sabha Mahant Swami Maharaj was asked, “In today’s program, the skit of Janiya Kaka (a character who ‘knows it all’) was presented. He knows everything about the world but nothing about Satsang. Thereafter, we told you that we are all like Janiya Kaka. We know everything about the world but nothing about Bhagwān. So Swami, please give us some words of advice”. (August 17, 2017, Houston)

Swami responded, “Āpṇe Māhārāj, Swāmi ane Satpurushne oḷkhyā, e sivāy kāi icchā na rākhvi. Emā gnān, dhyān, chār ved badhu āvi jāy. 'Sakal shāstrano sār param e Brahma ane Parabrahma. Biju karie pan ā muḷ na āve to jivan nakāmu. Ane ā āve to biju jānvāni jarur nahi.""
 (“We have understood Maharaj, Swami, and the Satpurush. Do not keep any other desire besides that. In that, knowledge, meditation, the four Vedas, and all else are included. ‘The essence of all scriptures is Brahman and Parabrahman”. We can do other things, but if this is not rooted within us, then our life has been wasted. If you understand this, then there is nothing else to understand)",,,
