Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Definition of Antardraṣhṭi | Satsang Diksha Shlok 145,"With a composed mind, one should introspect every day: “What have I come to accomplish in this world and what am I doing?” ",પ્રતિદિન સ્થિર ચિત્તે અંતર્દૃષ્ટિ કરવી કે હું આ લોકમા શું કરવા આવ્યો છું? અને શું કરી રહ્યો છું?,Pratidin sthir chitte antardraṣhṭi karvī ke hu ā lokmā shu karvā āvyo chhu? Ane shu karī rahyo chhu?,https://baps.box.com/shared/static/wlpr6nmt265heg04fya75xiij0gbqumq.mp3,Satsang Diksha Shlok 145,Definition of Antardraṣhṭi
Definition of Antardraṣhṭi | Vachanamrut Gadhada I-49,"Therefore, to look at God’s form that one has beheld within one’s heart, or to look at the form of God visible externally, is known as ‘antardrashti’. ",ભગવાનની મૂર્તિને અંતરમાં ધારીને તે સામું જોઈ રહેવું તેનું નામ અંતર્દૃષ્ટિ છે. અને તે મૂર્તિ વિના બીજે જ્યાં જ્યાં વૃત્તિ રહે તે સર્વે બાહ્યદૃષ્ટિ છે,Bhagawānnī mūrtine antarmā dhārīne te sāmu joī rahevu tenu nām antardraṣhṭi chhe. Ane te mūrti vinā bīje jyā jyā vṛutti rahe te sarve bāhyadraṣhṭi chhe.,https://baps.box.com/shared/static/wlpr6nmt265heg04fya75xiij0gbqumq.mp3,Vachanamrut Gadhada I-49,Definition of Antardraṣhṭi
"Definition of Antardraṣhṭi | Sakhi - Sant Kabir
","I left to see the faults of people, but I did not see any faults. When I looked at myself, I realized the faults I have no one has.","બુરા દેખન મે ચલા, બુરા ન પાયા કોઈ જો તન દેખા અપના, મુઝસા બુરા ન કોઈ","Burā dekhana me chalā, burā na pāyā koī 
Jo tana dekhā apanā, mujhsā burā na koī",https://baps.box.com/shared/static/cjyk3w092xxfldvt142s09it4x99n3n7.wav,"Sakhi - Sant Kabir
",Definition of Antardraṣhṭi
Definition of Antardraṣhṭi | Yogi Vani 44,"Whatever work is done for Bhagwān, be it Service, devotion, meditation, etc, that is known as antardrashti; Whatever work is done while forsaking Bhagwān is bahya-drashti.","સેવા, ભક્તિ, ધ્યાન, વગેરે ભગવાન સંબંધી જે જે કામ કરો તે અંતર્દૃષ્ટિ; ભગવાનને પડતા મૂકીને જે કામ કરો તો તે બાહ્યદૃષ્ટિ","Sevā, bhakti, dhyān, vagere Bhagwān sambandhī je je kām karo te antardṛaṣhṭi; Bhagwānne paḍtā mūkīne je kām karo to te bāhyadraṣhṭi.",https://baps.box.com/shared/static/6nibm96k6t2uxlxalypb9qkzyjcc83el.wav,Yogi Vani 44,Definition of Antardraṣhṭi
Definition of Antardraṣhṭi | Vachanamrut Gadhada I-16,A wise devotee of God who can discern between sat (true) and asat (false) identifies the flaws within himself and thoughtfully eradicates them,જે ભગવાનના ભક્તને સત્-અસત્‌નો વિવેક હોય તે તો જે જે અવગુણ પોતામાં હોય તેને જાણે અને વિચારીને તેનો ત્યાગ કરી દે,Je Bhagwānnā bhaktne sat-asatno vivek hoy te to je je avguṇ potāmā hoy tene jāṇe ane vichārīne teno tyāg karī de,https://baps.box.com/shared/static/ayjk4m2g1qo6kbg8gznhi41ktr0d2gxe.mp3,Vachanamrut Gadhada I-16,Definition of Antardraṣhṭi
Benefits of Antardraṣhṭi | Swamini Vat 2/122,"Look within at the desires in one’s own heart. Introspect to meditate on God since only he has happiness. Apart from introspection there is no greater means to attaining happiness. Therefore, introspect continuously. That is the principle and it has been spoken of by Maharaj many times in the Vachanamrut. So, the great holy Sadhu (Aksharbrahman Guru) insists mainly on this. Without introspection, true spiritual knowledge is not attained. ","પ્રતિલોમપણે હૃદયમાં સંકલ્પ સામું જોવું તથા પ્રતિલોમપણે ભગવાનનું ધ્યાન કરવું ને તેમાં જ સુખ છે પણ પ્રતિલોમ જેવો બીજો સુખનો ઉપાય નથી, માટે પ્રતિલોમનો અભ્યાસ નિરંતર રાખવો એ સિદ્ધાંત વાત છે. તે વચનામૃતમાં મહારાજે બહુ ઠેકાણે કહ્યું છે ને મોટા સંતનો એ આગ્રહ મુખ્ય છે ને પ્રતિલોમ વિના યથાર્થ જ્ઞાન થાતું નથી.","Pratilompaṇe hṛudaymā sankalp sāmu jovu tathā pratilompaṇe bhagwānnu dhyān karvu ne temāj sukh chhe paṇ pratilom jevo bījo sukhno upāy nathī, māṭe pratilomno abhyās nirantar rākhvo e siddhānt vāt chhe. Te vachanāmṛutmā mahārāje bahu ṭhekāṇe kahyu chhe ne moṭā santno e āgrah mukhya chhe ne pratilom vinā yathārth gnān thātu nathī.","https://baps.box.com/shared/static/xkdqcj04ludohda809qrhmv6wmdspcek.mp3

",Swamini Vat 2/122,Benefits of Antardraṣhṭi
Benefits of Antardraṣhṭi | Chosath Padi - Nishkulanand Swami,"You found yourself in Satsang to worship God. When you came into Satsang, you had no desires for fame and honor… 1
You humbly bowed to all the sadhus and behaved as a servant of servants. You sang the praises of God and were apathetic to the world (worldly happiness or greatness)... 2
Now, you have lost all your spiritual wealth and now you harbor sins in your heart. Now, you now imbibe the characteristic of the wicked and (knowingly) did wrong… 3","શોધી આવ્યો તું સતસંગમાં રે, ભજવાને ભગવાન;
આવ્યો તૈંયેં તારા અંગમાં રે, નો’તા મોટપ માન... ૧
સહુ સંતને શીશ નામતો રે, થઈને દાસાનુદાસ;
ગુણ ગોવિંદજીના ગાવતો રે, જગથી થઈ ઉદાસ... ૨
એહ ગયું તારી ગાંઠનું રે, બીજું પેઠું પાપ;
લઈ લીધું લક્ષણ લાંઠનું રે, અવળું કર્યું આપ... ૩ ","Shodhī āvyo tu satsangmā re, bhajvāne Bhagwān;
 Āvyo taiye tārā angmā re, no’tā moṭap mān... 1
Sahu santne shīsh nāmto re, thaīne dāsānudās;
 Guṇ Govindjīnā gāvto re, jagthī thaī udās... 2
Eh gayu tārī gānṭhnu re, bīju peṭhu pāp;
 Laī līdhu lakshaṇ lānṭhnu re, avḷu karyu āp... 3","https://baps.box.com/shared/static/l9b78o5vz7s7rsr3owwdq977ayvcpmb2.mp3
",Chosath Padi - Nishkulanand Swami,Benefits of Antardraṣhṭi
Performing Antardraṣhṭi | Swamini Vat 2/61,"If one has the same insistence on oneself to understand as one has for explaining to others; and if one has the same insistence on overcoming one’s own faults as one has for observing the faults of others, then no deficiency will remain.","જેવો બીજાને સમજાવવાનો આગ્રહ છે, એવો પોતાને સમજવાનો હોય; અને જેવો બીજાના દોષ જોવાનો આગ્રહ છે, તેવો પોતાના દોષ ટાળવાનો હોય તો કાંઈ કસર રહે જ નહિ","Jevo bījāne samjāvavāno āgrah chhe, evo potāne samajvāno hoy; ane jevo bījānā doṣh jovāno āgrah chhe, tevo potānā doṣh ṭāḷvāno hoy to kāī kasar rahej nahi.",https://baps.box.com/shared/static/l9b78o5vz7s7rsr3owwdq977ayvcpmb2.mp3,Swamini Vat 2/61,Performing Antardraṣhṭi
Performing Antardraṣhṭi | Swamini Vat 2/168,"At the time of the spiritual discourses in Vartal, for many days I talked about and had others talk about introspection. In this way if one continues to internally listen to such talks and practices introspection, then only is this message realized and is one able to walk on that path. But, otherwise it is not possible.","રતાલમાં કથા થઈ તે ફેરે ઘણા દિવસ સુધી પ્રતિલોમ કરવાની વાતું કરિયું ને કરાવિયું. એવી રીતનો અભ્યાસ કરવા-સાંભળવાનો નિરંતર રાખે ત્યારે તે વાત સમજાય ને તે માર્ગે ચલાય, પણ તે વિના થાય નહિ.","Vartālmā kathā thaī te fere ghaṇā divas sudhī pratilom karvānī vātu kariyu ne karāviyu. Evī rītno abhyās karvā-sāmbhaḷvāno nirantar rākhe tyāre te vāt samjāy ne te mārge chalāy, paṇ te vinā thāy nahi.",https://baps.box.com/shared/static/l9b78o5vz7s7rsr3owwdq977ayvcpmb2.mp3,Swamini Vat 2/168,Performing Antardraṣhṭi
Prasang,"Swamishri was replying to letters. Gurumanan Swami asked: 'Tomorrow is new year's day according to the English date so please can you tell us where we need to improve?' Swamishri said, ‘Gayā varshe je kaī bhūlo thaī gaī hoy teno vichār karvo, ne ā varṣhe tevī bhūlo na thāy tenu dhyān rākhvu.’ (Think about the mistakes you’ve made in the past year, and be careful that you don’t make those mistakes again in the new year.) Gurumanan Swami asked further:' Do you have any other message for 2018? Swamishri replied: ‘No… Happy New Year. '",,,https://baps.box.com/shared/static/ncws7l0t2wlx0plirbeeitmm77zhirmv.mp3,Prasang,Prasang
