Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Characteristics of one who has Āshro | Vachanamrut Vartal-5,"One who has such a firm refuge of God, even if he were to experience pain equivalent to that of final dissolution, he would not believe anyone else to be his guardian against such misery except God. Moreover, whatever happiness he wishes for, he seeks to attain only from God. ","ભગવાનનો દૃઢ  આશ્રય તે જેને હોય, તેને મહાપ્રલય જેવું દુઃખ આવી પડે તો પણ તે દુઃખ થકી રક્ષાનો કરનારો ભગવાન વિના બીજાને ન જાણે અને જે જે પોતાને સુખ જોઈતું હોય તે પણ ભગવાન થકી જ ઇચ્છે . ","Bhagwānno draḍh āshray te jene hoy, tene mahāpralay jevu dukh āvī paḍe to paṇ te dukh thakī rakṣhāno karnāro Bhagwān vinā bījāne na jāṇe ane je je potāne sukh joītu hoy te paṇ Bhagwān thakīj ichhe.",https://baps.box.com/shared/static/k64tw1vvmyli2j8tem0s08qp297b7sry.mp3,Vachanamrut Vartal-5,Characteristics of one who has Āshro
Characteristics of one who has Āshro | Vachanamrut Gadhada III-7,"Just as an iron nail that is firmly affixed to an iron surface can never be separated, similarly, one’s mind should be fixed firmly at the holy feet of God. ","જેમ વજ્રની પૃથ્વી હોય તેમાં વજ્રની ખીલી ચોડી હોય તે કોઈ રીતે ઊખડે નહીં, તેમ ભગવાનનાં ચરણારવિંદને વિષે પોતાના મનને દૃઢ રાખવું. ","Jem vajranī pṛuthvī hoy temā vajranī khīlī choḍī hoy te koī rīte ūkhaḍe nahī, tem Bhagwānnā charaṇārvindne viṣhe potānā manne draḍh rākhvu.",https://baps.box.com/shared/static/uw9cxdsyndftgq4er8v8p9wpgbxcukjf.mp3,Vachanamrut Gadhada III-7,Characteristics of one who has Āshro
Benefits of Āshro | Vachanamrut Gadhada I-33,"Accepting the firm refuge of God is the single, greatest endeavor amongst all spiritual endeavors for pleasing God.","ભગવાનનો જે દૃઢ  આશરો એ જ એક સર્વ સાધનમાં મોટું સાધન છે, તેણે કરીને ભગવાન રાજી થાય છે. ","Bhagwānno je draḍh āshro ej ek sarva sādhanmā moṭu sādhan chhe, teṇe karīne Bhagwān rājī thāy chhe. ",https://baps.box.com/shared/static/xgnwqvim74ktk67f34t0c5poosv0ab2l.mp3,Vachanamrut Gadhada I-33,Benefits of Āshro
Benefits of Āshro | Swamini Vat 1/167,"Explaining the concept of refuge, “If a person had come to the mandir yesterday, became sick, and remained sick for 20 years, then we would have to serve him. A mother and children seek refuge of the husband, who cares for them whether he is at home or abroad. Similarly, God cares for his followers.","આશરાનું રૂપ કહ્યું કે, “કોઈક આપણા મંદિરમાં કાલનો આવેલો હોય ને તે માંદો પડે ને વીસ વરસ માંદો રહે તો પણ એની ચાકરી આપણે કરવી પડે. ને વળી જેમ ગૃહસ્થનાં બાયડી-છોકરાંને તેનો આશરો છે તે દેશ-પરદેશમાં જઈને તેની ખબર રાખે છે, તેમ ભગવાન પોતાના આશ્રિતની ખબર રાખે છે. ","Āshrānu rūp kahyu ke, “Koīk āpṇā mandirmā kālno āvelo hoy ne te māndo paḍe ne vīs varas māndo rahe to paṇ enī chākrī āpṇe karvī paḍe. Ne vaḷī jem gṛuhasthnā bāyḍī-chhokrāne teno āshro chhe te desh-pardeshmā jaīne tenī khabar rākhe chhe, tem Bhagwān potānā āshritnī khabar rākhe chhe.” ",https://baps.box.com/shared/static/tzqdrc90zytzv32n4knmg1rishn5au6h.mp3,Swamini Vat 1/167,Benefits of Āshro
Benefits of Āshro | Swamini Vat 1/172,"One may be burnt out by performing austerities, but if one does not have firm refuge in God then he will not come to take when one passes away. And even if one sleeps comfortably on a swing, and eats sweetened milk and rice while others serve him, still, if his refuge is firm, God will seat him in a divine chariot and take him. Therefore, the cause of moksha is refuge in God.","તપ કરીને બળી જાય તો પણ જો ભગવાનનો આશરો ન હોય તો ભગવાન તેડવા ન આવે ને હિંડોળા-ખાટમાં સૂઈ રહે ને દૂધ-સાકર ને ચોખા જમે ને સેવાના કરનારા ને રળનારા બીજા હોય તો પણ તેને અંતસમે વિમાનમાં બેસારીને ભગવાન તેડી જાય, જો ભગવાનનો દૃઢ આશરો હોય તો. માટે મોક્ષનું કારણ આશરો છે. ","Tap karīne baḷī jāy to paṇ jo Bhagwānno āshro na hoy to Bhagwān teḍvā na āve ne hinḍoḷā-khāṭmā sūī rahe ne dūdh-sākar ne chokhā jame ne sevānā karnārā ne raḷnārā bījā hoy to paṇ tene antasame vimānmā besārīne Bhagwān teḍī jāy, jo Bhagwānno draḍh āshro hoy to. Māṭe mokṣhnu kāraṇ āshro chhe. ",https://baps.box.com/shared/static/ij4gob0l8e1bjlpl2qcgzhjxz6vkq8z3.mp3,Swamini Vat 1/172,Benefits of Āshro
Benefits of Āshro | Satsang Diksha Shlok 126,"One should take the refuge of satsang to rid oneself of flaws, acquire virtues and attain ultimate moksha. ","સત્સંગનો આશરો પોતાના દુર્ગુણોને ટાળવા, સદ્‌ગુણોને પ્રાપ્ત કરવા અને પોતાના પરમ કલ્યાણ માટે કરવો.","Satsangno āshro potānā durguṇone ṭāḷvā, sadguṇone prāpta karvā ane potānā param kalyāṇ māṭe karvo. ",https://baps.box.com/shared/static/gxv20tnforh5jxakqn25xdbecr3ytuh1.mp3,Satsang Diksha Shlok 126,Benefits of Āshro
Benefits of Āshro | Sakhi - Purushottam Prakash - Nishkulanand Swami,At this time Purushottam Bhagwan has become present and has given a great amount of bliss. He destroyed the miseries of those who took refuge in his name.,"આનંદ આપ્યો અતિ ઘણો રે; આ સમામાં અલબેલ, પુરુષોત્તમ પ્રગટી રે...એ નામને જે આશર્યા રે, તેના તે ટાળિયા તાપ... પુરુષોત્તમ꠶ ૧૩
","Ānand āpyo ati ghaṇo re; ā samāmā albel, Purushottam pragaṭī re...E nāmne je āsharyā re, tenā te tāḷiyā tāp... Purushottam pragati re... 13",https://baps.box.com/shared/static/c1u7f47bm525if6m1c67u2t4g1o7s4nu.mp3,Sakhi - Purushottam Prakash - Nishkulanand Swami,Benefits of Āshro
Benefits of Āshro | Kirtan - Māṇasno avatār  mongho - Devanand Swami,"You will not attain the invaluable birth of a human again.
You will not be able to swim across the vast ocean of misery (death). Only if you seek the refuge of God will you be saved."," માણસનો અવતાર મોંઘો, નહીં મળે ફરી..
દુઃખ તણો દરિયાવ મોટો નહીં શકો તરી; શામળિયાને શરણે જાતાં જાશો ઊગરી
","Māṇasno avatār mongho, nahī maḷe farī...
Dukh taṇo dariyāv moto nahī shako tarī; Shāmaḷiyāne sharaṇe jātā jāsho ūgarī",https://baps.box.com/shared/static/5e8hxddw78d9eq1snsb36yv384g514jf.mp3,Kirtan - Māṇasno avatār  mongho - Devanand Swami,Benefits of Āshro
Benefits of Āshro | Shlok -Bhagwat Gita - 18/66,Abandon all varieties of dharmas and simply surrender unto me alone. I shall liberate you from all sinful reactions; do not fear. ,"સર્વધર્માન્ પરિત્યજ્ય મામેકં શરણં વ્રજ ।
અહં ત્વાં સર્વપાપેભ્યો મોક્ષયિષ્યામિ મા શુચ ॥","Sarvadharmān parityajya māmekam sharaṇam vraja |
Aham tvām sarvapāpebhyo mokṣhayiṣhyāmi mā shuchah ||",https://baps.box.com/shared/static/u93sxs0j44a16w37srpds29kblpaxmjk.mp3,Shlok -Bhagwat Gita - 18/66,Benefits of Āshro
Prasang,"On August 17, 2017 in  Houston, an evening program on the topic ‘Iti Vachanamrut’ took place. Mahant Swami Maharaj was asked, “Maharaj will come and liberate us at the end of our lives, yet we don’t recognize who Maharaj truly is. So how will we recognize him?”
Swamishri replied,“Shriji Māhārājno dradh āshro rākhe, temā koi pol na hoy, ne niyam dradh rākhvā to akshardhām sudhi koi vāndho nahi āve” (If one keeps firm refuge in Shriji Maharaj, with no discrepancies, and keeps niyams strong then there will be no problems all the way to Akshardham)”
Instantly, another question was asked to Swamishri: “Will you also come with Maharaj to collect us at the end of our lives?”
With emphasis, Swamishri replied, “Āvvuj paḍe (I will have to come)”. Everyone burst into joyous applause at this answer. ",,,https://baps.box.com/shared/static/0nmwkxfqzgpwzouk498ta2mbawmup62b.mp3,,Benefits of Āshro
