Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Importance of Ātmā Vichār | Vachanamrut Gadhada I-20,"The jiva (soul), which resides within the body, observes both the attractive and the unattractive. It witnesses childhood, youth and old age, as well as a countless number of other things. However, the observer fails to observe its own self. The jiva looks at objects externally; but it does not look at its own self.","આ દેહમાં રહેનારો જે જીવ છે તે રૂપને જુએ છે અને કુરૂપને જુએ છે તથા બાળ, યૌવન અને વૃદ્ધપણાને જુએ છે, એવા અનંત પદાર્થને જુએ છે, પણ જોનારો પોતે પોતાને જોતો નથી અને કેવળ બાહ્યદૃષ્ટિએ કરીને પદાર્થને જોયા કરે છે પણ પોતે પોતાને નથી જોતો તે જ અજ્ઞાનીમાં અતિશય અજ્ઞાની છે [...] એ જ ઘેલામાં અતિશય ઘેલો છે અને એ જ મૂર્ખમાં અતિશય મૂર્ખ છે અને એ જ સર્વ નીચમાં અતિશય નીચ છે.”","Ā dehamā rahenāro je jīv chhe te rūpane jue chhe ane kurūpane jue chhe tathā bāḷ, yauvan ane vṛuddhapaṇāne jue chhe, evā anant padārthane jue chhe, paṇ jonāro pote potāne joto nathī ane kevaḷ bāhyadṛuṣhṭie karīne padārthane joyā kare chhe paṇ pote potāne nathī joto tej agnānīmā atishay agnānī chhe...",https://baps.box.com/shared/static/dk7qvdqmk81hk12k4reb5qim2x4jqk3e.mp3,Vachanamrut Gadhada I-20,Importance of Ātmā Vichār
Importance of Ātmā Vichār | Vachanamrut Loya-6,"All flaws reside in the flaw of identifying one’s self as the body. If that is abandoned, all flaws are abandoned. Furthermore, if the sole virtue of ātmā realization, i.e., realizing oneself as the ātmā, distinct from the body, is developed, then all virtues will develop",જો દેહાભિમાનરૂપ દોષ છે તો તેમાં સર્વે દોષ રહ્યા છે ને તેનો ત્યાગ કરે તો સર્વે દોષનો ત્યાગ થઈ જાય છે. અને ‘હું તો દેહથી નોખો જે આત્મા તે છું’ એવો જે આત્મનિષ્ઠારૂપ એક ગુણ તે આવે તો સર્વે ગુણમાત્ર આવે છે.,Jo dehābhimānarūp doṣh chhe to temān sarve doṣh rahyā chhe ne teno tyāg kare to sarve doṣhno tyāg thaī jāy chhe. Ane ‘hu to dehathī nokho je ātmā te chhu’ evo je ātmaniṣhṭhārūp ek guṇ te āve to sarve guṇmātra āve chhe.,https://baps.box.com/shared/static/hdfpl479gd23vkdxct1dqu0k4tgw63r3.mp3,Vachanamrut Loya-6,Importance of Ātmā Vichār
Step 1 - Doing Ātmā Vichār According to the Instruction of the Satpurush | Vachanamrut Gadhada I-16,"Thus, when the Sant tells him, ‘You are distinct from the mind, body, indriyas and prāns; you are satya…he accepts this to be the truth. He then behaves as the ātmā - distinct from them all.","અને સંત કહે જે, ‘તું દેહ, ઇન્દ્રિય, મન, પ્રાણથી જુદો છું અને સત્ય છું…એમ વચન કહે તેને સત્ય માનીને તે સર્વથી જુદો આત્મારૂપે વર્તે…","Ane sant kahe je, ‘tu deh, indriya, man, prāṇathī judo chhu ane satya chhu…em vachan kahe tene satya mānīne te sarvathī judo ātmārūpe varte'",https://baps.box.com/shared/static/61s090g2v3hfjvafwtdru8qg5cyflvsm.mp3,Vachanamrut Gadhada I-16,Step 1 - Doing Ātmā Vichār According to the Instruction of the Satpurush
"Step 1 - Doing Ātmā Vichār according to the instruction of the Satpurush | Bhaktachintamani, Prakaran 71","Believe the words that I tell you, we are the atma and not the body;
Believe yourself to be the form of chaitanya (ātmā), which is separate from the body, which is the form of misery.
","એક વાત કહું માનો તેહ, આપણે આતમા નહિ દેહ;
માનો ચૈતન્યરૂપ તમારું, દુઃખરૂપ દેહ તેહ ન્યારું
","Ek vāt kahu māno teha, āpaṇe ātmā nahi deha;
Māno chaitanyarūp tamāru, dukharūp deh teh nyāru
",https://baps.box.com/shared/static/2wmm6iwn33vlpr0g2fc4k60303lwokmz.mp3,"Bhaktachintamani, Prakaran 71",Step 1 - Doing Ātmā Vichār according to the instruction of the Satpurush
Step 1 - Doing Ātmā Vichār according to the instruction of the Satpurush | Satsang Diksha Shlok 56-58,"Thereafter, to gain the privilege to perform puja, a devotee who has taken the refuge of satsang should meditate on their ātmā while contemplating upon the glory of Bhagwān. The sacred mantra ‘Aksharam-aham Purushottam-dāso’smi’ should be recited with joy and devotion. One should identify one’s ātmā with Aksharbrahman and perform mānsi puja with a calm and focused mind.","ત્યાર બાદ સત્સંગને આશ્રિત ભક્તે પૂજાના અધિકાર માટે ભગવાનના પ્રતાપનું ચિંતવન કરતાં કરતાં આત્મવિચાર કરવો. પ્રસન્ન ચિત્તે અને ભક્તિભાવપૂર્વક ‘અક્ષરમ્ અહં પુરુષોત્તમદાસોસ્મિ’ એ પવિત્ર મંત્રનું ઉચ્ચારણ કરવું. પોતાના આત્માને વિષે અક્ષરબ્રહ્મની વિભાવના કરવી અને શાંત થઈ, એકાગ્ર ચિત્તે માનસી પૂજા કરવી.","Tyār bād satsangne āshrit bhakte pūjānā adhikār māṭe bhagwānnā pratāpanu chintavan kartā kartā ātmavichār karvo. Prasanna chitte ane bhaktibhāvapūrvak ‘akṣharam aham puruṣhottamadāsosmi’ e pavitra mantranu uchhāraṇ karvu. Potānā ātmāne viṣhe akṣharabrahmanī vibhāvanā karavī ane shānt thaī, ekāgra chitte mānsī pūjā karvī.",https://baps.box.com/shared/static/icg7nhl6iu57bn5wqy8zgvfx1zbf2a65.mp3,Satsang Diksha Shlok 56-58,Step 1 - Doing Ātmā Vichār according to the instruction of the Satpurush
Step 2 - The Difference between the Body and the Ātmā | Vachanamrut Sarangpur-1,"I am chaitanya (sentient), while the body is jad (insentient); I am pure, whereas the body is the embodiment of narak; I am imperishable, while the body is perishable; I am the embodiment of bliss, whereas the body is the embodiment of misery.","હું ચૈતન્ય છું ને દેહ જડ છે, અને હું શુદ્ધ છું ને દેહ નરકરૂપ છે, અને હું અવિનાશી છું ને દેહ નાશવંત છે, અને હું આનંદરૂપ છું ને દેહ દુઃખરૂપ છે.","Hu chaitanya chhu ne deh jaḍ chhe, ane hu shuddha chhunne deh narkarūp chhe, ane hu avināshī chhu ne deh nāshvant chhe, ane hu ānandrūp chhu ne deh dukhrūp chhe.",https://baps.box.com/shared/static/f88g0fh3udtgkpluck8xopoi7i0ljv8f.mp3,Vachanamrut Sarangpur-1,Step 2 - The Difference between the Body and the Ātmā
Step 3 - Believing the Satpurush to be One’s Ātmā | Vachanamrut Gadhada II-31,"‘My self is Brahman, which is transcendental and free from māyā.’ If one associates with Brahman (Aksharbrahman Satpurush) through continuous contemplation in this manner, the jiva acquires the virtues of that Brahman.",મારું સ્વરૂપ તો માયા થકી મુક્ત ને પર એવું જે બ્રહ્મ તે છે.’ એવી રીતે નિરંતર મનન કરતો સતો બ્રહ્મનો સંગ કરે તો એ બ્રહ્મનો ગુણ એ જીવને વિષે આવે.,Māru swarūp to māyā thakī mukta ne par evu je brahma te chhe.’ evī rīte nirantar manan karto sato brahmano sanga kare to e brahmano guṇ e jīvane viṣhe āve.,https://baps.box.com/shared/static/53q06yudz0t7o6o7l7ofzenank48j3yg.mp3,Vachanamrut Gadhada II-31,Step 3 - Believing the Satpurush to be One’s Ātmā
Step 4 - Beholding Bhagwān Within One’s Ātmā | Vachanamrut Sarangpur-1,"I have attained Shri Purushottam Bhagwān in person, the very Purushottam Bhagwān who is the master of Brahmā and the other deities, who themselves are the lords of countless millions of brahmānds. That Paramātmā forever resides in my ātmā.",એ સર્વના સ્વામી જે શ્રીપુરુષોત્તમ ભગવાન તે મને પ્રત્યક્ષ મળ્યા છે અને તે મારા આત્માને વિષે પણ અખંડ વિરાજમાન છે.,E sarvanā swāmī je shrī puruṣhottam bhagwān te mane pratyakṣha maḷyā chhe ane te mārā ātmāne viṣhe paṇ akhanḍ virājmān chhe.,https://baps.box.com/shared/static/puji0g30ykp1v944m35ezhewtwyyw7w6.mp3,Vachanamrut Sarangpur-1,Step 4 - Beholding Bhagwān Within One’s Ātmā
Step 4 - Beholding Bhagwān Within One’s Ātmā | Swamini Vat 1/341,"An aspirant engages in discourses, sings bhajans and talks about God, but does not believe, ""I am not this body."" Therefore, 24 hours a-day remember, ""I am not the body, but I am the ãtmã, who lives in the body. I am Brahman, Akshar and within me Paramatma Parameshwar Purushottam Himself is eternally present."" What is he like? He is the cause of all avatars, the cause of all causes and is above all. And his manifest form is the one I have attained. In this statement, both Sãnkhya and Yoga are incorporated.","કથા કરે, કીર્તન કરે, વાતું કરે, પણ ‘આ દેહ હું નહિ,’ એમ માને નહિ. માટે આઠે પહોર ભજન કરવું જે, ‘હું દેહ નથી ને દેહમાં રહ્યો એવો જે હું આત્મા છું, બ્રહ્મ છું, અક્ષર છું ને મારે વિષે પરમાત્મા પરબ્રહ્મ પુરુષોત્તમ પ્રગટ પ્રમાણ અખંડ રહ્યા છે. તે કેવા છે? તો સર્વ અવતારના અવતારી છે, સર્વ કારણના કારણ છે ને સર્વ થકી પર છે; તે પ્રગટ આ મને મળ્યા તે છે.’ આ વાતમાં સાંખ્ય ને યોગ બેય આવી રહ્યાં.","Kathā kare, kīrtan kare, vātu kare, paṇ ‘ā deh hu nahi,’ em māne nahi. Māṭe āṭhe pahor bhajan karvu je, ‘hu deh nathī ne dehamā rahyo evo je hu ātmā chhu, brahma chhu, akṣhar chhu ne māre viṣhe paramātmā parabrahma puruṣhottam pragaṭ pramāṇ akhanḍ rahyā chhe. Te kevā chhe? To sarva avatāranā avatārī chhe, sarva kāraṇnā kāraṇ chhe ne sarva thakī par chhe; te pragaṭ ā mane maḷyā te chhe.’ ā vātmā sānkhya ne yog bey āvī rahyā.",https://baps.box.com/shared/static/3bw39r5i4m3zv2xtyn5n01qqy2skrzvd.mp3,Swamini Vat 1/341,Step 4 - Beholding Bhagwān Within One’s Ātmā
Prasang,"On July 12, 2017 in Chicago, after Mahant Swami Maharaj’s breakfast, a renowned doctor came to check Swamishri. Swamishri had been experiencing pain. The doctor prescribed a specific medicine and said “He [swami] will be happy.” Swamishri responded, “Ame kãyam rãjij hoi chhie. Ā to puchyu eṭle kahyu. Bãki to chãlyãj kare. Kolkatãthi dukhãvo chãlto hãto.”
(“I am always happy. I told you [where the pain was felt] because you asked [during the checkup]. Otherwise these things happen. I had been experiencing the pain since our travels to Kolkata.”) 
Thereafter, Pujya Atmaswarupdas Swami asked the doctor, “What will happen if the medication is not taken?”  The doctor responded, ""Then there is a possibility that Swamishri will experience great pain.” Swamishri said, “Ãtmabaḷthi chãle chhe. ([The body] runs due to the ãtmã’s strength.)"" The doctor then said,”You are very strong. Otherwise, to tolerate this pain is very difficult. I have seen people cry due to such pain.”",,,https://baps.box.com/shared/static/xgyybmlt3hrvqovx3vug59icj6nxi6by.mp3,,Step 4 - Beholding Bhagwān Within One’s Ātmā
