Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
"Vachanamrut Gadhada I-40 | Definition of Bhakti","(This verse lists the nine ways of offering bhakti to God: (1) shravan - listening to spiritual discourses or devotional songs related to God; (2) kirtan - singing or talking about God; (3) smaran - remembering God; (4) pāda-sevan - serving God’s holy feet; (5) archan - anointing God with sandalwood paste, etc.; (6) vandan - bowing before God; (7) dāsya - behaving as a servant of God; (8) sakhya - behaving as a friend of God; (9) ātmanivedan - unconditionally offering oneself and all of one’s belongings to God with absolute submission.","“‘શ્રવણં કીર્તનં વિષ્ણોઃ સ્મરણં પાદસેવનમ્ ।
અર્ચનં વન્દનં દાસ્યં સખ્યમાત્મનિવેદનમ્ ॥’
“એવી રીતે નવ પ્રકારે કરીને જે ભગવાનને ભજવા તેને ભક્તિ કહીએ. ","“‘Shravaṇam kīrtanam Viṣhṇoho smaraṇam pād-sevanam |
Archanam vandanam dāsyam sakhyam-ātmanivedanam ||’
“Evī rīte nav prakāre karīne je Bhagwānne bhajvā tene bhakti kahīe. ",https://baps.box.com/shared/static/ok96ssbnwtiwh88s02slxmiii0okzrzt.mp3,Vachanamrut Gadhada I-40,"Definition of Bhakti"
" Kirtan - Narandas | Importance of Bhakti
","Worship Bhagwān today as no one knows what will happen tomorrow.
Your lifespan shortens with each second. The time that passes will not be regained 
Therefore, worship Bhagwān with love. ","આજ હરિનું ભજન કરી લો, કાલે વખત કેવી...
આવરદા ક્ષણ ક્ષણમાં જાવે, વીતી પળ ફેર ફેર નહિ આવે","Āj Harinu bhajan karī lo, kāle vakhat kevī...
 Āvardā kshaṇ kshaṇmā jāve,
vītī paḷ fer fer nahi āve;
 Bhāve haribhakti karī levī... āj 1",https://baps.box.com/shared/static/e2zq4i66wv0her8tu30t4e4k327hauf9.mp3, Kirtan - Narandas,"Importance of Bhakti
"
" Vachanamrut Sarangpur-5 | Definition of Bhakti","“If a person has bhakti for God in his heart along with the knowledge of God’s greatness, then even though he does not possess any other redemptive virtues, they will still develop in his heart...Therefore, bhakti of God coupled with the knowledge of His greatness is the greatest and most steadfast means to eradicate one’s worldly desires.",“જેના હૃદયમાં માહાત્મ્યે સહિત ભગવાનની ભક્તિ હોય તો બીજા કલ્યાણકારી ગુણ ન હોય તો પણ તેના હૃદયમાં સર્વે આવે છે...તે માટે માહાત્મ્યે સહિત ભગવાનની ભક્તિ એ જ વાસના ટાળ્યાનું મહામોટું અચળ સાધન છે.”,“Jenā hṛudaymā māhātmye sahit Bhagwānnī bhakti hoy to bījā kalyāṇkārī guṇ na hoy to paṇ tenā hṛudaymā sarve āve chhe...Te māṭe māhātmye sahit Bhagwānnī bhakti ej vāsnā ṭāḷyānu mahāmoṭu achaḷ sādhan chhe.”,https://baps.box.com/shared/static/onfil2duw9v221iuzqbkj2owxx88bn20.mp3, Vachanamrut Sarangpur-5,"Definition of Bhakti"
"Vachanamrut Karyani-10 | How to Perform Bhakti
","If the person who is offering bhakti to God with such lavish objects does so without any desires, solely for the purpose of earning God’s pleasure, then it is all right. "," જે સારા સારા પદાર્થે કરીને ભગવાનની ભક્તિ કરે છે, તે જો નિષ્કામભાવે કરીને, કેવળ ભગવાનની પ્રસન્નતાને અર્થે જ કરતો હોય તો તો ઠીક છે","Je sārā sārā padārthe karīne Bhagwānnī bhakti kare chhe, te jo niṣhkāmbhāve karīne, kevaḷ Bhagwānnī prasannatāne arthej karto hoy to to ṭhīk chhe ",https://baps.box.com/shared/static/3awsuu7ci600xdfjlqrvxyutkz6ofwu3.mp3,Vachanamrut Karyani-10,"How to Perform Bhakti
"
"Vachanamrut Sarangpur-3 | How to Perform Bhakti
","“If a person lovingly performs puja of God, with hair-raising sentiments and an emotion-filled voice, then regardless of whether he performs puja physically or performs mānsi pujā, both are superior. Conversely, if he performs puja mechanically - without feeling love or excitement, and without showing emotion in his voice - then regardless of whether he performs puja of God physically or performs mānsi pujā of God, both are inferior.","“જો ભગવાનને વિષે પ્રેમે કરીને અતિ રોમાંચિત-ગાત્ર થઈને તથા ગદ્‌ગદકંઠ થઈને જો ભગવાનની પ્રત્યક્ષ પૂજા કરે છે અથવા એવી રીતે જ ભગવાનની માનસી પૂજા કરે છે, તો એ બેય શ્રેષ્ઠ છે. અને પ્રેમે કરીને રોમાંચિત-ગાત્ર અને ગદ્‌ગદકંઠ થયા વિના કેવળ શુષ્ક મને કરીને પ્રત્યક્ષ ભગવાનની પૂજા કરે છે તોય ન્યૂન છે અને માનસી પૂજા કરે છે તોય ન્યૂન છે.”","“Jo Bhagwānne viṣhe preme karīne ati romānchit-gātra thaīne tathā gadgad-kanṭh thaīne jo Bhagwānnī pratyakṣh pūjā kare chhe athvā evī rītej Bhagwānnī mānsī pūjā kare chhe, to e bey shreṣhṭh chhe. Ane preme karīne romānchit-gātra ane gadgad-kanṭh thayā vinā kevaḷ shuṣhka mane karīne pratyakṣh Bhagwānnī pūjā kare chhe toy nyūn chhe ane mānsī pūjā kare chhe toy nyūn chhe.” ",https://baps.box.com/shared/static/2355lapba7tuxlk675lkttsv4so9q50w.mp3,Vachanamrut Sarangpur-3,"How to Perform Bhakti
"
"Vachanamrut Karyani-6 | How to Perform Bhakti
","“God is pleased with a devotee who becomes free of lust, anger, avarice, deceit, egotism, jealousy and matsar, and then offers bhakti to God. ","“જે ભક્તજન કામ, ક્રોધ, લોભ, કપટ, માન, ઈર્ષ્યા અને મત્સર એટલાં વાનાંએ રહિત થઈને ભગવાનની ભક્તિ કરે તેની ઉપર ભગવાન રાજી થાય છે.","“Je bhaktajan kām, krodh, lobh, kapaṭ, mān, īrṣhyā ane matsar eṭlā vānāe rahit thaīne Bhagwānnī bhakti kare tenī upar Bhagwān rājī thāy chhe.",https://baps.box.com/shared/static/gfug1pai20jcz97w71ws4vocf8t80q5o.mp3,Vachanamrut Karyani-6,"How to Perform Bhakti
"
"Satsang Diksha Shlok 125 | How to Perform Bhakti
","One should fruitfully use time by performing sevā, listening to discourses, smruti, meditating, studying, singing kirtans of Bhagwān and engaging in other such activities. ","સેવા, કથા, સ્મરણ, ધ્યાન, પઠનાદિ તથા ભગવત્કીર્તન વગેરેથી સમયને સુફળ કરવો. ","Sevā, kathā, smaraṇ, dhyān, paṭhanādi tathā bhagwat-kīrtan vagerethī samayne sufaḷ karvo",https://baps.box.com/shared/static/jfsnlakyyr1u3wu5e6rmugw534ahi3jl.mp3,Satsang Diksha Shlok 125,"How to Perform Bhakti
"
" Yogi Vani 278 | How to Perform Bhakti
","To do as the Sant says is bhakti. To act according to one's own preferences is not bhakti. To turn the beads of the rosary (māḷā) and study according to the words of the Sant is bhakti. Even if one does four waterless fasts according to one's own thoughts, it is not considered bhakti.","મોટા કહે તેમ રેહવું પડશે, તે ભક્તિ. પોતાની મેળે કરે તે ભક્તિ નહિ. મોટાપુરુષના વચને માળા કરવી, ભણવું એ ભક્તિ. ચાર ઉપવાસ મનધાર્યા કરે તોપણ ભક્તિ નહિ. (યોગી વાણી ૨૭૮)"," Moṭā kahe tem rahevu paḍshe, te bhakti. Potāni meḷe kare te bhakti nahi. Moṭāpurushnā vachane māḷā karvi, bhanvu e bhakti. Chār upvās mandhāryā kare topan bhakti nahi.  ",https://baps.box.com/shared/static/dux74mm95j4wlp3gnyfckdaichrwn3wd.wav, Yogi Vani 278,"How to Perform Bhakti
"
Vachanamrut Gadhada III-5 | How does Bhakti develop,“Bhakti coupled with the knowledge of God’s greatness arises in one’s heart by serving and profoundly associating with eminent sādhus like Shukji and the Sanakādik.” ,શુક-સનકાદિક જેવા જે મોટાપુરુષ તેની જે સેવા ને પ્રસંગ તેમાંથી માહાત્મ્યે સહવર્તમાન એવી જે ભક્તિ તે જીવના હૃદયમાં ઉદય થાય છે.”,“Shuk-Sankādik jevā je Moṭā-Puruṣh tenī je sevā ne prasang temāthī māhātmye sahavartmān evī je bhakti te jīvnā hṛudaymā uday thāy chhe.”,https://baps.box.com/shared/static/e8dvbs5tjwg6bz3z8x90yuvvv1y0eb58.mp3,Vachanamrut Gadhada III-5,How does Bhakti develop
Prasang,"Swamishri had come to Selvās in 2013. Local organizers had forgotten to inform him that the mangaḷā ārti in Selvās occurred every day at 5.45 a.m., as opposed to 6.00 a.m. So, on his first day there, Swamishri thus made his way to the mandir at 5.57 a.m., thinking that he would be just in time for the arti. However, as he climbed the steps, he saw people descending the mandir.
“ārti thai gai (Is the [mangaḷā] arti over)?” he asked.
“Yes,” someone replied.
Disheartened, Swamishri decided to atone for missing the arti by fasting for the day. Breakfast had been served to him, but he refused to eat. Local organizers apologized for not communicating the time to him and their eyes welled up with tears as they requested him not to fast. To please them, he took a morsel of food in his hand; just then, however, a devotee arrived. 
As everyone’s attention turned to the devotee, Swamishri nonchalantly put the morsel down. In this way, he resolutely refused to eat breakfast. Yet, as the organizers lovingly pressed for him to eat, Swamishri said, “I wanted to fast all day but because all of you are insisting, I will eat in the afternoon. However, I do not wish to eat right now.” This incident illustrates the profundity of Mahant Swami Maharaj’s devotion. No mangaḷā, no food. This, too, at the age of 80!
",,,https://baps.box.com/shared/static/i3jqj1uft6uq45nqkvcgtczqq7jce0iz.mp3,,How does Bhakti develop
