Title (OPTIONAL),English Content,Gujurati Content,Transliteration Content,Audio URL,Source
"Sant Samāgam Kije
","Keep the constant company of the Sant. 
Abandon [your] arrogance and drink the loving nectar in the form of discourses from the mouth of the Sant…1
Destroy your inner guile, and give your mind to him…2
Worldly misery ends and all sins are burnt when all our actions happen for him…3
Brahmanand Swami says, “Keeping the association of the Sant will give us the best fruits from life.”…4
","સંત સમાગમ કીજે, હો નિશદિન... ꠶ટેક
માન તજી સંતનકે મુખસે, પ્રેમ સુધારસ પીજે... હો꠶ ૧
અંતર કપટ મેટકે અપના,† લે ઉનકું મન દીજે... હો꠶ ૨
ભવદુઃખ ટળે બળે સબ દુષ્ક્રીત, સબવિધિ કારજ સીજે... હો꠶ ૩
બ્રહ્માનંદ કહે સંતકી સોબત, જન્મ સુફલ કરી લીજે... હો꠶ ૪
","Sant samāgam kīje, ho nishdin...
Mān tajī santanke mukhse, prem sudhāras pīje... ho 1
Antar kapaṭ meṭke apnā, le unku man dīje... ho 2
Bhavdukh ṭaḷe baḷe sab dushkrīt, sabvidhi kāraj sīje... ho 3
Brahmānand kahe santkī sobat, janma sufal karī līje... ho 4
",https://baps.box.com/shared/static/vggfu8q62z79nbwzdcmu9uq98ved5qwn.mp3,
"Sant param hitkārī
","In the world, the Sant is our utmost benefactor. 
He takes us towards Bhagwān and gets rid of our illusions…1
He is compassionate to every living being; he removes suffering just like Bhagwān…2
He is a renunciant above the three gunas. His style is different from this world…3
Brahmānand Swami says, “By associating with the Sant, one finds Bhagwān himself.”…4
","સંત પરમ હિતકારી, જગત માંહી... ꠶ટેક
પ્રભુપદ પ્રગટ કરાવત પ્રીતિ, ભરમ મિટાવત ભારી... જગત꠶ ૧
પરમકૃપાલુ સકલ જીવન પર, હરિસમ સબ દુઃખહારી... જગત꠶ ૨
ત્રિગુણાતીત ફીરત તનુ ત્યાગી, રીત જગતસે ન્યારી... જગત꠶ ૩
બ્રહ્માનંદ કહે સંતકી સોબત, મિલત હૈ પ્રગટ મોરારી... જગત꠶ ૪
","Sant param hitkārī, jagat māhi...
Prabhupad pragaṭ karāvat prīti, bharam mīṭāvat bhārī... jagat 1
Paramkrupālu sakal jīvan par, harisam sab dukhhārī... jagat 2
Triguṇātīt fīrat tanu tyāgī, rīt jagatse nyārī... jagat 3
Brahmānand kahe santkī sobat, milat hai pragaṭ Murārī... jagat 4
",https://baps.box.com/shared/static/emxydelosaqn4g5ljbvjm62gjjiguj9c.mp3,
"Sarve Man Taji
","Forsake all [your] arrogance. Bind [your] mind strongly to Bhagwān. Give up [your] regard towards the public opinion. Increase [your] love towards sadhus…
Those who associate themselves with sadhus defeats their pains of lust, etc. [The sadhus] take that person’s mind and attach it to the feet of Bhagwān… 1
In this way, one becomes great by worshipping Bhagwān. Their pains of births and deaths are destroyed. Their mind never again wanders elsewhere… 2
Dhruv, etc. achieved immortality by serving Bhagwān. [You] should take their advice to heart. [You] should also worship Bhagwān like them… 3
Stay away from bad people. Never see faults in the devotees of Bhagwān. Muktanand Swami says to remain as a servant of servants… 4
","સરવે માન તજી શામળિયા સંગાથે મન દ્રઢ બાંધીએ;
તજી લોકલજ્જા, સાધુજન સંગાથે પ્રીતિ સાંધીએ... ꠶ટેક
જે સાધુજનનો સંગ કરે, તેના કામાદિક સંતાપ હરે;
 તેનું મન લઈ મોહન ચરણે ધરે... સરવે꠶ ૧
એમ હરિ ભજતાં મોટપ પામે, તેનાં જન્મ-મરણનાં દુઃખ વામે;
 ફરી મન ન ચડે બીજે ભામે... સરવે꠶ ૨
ધ્રુવ આદિ અચળ થયા હરિ સેવી, તેની શિખામણ મન ધારી લેવી;
 ભક્તિ પણ કરવી તે જેવી... સરવે꠶ ૩
દુરિજનના સંગથી દૂર રહીએ, હરિજનનો અવગુણ નવ લઈએ;
 મુક્તાનંદ કહે દાસના દાસ થઈએ... સરવે꠶ ૪
","Sarve mān tajī, Shāmaḷiyā sangāthe man dradh bāndhīe;
 Tajī loklajjā, sādhujan sangāthe prīti sāndhīe...
Je sādhujan no sang kare,
tenā kāmādik santāp hare;
 Tenu man laī Mohan charaṇe dhare... sarve 1
Em Hari bhajtā motap pāme,
teṇā janma-maraṇ nā dukh vāme;
 Fari man na chaḍe bīje bhāme... sarve 2
Dhruv ādi achaḷ thayā Hari sevī,
tenī shikhāmaṇ man dhārī levī;
 Bhakti paṇ karvī te jevī... sarve 3
Durijannā sangthī dūr rahīe,
harijanno avguṇ nav laīe;
 Muktānand kahe dāsnā dās thaīe... sarve 4
",https://baps.box.com/shared/static/s4oviazg4heioswwv3grtf2i5cgfzlhr.mp3,
"Sambhal Beni
","Oh sister, listen to the method of pleasing Shri Hari. Bhagwān has an intense enmity towards ego. The way a snake’s poison ruins sweet-milk, ego ruins all spiritual practices in a second… 1
Stay as a servant of the merciful Bhagwān. If you get a chance to offer even menial service, consider it to be your great fortune; Since, even Shiv, Brahma, and others do not get such a chance to sit next to Purushottam… 2
Daily, renew your love towards Purushottam Bhagwān. Do not feel jealous upon seeing others being honored; Serve Muktanand Swami’s Bhagwān (Shriji Maharaj) with elation. Then, Bhagwān will be pleased with you… 3
","સાંભળ બેની હરિ રીઝ્યાની રીતડી,
મોહનવરને માન સંગાથે વેર જો
સાધન સર્વે માન બગાડે પળ વિષે,
જેમ ભળિયું પયસાકરમાં અહિ-ઝેર જો... સાંભળ꠶ ૧
દાસી થઈ રહેજે તું દીનદયાળની,
નીચી ટેલ મળે તો માને ભાગ્ય જો;
ભવબ્રહ્માદિકને નિશ્ચે મળતી નથી,
પુરુષોત્તમ પાસે બેઠાની જાગ્ય જો... સાંભળ꠶ ૨
પ્રીત કરે પુરુષોત્તમ સાથે નિત્ય નવી,
દાઝીશ મા દેખી કે’નું સન્માન જો;
મુક્તાનંદના નાથ મગન થઈ સેવજો,
તો રીઝે રસિયો સુંદરવર કહાન જો... સાંભળ꠶ ૩
","Sāmbhaḷ benī Hari rījhyāṇī rītḍī,
 Mohanvarne mān sangāthe ver jo;
Sādhan sarve mān bagāde paḷ vishe,
 Jem bhaḷiyu paysākarmā ahi-jher jo... sāmbhaḷ 1
Dāsī thaī raheje tu Dīndayāḷnī,
 Nīchī ṭel maḷe to māne bhāgya jo;
Bhav-Brahmādikne nishche maḷtī nathī,
 Purushottam pāse beṭhānī jāgya jo... sāmbhaḷ 2
Prīt kare Purushottam sāthe nitya navī,
 Dājhīsh mā dekhī ke’nu sanmān jo;
Muktānandnā Nāth magan thaī sevjo,
 To rījhe rasiyo sundarvar kahān jo... sāmbhaḷ 3
",https://baps.box.com/shared/static/z7ziurvlwzchbj8l5mv0ohn2s7kmzh7j.mp3,
"Bolya Shri Hari Re
","Then Shri Hari said, listen all devotees – men and women; I want to tell you all something… 1
My murti, my abode, actions and muktas are all divine… 2
My abode is called Akshar or Amrut; It is full of all powers, virtues, and capabilities… 3
Even the radiance of countless suns and moons are insignificant before it; It is cool, peaceful, and full of divine light. That light has no comparison… 4
In it I stay, with a two-armed, divine form (i.e. a human form); My darshan is rare even for the devs and my glory is limitless… 5
All jivas, ishwars, maya, kal and Pradhan-purush are under my control; I am Bhagwān, the inspirer of all… 6 
I create, sustain, and destroy countless worlds. Without my wish, nobody can break even a blade of grass… 7 
All my male and female devotees should understand me in this way; Before you, I have described the truth… 8 
For you I have come from Akshardham and assumed this human form. Premanand Swami’s Bhagwān has showered much nectar… 9
","બોલ્યા શ્રી હરિ રે, સાંભળો નરનારી હરિજન;
મારે એક વાર્તા રે, સહુને સંભળાવ્યાનું છે મન... ૧
મારી મૂરતિ રે, મારા લોક ભોગ ને મુક્ત;
સર્વે દિવ્ય છે રે, ત્યાં તો જોયાની છે જુક્ત... ૨
મારું ધામ છે રે, અક્ષર અમૃત જેનું નામ;
સર્વે સામ્રથી રે, શક્તિ ગુણે કરી અભિરામ... ૩
અતિ તેજોમય રે, રવિ શશી કોટિક વારણે જાય;
શીતળ શાંત છે રે, તેજની ઉપમા નવ દેવાય... ૪
તેમાં હું રહું રે, દ્વિભુજ દિવ્ય સદા સાકાર;
દુર્લભ દેવને રે, મારો કોઈ ન પામે પાર... ૫
જીવ ઈશ્વર તણો રે, માયા કાળ પુરુષ પ્રધાન;
સહુને વશ કરું રે, સહુનો પ્રેરક હું ભગવાન... ૬
અગણિત વિશ્વની રે, ઉત્પત્તિ પાલન પ્રલય થાય;
મારી મરજી વિના રે, કોઈથી તરણું નવ તોડાય... ૭
એમ મને જાણજો રે, મારાં આશ્રિત સૌ નરનારી;
મેં તમ આગળે રે, વાર્તા સત્ય કહી છે મારી... ૮
હું તો તમ કારણ રે, આવ્યો ધામ થકી ધરી દેહ;
પ્રેમાનંદનો રે, વા’લો વરસ્યા અમૃત મેહ... ૯
","Bolyā Shrī Hari re, sāmbhaḷo narnārī harijan;
Māre ek vārtā re, sahune sambhlāvyānu chhe man..1
Mārī mūrti re, mārā lok, bhog ne mukta;
Sarve divya chhe re, tyā to joyānī chhe jukt..2
Māru Dhām chhe re, Akshar Amrut jenu nām;
Sarve sāmrathī re, shakti guṇe karī abhirām..3
Ati tejomay re, ravi shashī koṭik vārṇe jāy;
Shītaḷ shānt chhe re, tejnī upmā nav devāy..4
Temā hu rahu re, dvibhuj divya sadā sākār;
Durlabh devne re, Māro koī na pāme pār..5
Jīva Īshwar taṇo re, māyā kāḷ purush pradhān;
Sahune vash karu re, sahuno prerak hu Bhagwān..6
Agaṇit vishvanī re, utpatti pālan pralay thāy;
Mārī marjī vinā re, koīthī tarṇu nav toḍāy..7
Em mane jāṇjo re, mārā āshrīt sāu narnārī;
Me tam āgaḷe re, vārtā satya kahī chhe Mārī..8
Hu to tam kāraṇe re, āvyo Dhām thakī dharī deh;
Premānandno re, vā’lo varasyā amrut meh..9
",https://baps.box.com/shared/static/tcc5blmldqs5mzbiulzt5h534eq6vqj5.mp3,
"Vali Sahu Sambhalo
","Also, listen to my talk which is supreme and incomparable; it is the highest principle and gives peace and happiness to all… 1
All devotees who want to go to my abode should serve me with pure feelings and without other desires… 2
All devotees who want to stay near me should shun their desires for perishable material pleasures… 3
Apart from me, know everything else to be maya; break your attachments to family and relatives knowing them to be false… 4
All of you sincerely obey my niyams; if you do so, Dharma and Bhakti (my parents; also, righteousness and devotion) will be pleased and protect you… 5
He delivered this message of instruction to all the sadhus and devotees; He did so in a human form whilst performing various gestures with his hands… 6
Just as all medicinal herbs are nourished by the full moon, he showered nectar-like blessings upon his devotees… 7
Amongst the sadhus, he stands out like the moon amongst the stars; God has manifest in Kali-yug to fulfil the work of all… 8
Premanand Swami’s master (Shriji Maharaj) will look after anyone who lovingly learns, sings, or listens to these words… 9
","વળી સહુ સાંભળો રે, મારી વાર્તા પરમ અનૂપ;
પરમ સિદ્ધાંત છે રે, સહુને હિતકારી સુખરૂપ... ૧
સહુ હરિભક્તને રે, જાવું હોયે મારે ધામ;
તો મને સેવજો રે, તમે શુદ્ધ ભાવે થઈ નિષ્કામ... ૨
સહુ હરિભક્તને રે, રહેવું હોયે મારે પાસ;
તો તમે મેલજો રે, મિથ્યા પંચવિષયની આશ... ૩
મુજ વિના જાણજો રે, બીજા માયિક સહુ આકાર;
પ્રીતિ તોડજો રે, જૂઠાં જાણી કુટુંબ પરિવાર... ૪
સહુ તમે પાળજો રે, સર્વે દ્રઢ કરી મારાં નેમ;
તમ પર રીઝશે રે, ધર્મને ભક્તિ કરશે ક્ષેમ... ૫
સંત હરિભક્તને રે, દીધો શિક્ષાનો ઉપદેશ;
લટકાં હાથનાં રે, કરતાં શોભે નટવર વેશ... ૬
નિજ જન ઊપરે રે, અમૃત વરસ્યા આનંદકંદ;
જેમ સહુ ઔષધિ રે, પ્રીતે પોષે પૂરણ ચંદ... ૭
શોભે સંતમાં રે, જેમ કાંઈ ઉડુગણમાં ઉડુરાજ;
ઈશ્વર ઉદે થયા રે, કળિમાં કરવા જનનાં કાજ... ૮
એ પદ શીખશે રે, ગાશે સાંભળશે કરી પ્યાર;
પ્રેમાનંદનો રે, સ્વામી લેશે તેની સાર... ૯
","Vaḷī sahu sāmbhaḷo re, mārī vārtā param anūp;
Param siddhānt chhe re, sahune hitkārī sukhrūp..1
Sahu haribhaktane re, jāvu hoye māre Dhām;
To Mane sevjo re, tame shuddh bhāve thaī nishkām..2
Sahu haribhaktane re, rahevu hoye Māre pās;
To tame meljo re, mithyā panchvishaynī āsh..3
Muj viṇā jāṇjo re, bijā māyik sahu ākār;
Prīti toḍjo re, jūṭhā jāṇī kuṭumb parivār..4
Sahu tame pāḷjo re, sarve dradh karī mārā nem;
Tam par rījhshe re, Dharma ne Bhakti karshe kshem..5
Sant haribhaktane re, dīdho shikshāno updesh;
Laṭkā hāthnā re, kartā shobhe Naṭvar vesh..6
Nij jan upare re, amrut varsyā ānandkand;
Jem sahu aushadhi re, prīte poshe pūraṇ chand..7
Shobhe santmā re, jem kāī uḍugaṇmā uḍurāj;
Īshwar ude thayā re, kaḷimā karvā jannā kāj..8
Ā pad shīkhshe re, gāshe sāmbhaḷshe karī pyār;
Premānandnā re, Swāmī leshe tenī sār..9
",https://baps.box.com/shared/static/je3pdncyyh1lft88oix87vw8zquldx03.mp3,
"Bhagya Jagya
","Today, my good fortune has come to fruition. Infinite souls have been liberated. There is no debt regarding my liberation. I have attained the manifest form of Bhagwān… 1

I can no longer be called an orphan. I have a protector who is with me forever. I have no fear from any other deities because Bhagwān has taken my hand… 2

No one can call me poor. I am experiencing eternal bliss. Pain has run away from my body and energy runs through it… 3

Ignorance has gone away and I have understood the truth. My weak efforts have disappeared, and I have met Shri Hari himself… 4

There is nothing lacking in anything [in my life]. I have attained Prabhu himself. My deficiencies are removed, and I am fulfilled. This feeling is everlasting… 5

By meeting Bhagwān, something great has occurred. This time I succeeded. What can I say for the limits of my happiness? I have infinite bliss!... 6

Today, I am welcoming happiness. I cannot fit the happiness in my heart! I have attained that which was unattainable. What can I say about the limits of this happiness!... 7

Today, it is raining nectar. There is nothing missing [anywhere]. What can I say about the liberation of one? [Today], millions have been liberated!... 8

I am no longer a beggar. Do not call me such! I am not poor. I have found the greatest wealth!... 9

Who knows how this happened? I have attained unfathomable happiness. Divine bliss flows over me because I have met Bhagwān face-to-face… 10

Today is a great festival in which I met Maharaj. Today, Nishkulanand Swami’s bell rings with victory!... 11
","ભાગ્ય જાગ્યાં રે આજ જાણવાં, કોટિ થયાં કલ્યાણ;
ઉધારો ન રહ્યો એહનો, પામ્યા પ્રભુ પ્રગટ પ્રમાણ... ꠶ ૧
અનાથપણાનું મે’ણું ઊતર્યું, સદા થયા સનાથ;
ડર ન રહ્યો બીજા દેવનો, ગ્રહ્યો હરિએ હાથ... ꠶ ૨
કંગાલપણું કે’વા ન રહ્યું, સદા મનાણું સુખ;
મસ્તી આવી રે અતિ અંગમાં, દૂર પલાણાં દુઃખ... ꠶ ૩
અણસમજણ અળગી થઈ, સમી સમજાણી વાત;
પાંપળાં સર્વે પરાં પળ્યાં, મળ્યા શ્રહરિ સાક્ષાત... ꠶ ૪
કસર ન રહી કોઈ વાતની, પામ્યા પ્રભુ પ્રગટ પ્રસંગ;
ખોટ મટીને ખાટ્ય થઈ, રહી ગયો છે રંગ... ꠶ ૫
ભુધર મળતાં ભલું થયું, ફેરો ફાવ્યો આ વાર;
સુખ તણી સીમા તે શી કહું, મને મોદ અપાર... ꠶ ૬
આજ આનંદ વધામણાં, હૈયે હરખ ન માય;
અમળતી વાત તે આવી મળી, શી કહું સુખની સીમાય... ꠶ ૭
આજ અમૃતની હેલી થઈ, રહી નહિ કાંઈ ખોટ;
એક કલ્યાણનું ક્યાં રહ્યું, થયાં કલ્યાણ કોટ... ꠶ ૮
રાંકપણું તો રહ્યું નહિ, કોઈ મા કહેશો કંગાલ;
નિરધનિયાં તો અમે નથી, મહા મળ્યો છે માલ... ꠶ ૯
કોણ જાણે આ કેમ થયું, આવ્યું અણચિંતવ્યું સુખ;
ઢાળો અલૌકિક ઢળી ગયો, મળ્યા હરિ મુખોમુખ... ꠶ ૧૦
ધન્ય ધન્ય અવસર આજનો, જેમાં મળિયા મહારાજ;
નિષ્કુળાનંદ ડંકો જીતનો, વાગી ગયો છે આજ... ꠶ ૧૧
","Bhāgya jāgyā re āj jāṇvā, koṭi thayā kalyāṇ;
 Udhāro na rahyo ehno, pāmyā Prabhu pragaṭ pramāṇ... 1
Anāthpaṇānu me’ṇu ūtaryu, sadā thayā sanāth;
 Ḍar na rahyo bījā devano, grahyo Harie hāth... 2
Kangālpaṇu ke’vā na rahyu, sadā manāṇu sukh;
 Mastī āvī re ati angmā, dūr palāṇā dukh... 3
Aṇsamjaṇ aḷgī thaī, samī samjāṇī vāt;
 Pāmpaḷā sarve parā paḷyā, maḷyā Shrī Hari sākshāt... 4
Kasar na rahī koī vātnī, pāmyā Prabhu pragaṭ prasang;
 Khoṭ maṭīne khāṭya thaī, rahī gayo chhe rang... 5
Bhūdhar maḷtā bhalu thayu, fero fāvyo ā vār;
 Sukh taṇī sīmā te shī kahu, mane mod apār... 6
Āj ānand vadhāmṇā, haiye harakh na māy;
 Amaḷtī vāt te āvī maḷī, shī kahu sukhnī simāy... 7
Āj amrutnī helī thaī, rahī nahi kāī khoṭ;
 Ek kalyāṇnu kyā rahyu, thayā kalyāṇ koṭ... 8
Rānkpaṇu to rahyu nahi, koī mā kahesho kangāl;
 Nirdhaniyā to ame nathī, mahā maḷyo chhe māl... 9
Koṇ jāṇe ā kem thayu, āvyu aṇchintavyu sukh;
 Dhāḷo alaukik dhaḷī gayo, maḷyā Hari mukhomukh... 10
Dhanya dhanya avsar ājno, jemā maḷīyā Mahārāj;
 Nishkuḷānand danko jītno, vāgī gayo chhe āj... 11
",https://baps.box.com/shared/static/9n0gmb8ol2amqjj688t0mm4x53r8gdu7.mp3,
"Tek Na Mele Re
","One who does not abandon their firm resolve (to please God) is considered in this world to be a truly brave person. They are not shaken from their resolve by pain caused by nature, deities, or svabhavs... 1
They act fearlessly and with patience in their mind. They have no doubts (fears) regarding the negative effects of time, karma, etc... 2
They have fixed in their mind: I will die one day, sooner or later. They do not have a cowardly mind that is tempted by the pursuit of worldly happiness… 3
After understanding [the truth], they have tied a firm knot in their souls; even if I lose my head (i.e. die), I will not give up... 4
They do not harbor the doubts of other individuals. They do not forget Brahmanand Swami’s beloved (Shri Hari) for even a moment... 5
","ટેક ન મેલે રે, તે મરદ ખરા જગમાંહી;
 ત્રિવિધ તાપે રે, કેદી અંતર ડોલે નાહીં... ૧
નિધડક વરતે રે, દ્રઢ ધીરજ મનમાં ધારી;
 કાળકરમની રે, શંકા તે દેવે વિસારી... ૨
મોડું વહેલું રે, નિશ્ચે કરી એક દિન મરવું;
 જગ સુખ સારુ રે, કેદી કાયર મન નવ કરવું... ૩
અંતર પાડી રે, સમજીને સવળી આંટી;
 માથું જાતાં રે, મેલે નહિ તે નર માટી... ૪
કોઈની શંકા રે, કેદી મનમાં તે નવ ધારે;
 બ્રહ્માનંદના રે, વહાલાને પળ ન વિસારે... ૫
","Ṭek na mele re, te marad kharā jagmāhī;
 Trividh tāpe re, kedī antar ḍole nāhī... 1
Nidhḍak varte re, dradh dhīraj manmā dhārī;
 Kāḷkarmanī re, shankā te deve visārī... 2
Moḍu vahelu re, nische karī ek din marvu;
 Jag sukh sāru re, kedī kāyar man nav karvu... 3
Antar pāḍī re, samjīne savḷī ānṭī;
 Māthu jātā re, mele nahi te nar māṭī... 4
Koīnī shankā re, kedī manmā te nav dhāre;
 Brahmānandnā re, vahālāne paḷ na visāre... 5
",https://baps.box.com/shared/static/s9m79owirm3tmof0wb0nynh3660t08qu.mp3,
Anubhavi Anandma,"The anubhavi (enlightened) person enjoys the bliss of Parabrahman. That living, enlightened, yogi is pure from the inside… 1
Whatever they hear or see, they understand it all to be made from maya. They understand that, and everything [else] formed in their mind, to be false… 2
They understand the vast expanse of the world to be like a mirage. [Knowing this], that great sage is not infatuated anywhere. They see the world like a dream… 3
No one understands the cause of this world. Muktanand Swami says that a person who is gurumukhi (lives according to wishes of their guru) experiences happiness… 4
","અનુભવી આનંદમાં બ્રહ્મરસના ભોગી રે,
 જીવનમુક્ત જોગિયા અંતર અરોગી રે... અનુભવી꠶ ૧
જે શીખે જે સાંભળે ત્રિપુટીને તાને રે,
 મનનું કૃત્ય મન લગી અસત્ય માને રે... અનુભવી꠶ ૨
જ્યાં લગી જગ વિસ્તર્યો મૃગતૃષ્ણા પાણી રે,
 તેમાં મોહ ન પામે મહામુનિ સ્વપ્નું પ્રમાણી રે... અનુભવી꠶ ૩
જે વડે આ જક્ત છે તેને કોઈ ન જાણે રે,
 મુક્તાનંદ કહે ગુરુમુખી તે સુખડાં માણે રે... અનુભવી꠶ ૪
","Anubhavī ānandmā Brahmarasnā bhogī re,
 Jīvanmukta jogiyā antar arogī re... anu 1
Je shīkhe je sāmbhaḷe tripuṭīne tāne re,
 Mannu krutya man lagī asatya māne re... anu 2
Jyā lagī jag vistaryo mrugtrishṇā pāṇī re,
 Temā moh na pāme mahāmuni svapnu pramāṇī re... anu 3
Je vaḍe ā jakta chhe tene koī na jāṇe re,
 Muktānand kahe gurumukhī te sukhḍā māṇe re... anu 4
",https://baps.box.com/shared/static/643lyy2pa007ii6rv5ahzy8i6tnoe453.mp3,
Manasno Avatar,"This rare, expensive, birth will not be [easily] attained again.
So, shun your ego and worldly status and worship God; Otherwise you will continue in the cycle of births and deaths… 1
You will not be able to cross the great ocean of misery; But by surrendering at the feet of God, you will be liberated… 2
Shamelessly, you submerged yourself in worldly chores and never spared time [to worship God]; Craving after worldly pleasures, you never sat still… 3
Be aware, resolve your mind, and proceed cautiously; Lovingly worship Devanand Swami’s Lord (Shri Hari)… 4
","માણસનો અવતાર મોંઘો, નહીં મળે ફરી... ꠶ટેક
માન મરાડાઈ મોટપ મેલી, ભજી લો હરિ;
 નહીં તો જાશો ચોરાશીમાં જનમ બહુ ધરી... માણસ꠶ ૧
દુઃખ તણો દરિયાવ મોટો નહીં શકો તરી;
 શામળિયાને શરણે જાતાં જાશો ઊગરી... માણસ꠶ ૨
નિર્લજ્જ તું નવરો ન રહ્યો ઘરધંધો કરી;
 માયા માયા કરતો મૂરખ ના બેઠો ઠરી... માણસ꠶ ૩
ચેતી લે ચિત્તમાં વિચારી ચાલજે ડરી;
 દેવાનંદનો નાથ ભજો, પ્રેમમાં ભરી... માણસ꠶ ૪
","Māṇasno avatār mongho, nahī maḷe farī...
Mān marḍāī moṭap melī, bhajī lo Hari;
 Nahī to jāsho chorāshīmā janam bahu dharī... māṇas 1
Dukh taṇo dariyāv moto nahī shako tarī;
 Shāmaḷiyāne sharaṇe jātā jāsho ūgarī... māṇas 2
Nirlajj tu navro na rahyo ghardhandho karī;
 Māyā māyā karto mūrakh nā betho ṭharī... māṇas 3
Chetī le chittmā vichārī chālje ḍarī;
 Devānandno Nāth bhajo, premmā bharī... māṇas 4
",https://baps.box.com/shared/static/dgu0cwu3yt325e0jw81sbk4lydpkhofv.mp3,
