Title (OPTIONAL),English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title
Understanding Bhagwān as Sākār (with a form),"God is not formless. Why? Because it is through God that everything mobile and immobile is created. Now, if God were formless, then how could He create something that possesses a form? For example, ākāsh is formless. Therefore, pots and other forms that can be created from pruthvi cannot be created from that ākāsh. In the same manner, since Brahmā and the rest of creation possess a form, God, their creator, also definitely possesses a form.","ભગવાનનું સ્વરૂપ નિરાકાર નથી. કાં જે, ભગવાન થકી જ સર્વ સ્થાવર-જંગમ સૃષ્ટિ થાય છે, તે જો ભગવાન નિરાકાર હોય તો તે થકી સાકાર સૃષ્ટિ કેમ થાય ? જેમ આકાશ નિરાકાર છે તો તે થકી જેવા પૃથ્વી થકી ઘટાદિક આકાર થાય છે તેવા થતા નથી, તેમ બ્રહ્માદિક જે સૃષ્ટિ તે સાકાર છે તો તેના કરનારા જે પરમેશ્વર તે પણ સાકાર જ છે. ","Bhagwānnu swarūp nirākār nathī. Kā je, Bhagwān thakīj sarva sthāvar-jangam sṛuṣhṭi thāy chhe, te jo Bhagwān nirākār hoy to te thakī sākār sṛuṣhṭi kem thāy? Jem ākāsh nirākār chhe to te thakī jevā pṛuthvī thakī ghaṭādik ākār thāy chhe tevā thatā nathī, tem brahmādik je sṛuṣhṭi te sākār chhe to tenā karnārā je parameshwar te paṇ sākāraj chhe. ",,Vachanamrut Gadhada II-10,Vachanamrut Gadhada II-10 - Understanding Bhagwān as Sākār (with a form)
Understanding Bhagwān as Sākār (with a form),"Even though the scriptures describe God as pervasive, He actually possesses a definite form. In those scriptures, He is described as pervasive in the sense that using His own powers, He gives His darshan to all while still residing in one place. But He is not pervasive in the sense of being formless like ākāsh. So, in reality, God eternally possesses a form. It is that God with a definite form, who, while always residing in Akshardhām, appears in countless millions of brahmānds.","ભગવાનને ગ્રંથમાં વ્યાપક કહ્યા છે, તે તો મૂર્તિમાન છે તે જ પોતાની સામર્થીએ કરીને એક ઠેકાણે રહ્યા થકા સર્વને દર્શન આપે છે, એમ વ્યાપક કહ્યા છે; પણ આકાશની પેઠે અરૂપ થકા વ્યાપક નથી, ભગવાન તો સદા મૂર્તિમાન જ છે. તે મૂર્તિમાન ભગવાન અક્ષરધામમાં રહ્યા થકા જ અનંત કોટિ બ્રહ્માંડમાં ભાસે છે.”","Bhagwānne granthmā vyāpak kahyā chhe, te to mūrtimān chhe tej potānī sāmarthīe karīne ek ṭhekāṇe rahyā thakā sarvane darshan āpe chhe, em vyāpak kahyā chhe; paṇ ākāshnī peṭhe arūp thakā vyāpak nathī, Bhagwān to sadā mūrtimānaj chhe. Te mūrtimān Bhagwān akṣhardhāmmā rahyā thakāj anant koṭi brahmānḍmā bhāse chhe.” ",,Vachanamrut Vartal-13,Vachanamrut Vartal-13 - Understanding Bhagwān as Sākār (with a form)
Understanding Bhagwān as Sākār (with a form),"All of their bodies are radiant; even millions of suns and moons do not compare.
(Despite the radiance of millions of suns and moons), my dhām is still soothing and calm. It cannot be compared to the scorching light.
I reside in this dhām possessing two arms and with a divine definite form.
I am rare even for the devtās; no one can fathom my greatness.
Jivas, ishwars, māyā, kāl, Purush and Pradhān...
I control them all. I am the God who inspires all.
"," અતિ તેજોમય રે, રવિ શશી કોટિક વારણે જાય;
શીતળ શાંત છે રે, તેજની ઉપમા નવ દેવાય... ૪
તેમાં હું રહું રે, દ્વિભુજ દિવ્ય સદા સાકાર;
દુર્લભ દેવને રે, મારો કોઈ ન પામે પાર... ૫
જીવ ઈશ્વર તણો રે, માયા કાળ પુરુષ પ્રધાન;
સહુને વશ કરું રે, સહુનો પ્રેરક હું ભગવાન... ૬
","Ati tejomaya re, ravi shashī koṭik vāraṇe jāy;
Shītaḷ shānt chhe re, tejnī upamā nav devāy... 4
Temā hu rahu re, dwibhuj divya sadā sākār;
Durlabh devane re, māro koī na pāme pār... 5
Jīv īshwar taṇo re, māyā kāḷ puruṣh pradhān;
Sahune vash karu re, sahuno prerak hu Bhagwān... 6
",,Kirtan - Premanand Swami,Kirtan - Premanand Swami - Understanding Bhagwān as Sākār (with a form)
Understanding Bhagwān as Sākār (with a form),"[Upāsanā can be defined as] having a firm conviction that God eternally possesses a form; Even if a person becomes brahmarup, that conviction would never disappear. Moreover, even if he happens to listen to scriptures propounding the view that God is formless, he would still understand God to always have a form. Regardless of what is mentioned in the scriptures, he would only propound that God has a form, never allowing his own upāsanā to be refuted. One who has such a firm understanding is considered to possess upāsanā.”","ભગવાનના સ્વરૂપને વિષે સદા સાકારપણાની દ્રઢ નિષ્ઠા હોય ને પોતે જે ભજનનો કરનારો તે બ્રહ્મરૂપ થાય તો પણ તે નિષ્ઠા જાય જ નહીં અને ગમે તેવા નિરાકાર પ્રતિપાદનના ગ્રંથને સાંભળે તો પણ ભગવાનના સ્વરૂપને સદા સાકાર જ સમજે અને શાસ્ત્રને વિષે ગમે તેવી વાત આવે પણ પોતે ભગવાનના સાકાર સ્વરૂપનું જ પ્રતિપાદન કરે પણ પોતાની ઉપાસનાનું ખંડન થવા દે જ નહીં, એવી રીતે જેની દ્રઢ સમજણ હોય તેને ઉપાસનાવાળો કહીએ. ","Bhagwānnā swarūpne viṣhe sadā sākārpaṇānī draḍh niṣhṭhā hoy ne pote je bhajanno karnāro te brahmarūp thāy to paṇ te niṣhṭhā jāyaj nahī ane game tevā nirākār pratipādananā granthne sāmbhaḷe to paṇ Bhagwānnā swarūpne sadā sākāraj samje ane shāstrane viṣhe game tevī vāt āve paṇ pote Bhagwānnā sākār swarūpnuj pratipādan kare paṇ potānī upāsanānu khanḍan thavā dej nahī, evī rīte jenī draḍh samajaṇ hoy tene upāsanāvāḷo kahīe.",,Vachanamrut Gadhada I - 40,Vachanamrut Gadhada I - 40 - Understanding Bhagwān as Sākār (with a form)
Drawbacks of Understanding Bhagwān as Nirākār (without a form),"Of all mistakes made against God, to denounce the form of God is a very grave mistake. One should never make this mistake. One who does do so commits a sin more serious than the five grave sins. Refuting the form of God is nothing more than understanding God, who eternally has a form, to be formless."," ભગવાનના સર્વે અપરાધ થકી જે ભગવાનના આકારનું ખંડન કરવું એ મોટો અપરાધ છે, તે માટે એ અપરાધ તો ક્યારેય પણ કરવો નહીં. અને એ અપરાધ કરે તો એને પંચ મહાપાપ કરતાં પણ અધિક પાપ લાગે છે. અને ભગવાન તો સદા સાકારમૂર્તિ છે, તેને જે નિરાકાર સમજવા એ જ ભગવાનના આકારનું ખંડન કર્યું કહેવાય છે.","Bhagwānnā sarve aparādh thakī je Bhagwānnā ākārnu khanḍan karvu e moṭo aparādh chhe, te māṭe e aparādh to kyārey paṇ karvo nahī. Ane e aparādh kare to ene panch mahāpāp kartā paṇ adhik pāp lāge chhe. Ane Bhagwān to sadā sākār-mūrti chhe, tene je nirākār samajvā ej Bhagwānnā ākārnu khanḍan karyu kahevāy chhe. ",,Vachanamrut Gadhada I-71,Vachanamrut Gadhada I-71 - Drawbacks of Understanding Bhagwān as Nirākār (without a form)
Drawbacks of Understanding Bhagwān as Nirākār (without a form),"A person may well be endowed with each and every virtue, but if he believes God to be formless - not possessing a definite form - then that is a grave flaw. So much so, that because of this flaw, all of his virtues become flaws. ","સર્વે ગુણે સંપન્ન હોય ને જો ભગવાનને અલિંગ સમજતો હોય પણ મૂર્તિમાન ન સમજે એ મોટો દોષ છે, એણે કરીને એના બીજા સર્વે ગુણ દોષરૂપ થઈ જાય છે.” ","Sarve guṇe sampanna hoy ne jo Bhagwānne aling samajto hoy paṇ mūrtimān na samje e moṭo doṣh chhe, eṇe karīne enā bījā sarve guṇ doṣhrūp thaī jāy chhe.”",,Vachanamrut Loya-16,Vachanamrut Loya-16 - Drawbacks of Understanding Bhagwān as Nirākār (without a form)
Drawbacks of Understanding Bhagwān as Nirākār (without a form),"Those who describe and know the form of God as formless and misinterpret the scriptures will, for countless births – for ten thousand years in Treta-yug; for a thousand years in Dwapar-yug and for a hundred years in Kali-yug – not even be able to cry with relief when they are cut out from the womb.1 In this way, they will endlessly suffer miseries for an infinite period of time, but they will not get any happiness.","ભગવાનના સ્વરૂપને જે નિરાકાર કહેનારા છે ને જાણનારા છે ને સત્શાસ્ત્રના અર્થને અવળા અર્થના કરનારા છે, તે તો અનંત જન્મ સુધી ને ત્રેતાયુગમાં દસ હજાર વરસ સુધી ને દ્વાપરયુગમાં હજાર વરસ સુધી ને કળિયુગમાં સો વરસ સુધી એને ગર્ભમાંથી શસ્ત્રે કાપી કાપીને કાઢશે પણ બાળો સાદ કાઢીને રોશે નહિ ને એમ ને એમ અનંત કલ્પ સુધી દુઃખને ભોગવશે, પણ સુખ તો નહિ જ થાય.","Bhagwānnā swarūpne je nirākār kahenārā chhe ne jāṇanārā chhe ne satshāstranā arthne avḷā arthnā karnārā chhe, te to anant janma sudhī ne tretāyugmā das hajār varas sudhī ne dwāparyugmā hajār varas sudhī ne kaḷiyugmā so varas sudhī ene garbhmāthī shastre kāpī kāpīne kāḍhshe paṇ bāḷo sād kāḍhīne roshe nahi ne em ne em anant kalp sudhī dukhne bhogavshe, paṇ sukh to nahij thāy. ",,Swamini Vat 3/16,Swamini Vat 3/16 - Drawbacks of Understanding Bhagwān as Nirākār (without a form)
Instruction to Understand Bhagwān as Sākār,"Scriptures which do not promote God possessing a form and do not describe God’s avatārs, but instead discuss pure Vedānta and propound a single, formless entity, should never be studied or heard, even if they have been written by someone very intelligent.", જે શાસ્ત્રમાં ભગવાનનું સાકારપણું પ્રતિપાદન ન કર્યું હોય તથા ભગવાનના અવતારનું નિરૂપણ ન હોય અને તે ગ્રંથ શુદ્ધ વેદાંતના હોય ને એક અદ્વિતીય નિરાકારનું પ્રતિપાદન કરતા હોય ને તે ગ્રંથ સૂધા બુદ્ધિવાનના કરેલા હોય તો પણ તે ગ્રંથને કોઈ દિવસ ભણવા નહીં ને સાંભળવા પણ નહીં ,Je shāstramā Bhagwānnu sākārpaṇu pratipādan na karyu hoy tathā Bhagwānnā avtārnu nirūpaṇ na hoy ane te granth shuddh vedāntnā hoy ne ek advitīya nirākārnu pratipādan kartā hoy ne te granth sūdhā buddhivānnā karelā hoy to paṇ te granthne koī divas bhaṇvā nahī ne sāmbhaḷvā paṇ nahī. ,,Vachanamrut Loya-6,Vachanamrut Loya-6
Instruction to Understand Bhagwān as Sākār,"One should not associate with those who deny Bhagwān and his incarnations, disapprove of upāsanā to Paramatma or believe Bhagwān, who eternally possesses a form, to be formless. Do not read such texts. ","જે મનુષ્ય ભગવાન અને તેમના અવતારોનું ખંડન કરતો હોય, પરમાત્માની ઉપાસનાનું ખંડન કરતો હોય અને સાકાર ભગવાનને નિરાકાર માનતો હોય તેનો સંગ ન કરવો. તેવા ગ્રંથો ન વાંચવા. ","Je manuṣhya Bhagwān ane temnā avtāronu khanḍan karto hoy, paramātmānī upāsanānu khanḍan karto hoy ane sākār Bhagwānne nirākār mānto hoy teno sang na karvo. Tevā grantho na vānchavā. ",,Satsang Diksha Shlok 218-219,Satsang Diksha Shlok 218-219 - Instruction to Understand Bhagwān as Sākār
Instruction to Understand Bhagwān as Sākār,"9/19/2017
Param Pujya Mahant Swami Maharaj was traveling in a plane from Mumbai to Atladra. Hariprakash Swami began holding Harikrishna Maharaj (Thakorji) close to the window so Maharaj could see outside. After some time, Swamishri said, “Tyā tāp āve chhe” (There is lots of sun there). As time passed, Swamishri was eventually given food and water, but Swamishri drank the water with a displeased look on his face.
 
 Gurumanan Swami asked, “Swami, why do you seem unhappy?”
 
Swamishri pointed to Thakorji facing towards him. Look at Swamishri’s respect for Thakorji! He knew we should not even eat in front of Thakorji. Swamishri truly believes Thakorji to be a real, living form of Shriji Maharaj himself! This is Swamishri’s dedication to Shriji Maharaj’s sakarpanu. ",,,,,Prasang
