Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
The Divinity of Bhagwān and the Satpurush | Yogi Gita,"When the Satpurush comes into this world, he acts like a normal human being. He mixes in with everyone, but understand that he is flawless and divine.","મોટાપુરુષ આ લોકમાં આવે ત્યારે સામાન્ય મનુષ્ય જેવાં ચરિત્ર કરે, લોકોમાં ભળી જાય; પણ તેને નિર્દોષ જ સમજવા.","Moṭāpuruṣh ā lokmā āve tyāre sāmānya manuṣhya jevā charitra kare, lokomā bhaḷī jāy; paṇ tene nirdoṣhaj samajvā.",https://baps.box.com/shared/static/ek2ofdubwqu95rgeh3u58alt42rzj3l7.wav,Yogi Gita,The Divinity of Bhagwān and the Satpurush
The Divinity of Bhagwān and the Satpurush | Yogi Gita,"The Mahārāj in Akshardhām is the very same Mahārāj I have met here on earth. To understand that he is free of human traits and deficiencies is nirdoshbuddhi. To follow his commands is bhakti, or devotion.","જેવા મહારાજ અક્ષરધામમાં સાકાર બિરાજમાન છે તેવા ને તેવા જ મને પ્રગટ મળ્યા છે, તેમાં મનુષ્યભાવ - દેહભાવ નથી, - તેવી સમજણ તે નિર્દોષબુદ્ધિ, પછી તેની આજ્ઞા પાળે તે ભક્તિ. ","Jevā Mahārāj Akṣhardhāmmā sākār birājmān chhe tevā ne tevāj mane pragaṭ maḷyā chhe, temā manuṣhyabhāv - dehbhāv nathī, - tevī samjaṇ te nirdoṣhbuddhi, pachhī tenī āgnā pāḷe te bhakti.",https://baps.box.com/shared/static/15unhwkzkqyu90hdern5f9s5euh0sv9s.wav,Yogi Gita,The Divinity of Bhagwān and the Satpurush
The Divinity of Bhagwān and the Satpurush | Kirtan - Sadā karvo re harijanno sang - Muktanand Swāmi,"Understanding this and renouncing I-ness and my-ness, one should serve the Sant with genuine feelings (divine feelings). And remove any feelings of human traits from the mind. The true Sant (Aksharbrahma Satpurush) is the form of God himself.","જી રે એવું જાણી અહંતા તજી, શુદ્ધ ભાવે રે,
કરવી સંતની સેવ, મનુષ્યભાવ મનથી તજો;
મુક્તાનંદ કહે રે, સાચા સંત છે દેવ...૪ ","Jī re evu jāṇī ahantā tajī, shuddh bhāve re,
Karvī santnī sev, manushyabhāv manthī tajo;
 Muktānand kahe re, sāchā sant chhe Dev...4",https://baps.box.com/shared/static/k0oaudverdn0a32s745zdcvyinv5sko5.mp3,Kirtan - Sadā karvo re harijanno sang - Muktanand Swāmi,The Divinity of Bhagwān and the Satpurush
Benefits of Divyabhāv in Bhagwān & the Satpurush | Vachanāmrut Gaḍhaḍā I-24,"If a person realizes God to be absolutely flawless, then regardless of his own swabhāvs, he himself becomes absolutely flawless as well. ",અને પોતામાં ગમે તેવા ભૂંડા સ્વભાવ હોય ને જો ભગવાનને અતિશય નિર્દોષ સમજે તો પોતે પણ અતિશય નિર્દોષ થઈ જાય છે.,Ane potāmā game tevā bhūnḍā swabhāv hoy ne jo Bhagwānne atishay nirdoṣh samje to pote paṇ atishay nirdoṣh thaī jāy chhe.,https://baps.box.com/shared/static/3ttcisycc0i814lpist2v51d11nyddnh.mp3,Vachanāmrut Gaḍhaḍā I-24,Benefits of Divyabhāv in Bhagwān & the Satpurush
Benefits of Divyabhāv in Bhagwān & the Satpurush | Vachanāmrut Gaḍhaḍā I-73,"The means of acquiring such virtuous qualities is as follows: Whoever believes the Satpurush to be absolutely free of flaws becomes totally flawless himself. If, however, a person perceives flaws in the great Purush, that person’s intellect becomes polluted, and enemies - i.e., lust, anger, etc. - all come to dwell within his heart.",મોટાપુરુષને વિષે જે નિર્દોષબુદ્ધિ રાખે છે તે પોતે સર્વ દોષ થકી રહિત થાય છે અને જે મોટાપુરુષને વિષે દોષ પરઠે છે તે દોષના પરઠનારાની બુદ્ધિ ભ્રષ્ટ થઈ જાય છે અને કામાદિક જે શત્રુ તે સર્વે તેના હૈયામાં આવીને નિવાસ કરે છે.,Moṭāpuruṣhne viṣhe je nirdoṣhbuddhi rākhe chhe te pote sarva doṣh thakī rahit thāy chhe ane je moṭāpuruṣhne viṣhe doṣh parṭhe chhe te doṣhnā parṭhnārānī buddhi bhraṣhṭ thaī jāy chhe ane kāmādik je shatru te sarve tenā haiyāmā āvīne nivās kare chhe. ,https://baps.box.com/shared/static/rtznz9nlsucc7lwvqu2pjotcx0wy8n13.mp3,Vachanāmrut Gaḍhaḍā I-73,Benefits of Divyabhāv in Bhagwān & the Satpurush
Benefits of Divyabhāv in Santo & Devotees | Purushottam Bolyā Prite 6,I have intense affection for those who see sādhus and devotees as nirdosh (fault-free) and talk about their fault-free nature to others.,"સંતો-ભક્તોને નિર્દોષ જોતો હોય અને બીજાને પણ એના નિર્દોષપણાની વાત કરતો હોય, તેના ઉપર અમને અત્યંત હેત રહે છે.","Santo-bhaktone nirdoṣh joto hoy ane bījāne paṇ enā nirdoṣhpaṇānī vāt karto hoy, tenā upar amne atyant het rahe chhe. ",https://baps.box.com/shared/static/699f66xdpp4ynaiolsesnjwdosz9n5wn.mp3,Purushottam Bolyā Prite 6,Benefits of Divyabhāv in Santo & Devotees
Benefits of Divyabhāv in Santo & Devotees | Purushottam Bolyā Prite 7,"All devotees who worship God are divine. Whoever understands this essential principle, thinks about it and practices it becomes joyous and wins over the world (conquers the mind). Day or night, his experience of bliss does not cease.","ભગવાનને ભજતા સર્વે હરિજનો દિવ્ય છે. આ મર્મની વાત જે કોઈ સમજે, ધારે ને વિચારે છે તે મગ્ન થઈ જાય છે ને જગ જીતી જાય છે. આઠો પહર આનંદ એનો ટળતો નથી.","Bhagwānne bhajtā sarve harijano divya chhe. Ā marmanī vāt je koī samje, dhāre ne vichāre chhe te magna thaī jāy chhe ne jag jītī jāy chhe. Āṭho pahar ānand eno ṭaḷto nathī.",https://baps.box.com/shared/static/t9roa58z2z69j9xzahy49lyosg8lco6r.mp3,Purushottam Bolyā Prite 7,Benefits of Divyabhāv in Santo & Devotees
Benefits of Divyabhāv in Santo & Devotees | Purushottam Bolyā Prite 7,"At Navavas, in Amdavad, Shri Hari was seated in an assembly and said, “One who sees sādhus and devotees as divine becomes eligible to go to Akshardhām. The moksha of such a devotee is guaranteed. There is not the slightest doubt in this.","અમદાવાદ નવાવાસમાં શ્રીહરિ સભા કરીને બિરાજ્યા અને વાત કરવા લાગ્યા, “સત્સંગમાં સંત-હરિભક્તોને અલૌકિક દેખે તે પરમપદનો અધિકારી છે. એવા ભક્તનો મોક્ષ નિશ્ચય થઈ ગયો જાણવો. એમાં રંચમાત્ર ફેર નથી.","Amdāvād Navāvāsmā Shrī Hari sabhā karīne birājyā ane vāt karvā lāgyā, “Satsangmā sant-haribhaktone alaukik dekhe te parampadno adhikārī chhe. Evā bhaktano mokṣha nishchay thaī gayo jāṇvo. Emā ranchmātra fer nathī.",https://baps.box.com/shared/static/6srufm0ujt3jiv4i5mwt1sbfkvgvvyjl.mp3,Purushottam Bolyā Prite 7,Benefits of Divyabhāv in Santo & Devotees
Measuring Divyabhāv | Swāmini Vāt 1/102,"How can one check to find out whether one perceives no human traits in the Satpurush? The answer, “Seeing no faults in any of his actions is to understand him as divine.","મોટાને વિષે મનુષ્યભાવ નથી રહ્યો તેનો કેમ તપાસ કરવો?” એ પ્રશ્નનો ઉત્તર કર્યો જે, “એની કોઈ ક્રિયામાં દોષ ન આવે એ જ દિવ્યભાવ છે.","Moṭāne viṣhe manuṣhyabhāv nathī rahyo teno kem tapās karvo?” E prashnano uttar karyo je, “Enī koī kriyāmā doṣh na āve ej divyabhāv chhe.",https://baps.box.com/shared/static/kymsvt2qz52pf20pjnk5qha57ry7difm.mp3,Swāmini Vāt 1/102,Measuring Divyabhāv
Prasang,"December 16th, 2016, Friday,  Selvas
At 11:53 AM, Swãmishri was getting ready to depart for Silvassa (i.e. Selvas). During Swãmishri’s breakfast and meals (lunch and dinner), Yogibapa’s bodh kathas are read. In context to the bodh katha being read, Swãmishri brought up the black robin. He said, “When the robin circles three time, remember Mahārāj, Swãmi and the Satpurush. If you do so, no obstacles hinder your path.” Explaining the hidden meaning of the bodh katha, Swãmishri added, “To not blink your eye means to not have manushyabhãv. Always have divyabhãv, never any doubt.” Explaining the method to do so, Swãmishri said, “First keep trust, divyabhãv follows''.",,,https://baps.box.com/shared/static/4egsqv11dj6qck1j2dqqmefmjl9zmjgp.mp3,Prasang,Measuring Divyabhāv
