title	english_content	gujurati_content	transliteration_content	audio_url   source
Inherently Divine	When the Satpurush comes into this world, he acts like a normal human being. He mixes in with everyone, but understand him to be flawless and divine.	મોટાપુરુષ આ લોકમાં આવે ત્યારે સામાન્ય મનુષ્ય જેવાં ચરિત્ર કરે, લોકોમાં ભળી જાય; પણ તેને નિર્દોષ જ સમજવા.	Moṭāpuruṣh ā lokmā āve tyāre sāmānya manuṣhya jevā charitra kare, lokomā bhaḷī jāy; paṇ tene nirdoṣh j samajvā.	www.placeholder.com	Yogi Gita - Yogi Vani 26/27
Inherently Divine	The Maharaj in Akshardham is the very same Maharaj I have met here on earth. To understand that he is free of human traits and deficiencies is nirdoshbuddhi. To follow his commands is bhakti, or devotion.	જેવા મહારાજ અક્ષરધામમાં સાકાર બિરાજમાન છે તેવા ને તેવા જ મને પ્રગટ મળ્યા છે, તેમાં મનુષ્યભાવ - દેહભાવ નથી, - તેવી સમજણ તે નિર્દોષબુદ્ધિ, પછી તેની આજ્ઞા પાળે તે ભક્તિ.	Jevā Mahārāj Akṣhardhāmmā sākār birājmān chhe tevā ne tevāj mane pragaṭ maḷyā chhe, temā manuṣhyabhāv - dehbhāv nathī, - tevī samjaṇ te nirdoṣhbuddhi, pachhī tenī āgnā pāḷe te bhakti.	www.placeholder.com	Yogi Gita - Yogi Vani 26/72
Inherently Divine	Understanding this and renouncing I-ness and my-ness, one should serve the Sant with genuine feelings (divine feelings) and remove any feelings of human traits from the mind. The true Sant is the form of God himself.	જી રે એવું જાણી અહંતા તજી, શુદ્ધ ભાવે રે, કરવી સંતની સેવ, મનુષ્યભાવ મનથી તજો; મુક્તાનંદ કહે રે, સાચા સંત છે દેવ... દુર્લભ꠶	Jī re evu jāṇī ahantā tajī, shuddh bhāve re, Karavī santnī sev, manushyabhāv manthī tajo; Muktānand kahe re, sāchā sant chhe Dev... durlabh	www.placeholder.com	Source Needs to be Filled
Benefits of Divyabhav-Nirdoshbuddhi in Bhagwan & the Satpurush	The means of acquiring such virtuous qualities is as follows: whoever believes the Satpurush to be absolutely free of flaws becomes totally flawless himself. If, however, a person perceives flaws in the great Purush, that person’s intellect becomes polluted, and enemies - i.e., lust, anger, etc. - all come to dwell within his heart.	મોટાપુરુષને વિષે જે નિર્દોષબુદ્ધિ રાખે છે તે પોતે સર્વ દોષ થકી રહિત થાય છે અને જે મોટાપુરુષને વિષે દોષ પરઠે છે તે દોષના પરઠનારાની બુદ્ધિ ભ્રષ્ટ થઈ જાય છે અને કામાદિક જે શત્રુ તે સર્વે તેના હૈયામાં આવીને નિવાસ કરે છે	Moṭāpuruṣhne viṣhe je nirdoṣhbuddhi rākhe chhe te pote sarva doṣh thakī rahit thāy chhe ane je Moṭāpuruṣhne viṣhe doṣh parṭhe chhe te doṣhnā parṭhnārānī buddhi bhraṣhṭ thaī jāy chhe ane kāmādik je shatru te sarve tenā haiyāmā āvīne nivās kare chhe.	www.placeholder.com	Gadhada I 73
Benefits of Divyabhav-Nirdoshbuddhi in Bhagwan & the Satpurush	If a person realizes God to be absolutely flawless, then regardless of his own swabhāvs, he himself becomes absolutely flawless as well.	અને પોતામાં ગમે તેવા ભૂંડા સ્વભાવ હોય ને જો ભગવાનને અતિશય નિર્દોષ સમજે તો પોતે પણ અતિશય નિર્દોષ થઈ જાય છે.	Ane potāmā game tevā bhūnḍā swabhāv hoy ne jo Bhagwānne atishay nirdoṣh samje to pote paṇ atishay nirdoṣh thaī jāy chhe.	www.placeholder.com	Gadhada I 24
Benefits of Divyabhav-Nirdoshbuddhi in Sadhus & Devotees	I have intense affection for those who see sadhus and devotees as nirdosh (fault-free) and talk about their fault-free nature to others.	સંતો-ભક્તોને નિર્દોષ જોતો હોય અને બીજાને પણ એના નિર્દોષપણાની વાત કરતો હોય, તેના ઉપર અમને અત્યંત હેત રહે છે.	Santo-bhaktone nirdoṣh joto hoy ane bījāne paṇ enā nirdoṣhpaṇānī vāt karto hoy, tenā upar amne atyant het rahe chhe.	www.placeholder.com	Purushottam Bolya Prite 6/15
Benefits of Divyabhav-Nirdoshbuddhi in Sadhus & Devotees	All devotees who worship God are divine. Whoever understands this essential principle, thinks about it and practices it becomes joyous and wins over the world (conquers the mind). Day or night, his experience of bliss does not cease.	ભગવાનને ભજતા સર્વે હરિજનો દિવ્ય છે. આ મર્મની વાત જે કોઈ સમજે, ધારે ને વિચારે છે તે મગ્ન થઈ જાય છે ને જગ જીતી જાય છે. આઠો પહર આનંદ એનો ટળતો નથી.	Bhagwānne bhajtā sarve harijano divya chhe. Ā marmanī vāt je koī samje, dhāre ne vichāre chhe te magna thaī jāy chhe ne jag jītī jāy chhe. Āṭho pahar ānand eno ṭaḷato nathī.	www.placeholder.com	Purushottam Bolya Prite 7/11
Benefits of Divyabhav-Nirdoshbuddhi in Sadhus & Devotees	At Navavas, in Amdavad, Shri Hari was seated in an assembly and said, “One who sees sadhus and devotees as divine becomes eligible to go to Akshardham. The moksha of such a devotee is guaranteed. There is not the slightest doubt in this.	અમદાવાદ નવાવાસમાં શ્રીહરિ સભા કરીને બિરાજ્યા અને વાત કરવા લાગ્યા, “સત્સંગમાં સંત-હરિભક્તોને અલૌકિક દેખે તે પરમપદનો અધિકારી છે. એવા ભક્તનો મોક્ષ નિશ્ચય થઈ ગયો જાણવો. એમાં રંચમાત્ર ફેર નથી.	Amadāvād Navāvāsmā Shrī Hari sabhā karīne birājyā ane vāt karvā lāgyā, “Satsangamā sant-haribhaktone alaukik dekhe te parampadano adhikārī chhe. Evā bhaktano mokṣha nishchay thaī gayo jāṇvo. Emā ranchmātra fer nathī.	www.placeholder.com	Purushottam Bolya Prite 7/38
Measuring Divyabhav	How can one check to find out whether one perceives no human traits in the Satpurush? The answer, “Seeing no faults in any of his actions is to understand him as divine.	મોટાને વિષે મનુષ્યભાવ નથી રહ્યો તેનો કેમ તપાસ કરવો?” એ પ્રશ્નનો ઉત્તર કર્યો જે, “એની કોઈ ક્રિયામાં દોષ ન આવે એ જ દિવ્યભાવ છે.	Moṭāne viṣhe manuṣhyabhāv nathī rahyo teno kem tapās karvo?” E prashnano uttar karyo je, “Enī koī kriyāmā doṣh na āve ej divyabhāv chhe.	www.placeholder.com	Swamini Vato 1/102
Sambandhno Mahima	When a fault is noticed in a devotee, one should think, ‘His swabhāv is such that it is not suitable in the Satsang fellowship; nevertheless, he has attained satsang. Regardless of what he is like, he has still remained in the Satsang fellowship. Surely, then, his sanskārs from past lives or from this very life must be extremely favourable for him to have attained this satsang.’ With this understanding, one should highly appreciate even such a person’s virtues.	જ્યારે કોઈ હરિભક્તનો દોષ નજરમાં આવે ત્યારે એમ સમજવું જે, ‘આનો સ્વભાવ તો સત્સંગમાં ન ઘટે તેવો છે તોય પણ એને જો સત્સંગ મળ્યો છે અને એ જો જેવો-તેવો છે તોય પણ સત્સંગમાં પડ્યો છે, તો એનો પૂર્વજન્મનો અથવા આ જન્મનો સંસ્કાર ભારે છે તો આવો સત્સંગ મળ્યો છે,’ એમ સમજીને તેનો પણ અતિશય ગુણ લેવો.	Jyāre koī haribhaktano doṣh najarmā āve tyāre em samajvu je, ‘Āno swabhāv to satsangmā na ghaṭe tevo chhe toy paṇ ene jo satsang maḷyo chhe ane e jo jevo-tevo chhe toy paṇ satsangmā paḍyo chhe, to eno pūrvajanmano athavā ā janmano sanskār bhāre chhe to āvo satsang maḷyo chhe,’ em samjīne teno paṇ atishay guṇ levo.	www.placeholder.com	Gadhada I 24
