Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Vachanamrut Vartal-11 | Benefits of Dradh Priti,Intense love for the Satpurush is the only means to realizing one's ātmā;  it is the only means to realizing the greatness of the Satpurush; and it is  also the only means to having the direct realization of God. ,સત્પુરુષને વિષે દૃઢ  પ્રીતિ એ જ આત્મદર્શનનું સાધન છે અને સત્પુરુષનો મહિમા જાણ્યાનું પણ એ જ સાધન છે અને પરમેશ્વરનું સાક્ષાત્ દર્શન થવાનું પણ એ જ સાધન છે.,Satpurush ne vishe dradh priti ej ātma-darshan nu sādhān chhe ane Satpurush no mahimā jānyā nu pan ej sādhan chhe ane Parmeshwar nu  sākshāt darshan thavānu pan ej sādhan chhe.,https://baps.box.com/shared/static/2661i6516oq8ymgnf9u5g6vleatmn5xh.mp3,Vachanamrut Vartal-11,Benefits of Dradh Priti
Bhāgvat-3-25-20 | Benefits of Dradh Priti,"If a person maintains profound love towards the Ekāntik Sant of God (Aksharbrahman Guru) just as resolutely as he maintains profound love towards his own  relatives, then the gateway to liberation opens up for him.","પ્રસંગમજરં પાશમાત્મનઃ કવયો વિદુઃ ।
સ એવ સાધુષુ કૃતો મોક્ષદ્વારમપાવૃતમ્ ॥","Prasangam-ajaram pāsham, Ātmanaha kavayo viduhu |
Sa eva sādhushu kruto, Moksha-dwāram-apāvrutam ||",https://baps.box.com/shared/static/7s3cdhcabl8olo166vbkfldqdqi8zmew.wav,Bhāgvat-3-25-20,Benefits of Dradh Priti
Vachanamrut Gadhada III-11 | Benefits of Dradh Priti,"If a person is profoundly attached to God and His Bhakta (the Aksharbrahman Satpurush), just as he is attached to his body, then he will not be affected by any obstacles. In fact, regardless of the extent of adverse circumstances he may encounter, he will not turn away from God and His Bhakta.",જીવને જેવી દેહને વિષે આત્મબુદ્ધિ છે તેવી ભગવાન તથા ભગવાનના ભક્તને વિષે આત્મબુદ્ધિ હોય તો તેને કોઈ રીતનું વિઘ્ન લાગે નહીં. અને ગમે તેવાં દેશકાળાદિક ભૂંડાં આવે તેણે કરીને એ ભગવાન ને ભગવાનના ભક્ત થકી વિમુખ થાય નહીં,Jīvne jevī dehne viṣhe ātmabuddhi chhe tevī Bhagwān tathā Bhagwānnā bhaktane viṣhe ātmabuddhi hoy to tene koī rītnu vighna lāge nahī. Ane game tevā desh-kāḷādik bhūnḍā āve teṇe karīne e Bhagwān ne Bhagwānnā bhakta thakī vimukh thāy nahī.,https://baps.box.com/shared/static/ujyvw0uzbz7bsr0b2nah6mm9zbpcutro.mp3,Vachanamrut Gadhada III-11,Benefits of Dradh Priti
Satsang Diksha Shlok 135 | Benefits of Dradh Priti,Intense affection for the Aksharbrahman guru is the only means to attaining the brāhmic state and realizing Bhagwān.,અક્ષરબ્રહ્મસ્વરૂપ ગુરુને વિષે દૃઢ પ્રીતિ એ જ બ્રાહ્મી સ્થિતિ તથા ભગવાનના સાક્ષાત્કારને પામવાનું સાધન છે.,Aksharbrahma-swarup gurune vishe dradh priti ej brāhmi sthiti tathā Bhagwānnā sākshātkārne pāmvānu sādhan chhe. ,https://baps.box.com/shared/static/7n2mcx0j1i1388992oksu7vyyolkgwhj.mp3,Satsang Diksha Shlok 135,Benefits of Dradh Priti
Vachanamrut Kariyani-11 | Characteristics of one with Dradh Priti,"He who has affection for his beloved, God, will never disobey the  wishes of his beloved. That is the characteristic of affection. To take  an example, the gopis had affection for Shri Krishna Bhagwān. The  characteristic of affection is exactly this: One who has true affection  for a person acts according to the person's wishes.",જેને પોતાના પ્રિયતમ જે ભગવાન તેને વિષે પ્રીતિ હોય તે પોતાના પ્રિયતમની મરજીને લોપે નહીં એ પ્રીતિનું લક્ષણ છે……જેને ભગવાનને વિષે પ્રીતિ હોય તે ભગવાનની આજ્ઞા કોઈ કાળે લોપે નહીં. જેમ ભગવાનનું ગમતું હોય તેમ જ રહે એ પ્રીતિનું લક્ષણ છે.,Jene potānā priyatam je Bhagwān tene viṣhe prīti hoy te potānā priyatamnī marajīne lope nahī e prītinu lakṣhaṇ chhe. Jene Bhagwānne  vishe preeti hoy te Bhagwānni agna koi kaḷe lope nahi. Jem Bhagwānnu  gamtu hoy temaj rahe e preetinu lakshan chhe. ,https://baps.box.com/shared/static/8fzh9d1r4xujbcyd6ugo1vciu3hiwxhf.mp3,Vachanamrut Kariyani-11,Characteristics of one with Dradh Priti
Vachanamrut Gadhada I-44 | Characteristics of one with Dradh Priti,"In actual fact, affection is constantly remembering God’s form. That is called affection. A devotee with such total affection for God never has any thoughts other than those of God. The extent to which he harbors desires other than those of God is the extent to which he lacks in his affection.","અને સ્નેહ તો એનું નામ જે, ‘ભગવાનની મૂર્તિની અખંડ સ્મૃતિ રહે,’ એનું નામ સ્નેહ કહીએ. અને જે ભક્તને પરિપૂર્ણ ભગવાનને વિષે સ્નેહ હોય તેને એક ભગવાન વિના બીજો સંકલ્પ જ ન થાય અને જેટલો ભગવાન વિના બીજો ઘાટ થાય છે તેટલો તેના સ્નેહમાં ફેર છે. ","Ane sneh to enu nām je, ‘Bhagwānnī mūrtinī akhanḍ smṛuti rahe,’ enu nām sneh kahīe. Ane je bhaktane paripūrṇa Bhagwānne viṣhe sneh hoy tene ek Bhagwān vinā bījo sankalpaj na thāy ane jeṭalo Bhagwān vinā bījo ghāṭ thāy chhe teṭalo tenā snehmā fer chhe. ",https://baps.box.com/shared/static/6bv5sj56nq3sdfgpjuo9v8jw4v9u1kpi.mp3,Vachanamrut Gadhada I-44,Characteristics of one with Dradh Priti
Vachanamrut Gadhada I-44 | How to develop Dradh Priti,Only by keeping profound association with the Satpurush can one develop intense love for God.,સત્પુરુષનો જે પ્રસંગ એ જ પરમેશ્વરને વિષે દ્રઢ પ્રીતિ થવાનું કારણ છે.,Satpurushno je prasang ej Parameshwarne vishe dradh priti thavānu kāraṇ chhe,https://baps.box.com/shared/static/blch8o0b41y5qhkupajsgdg4weoq24sb.mp3,Vachanamrut Gadhada I-44,How to develop Dradh Priti
Vachanamrut Gadhada I-59 | How to develop Dradh Priti,"He should realize only Purushottam Bhagwān to be the creator and the antaryāmi of all. Such an understanding, along with faith in the manifest form of God, is the only way to develop unparalleled love for God.",એક ભગવાન પુરુષોત્તમને જ કર્તા જાણે અને સર્વના અંતર્યામી જાણે. એવી રીતની સમજણે સહિત જે પ્રત્યક્ષ ભગવાનના સ્વરૂપને વિષે નિશ્ચય તે જ પરમેશ્વરને વિષે અસાધારણ સ્નેહનું કારણ છે,Ek Bhagwān Puruṣhottamnej kartā jāṇe ane sarvanā antaryāmī jāṇe. Evī rītnī samajṇe sahit je pratyakṣh Bhagwānnā swarūpne viṣhe nishchay tej Parameshwarne viṣhe asādhāraṇ snehnu kāraṇ chhe.,https://baps.box.com/shared/static/gltom8z8by7oibeblwltjh9pyds06nc1.mp3,Vachanamrut Gadhada I-59,How to develop Dradh Priti
Kirtan - Brahmanand Swami | How to develop Dradh Priti,"Only the relationship with God is true and permanent. All other relationships are false (temporary and ephemeral).
(1) I have broken my affection to everyone else. I have broken the wishes of the mind (to marry anyone else) believing it to be false. Only God is worthy of being married to","રે સગપણ હરિવરનું સાચું, બીજું સર્વે ક્ષણભંગુર કાચું... ꠶ટેક
રે સૌ સાથે પ્રીતિ ટાળી, રે ભાંગ્યું મન મિથ્યા ભાળી,
છે વરવા જેવા એક વનમાળી... રે સગપણ꠶ ૧","Re sagpaṇ Harivarnu sāchu,
bīju sarve kshaṇbhangur kāchu…

Re sau sāthe prīti ṭāḷī, 
re bhāngyu man mithyā bhāḷī,
Chhe varvā jevā ek Vanmāḷī... re sag 1",https://baps.box.com/shared/static/sr4mrw40yurv5c9dqjxprn5lric12ms0.mp3,Kirtan - Brahmanand Swami,How to develop Dradh Priti
Prasang,"In 2018 the bal-kishore karyakars of Jersey City, NJ made a symbolic and decorative smruti item for Swamishri. The smruti item was a poster with all the karyakars’ pictures on it. In the center of the poster was a heart with a mirror in the middle of it. Internal flaws were written over the mirror to symbolize the flaws that reside in our hearts.
Mahant Swami Maharaj received this smruti item on September 24th, 2018 in Sarangpur. Swamishri symbolically wiped away those flaws written on the mirror with a cloth. He then looked in the mirror to symbolize that he had wiped away the flaws that reside in the karyakars’ hearts. By wiping the flaws away, the karyakars could look like Mahant Swami Maharaj. Then Swamishri was asked, “As you wiped away these flaws on the mirror, how can the faults in all of our hearts be wiped away?”
Swamishri then wrote the answer on the cloth with which he wiped away the faults, “Gunātit guruonu dhyān ane emnā mā joḍān.” Actively thinking and remembering the Satpurush and developing a connection with him.",,,https://baps.box.com/shared/static/68bxpbvx1vyq6bvcrny0t7nzcorf26lx.mp3,Prasang,How to develop Dradh Priti
