Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
"Swamini Vat 1/173 | Instruction to Listen to Katha","When free, sit with the murti of God. What is that murti? Discourses, bhajans, spiritual discourses, and meditation of God are God’s murti. "," નવરાશ હોય ત્યારે ભગવાનની મૂર્તિને લઈને બેસવું. તે મૂર્તિ તે શું જે, ભગવાનની કથા, કીર્તન, વાર્તા ને ધ્યાન એ ભગવાનની મૂર્તિ છે. ","Navrāsh hoy tyāre Bhagwānnī mūrtine laīne besvu. Te mūrti te shu je, Bhagwānnī kathā, kīrtan, vārtā ne dhyān e Bhagwānnī mūrti chhe. ",https://baps.box.com/shared/static/d0n2sn7ahvb7sp1dvu03ksqvx9lhofs9.mp3,Swamini Vat 1/173,"Instruction to Listen to Katha"
"Vachanamrut Gadhada III-24 | Benefits of Kathā ","What is the reason behind a spiritual aspirant attaining noble virtues? Well, one develops an aversion for the world in proportion to the attachment one has for listening to the talks and discourses related to God; moreover, vicious natures such as lust, anger, avarice, etc., are also destroyed to that extent. ","“મુમુક્ષુને ઉત્કૃષ્ટ ગુણની પ્રાપ્તિ થાય તેનું કારણ શું છે? તો ભગવાનની કથાવાર્તા સાંભળ્યામાં જેને જેટલી પ્રીતિ તેને તેટલો જગતનો અભાવ થાય તથા કામ, ક્રોધ, લોભાદિક દોષનો નાશ થાય.” ","“Mumukṣhune utkṛuṣhṭ guṇnī prāpti thāy tenu kāraṇ shu chhe? To Bhagwānnī kathā-vārtā sāmbhaḷyāmā jene jeṭlī prīti tene teṭlo jagatno abhāv thāy tathā kām, krodh, lobhādik doṣhno nāsh thāy."" ",https://baps.box.com/shared/static/ao4x8j117wz1ir0p2hkxc2wionqxt32g.mp3,Vachanamrut Gadhada III-24,"Benefits of Kathā "
"Swamini Vat 1/50 | Benefits of Kathā ","""When we set aside all work and become free to listen to these spiritual discourses, understand that we are doing tens of millions of tasks. What are they? Through these spiritual discourses, we are crossing out our fate to hell, rebirth, and being reborn in the womb. But do not think we are sitting idly.""","આ સર્વે કામ મૂકીને આવીને નવરા બેસીને વાતું સાંભળીએ છીએ, તે એમ સમજવું જે, કરોડ કામ કરીએ છીએ. તે શું જે, જમપુરી, ચોરાસી, ગર્ભવાસ એ સર્વેને માથે લીટા તાણીએ છીએ પણ નવરા બેઠા છીએ એમ ન સમજવું. ","Ā sarve kām mūkīne āvīne navrā besīne vātu sāmbhaḷīe chhīe, te em samajvu je, karoḍ kām karīe chhīe. Te shu je, Jampurī, chorāsī, garbhavās e sarvane māthe līṭā tāṇīe chhīe paṇ navrā beṭhā chhīe em na samajvu. ",https://baps.box.com/shared/static/fd6ga2otwk07vc0u4zedd3cuqj7e1gmy.mp3,Swamini Vat 1/50,"Benefits of Kathā "
"Swamini Vat 1/154 | Benefits of Kathā ","Spiritual discourses are the body of God. Through them, one's understanding is strengthened. Therefore, they should be studied."" ","થા છે એ ભગવાનની મૂર્તિ છે, તે થકી સમજણની દૃઢતા થાય છે, માટે એનો અભ્યાસ રાખવો","""Kathā chhe e Bhagwānnī mūrti chhe, te thakī samjaṇnī draḍhtā thāy chhe, māṭe eno abhyās rākhvo.""",https://baps.box.com/shared/static/l1e64ltrw1y461v7287gh568ltsf9e0c.mp3,Swamini Vat 1/154,"Benefits of Kathā "
"Harililamrut 3/10/4 | Benefits of Kathā ","Just as the dirt of the body is cleaned by water, by listening to katha the mind is cleansed;
One who doesn’t listen to the katha of Bhagwān, does not gain the knowledge of Bhagwān.","શરીરનો મેલ જળેથી  જાય, કથા  સુણ્યાથી  મન શુદ્ધ થાય;
હરિ કથા જે ન સુણે  જ કાન,  તેને હરિનું નવ થાય જ્ઞાન…  ૪
","Sharīrano mel jaḷethī  jāya, kathā  suṇyāthī  man shuddha thāya;
hari kathā je na suṇej kāna,  tene harinu nav thāya Gnān ",https://baps.box.com/shared/static/oyisz21dch0lb03ze3o4di4s74dotk6o.mp3,Harililamrut 3/10/4,"Benefits of Kathā "
"Vachanamrut Karyani-12
 | How to Listen to Kathā",One should listen to the discourses of Purushottam Nārāyan with faith and love. There is no better method to stabilize the mind and to free it of desires for the sensual pleasures.,વિશ્વાસ રાખીને પ્રીતિએ સહિત જે ભગવાન પુરુષોત્તમનારાયણની વાત સાંભળવી એથી બીજું મનને સ્થિર થવાનું ને નિર્વિષયી થવાનું કોઈ મોટું સાધન નથી.” ,"""Vishvās rākhīne prītie sahit je Bhagwān Puruṣhottam Nārāyaṇnī vāt sāmbhaḷvī ethī bīju manne sthir thavānu ne nirviṣhayī thavānu koī moṭu sādhan nathī.”",https://baps.box.com/shared/static/oxa0p9n712f6zwki5tptguv5zo1c8vu0.mp3,"Vachanamrut Karyani-12
","How to Listen to Kathā"
"Swamini Vat 2/48 | How to Listen to Kathā","""The Portuguese hold daily military training so their people become very alert. Similarly, one who diligently practices listening to, posing questions, and answering questions in katha-varta spiritually progresses and gains courage.But without this no strength is gained. And what satisfaction can one who sits around lazily gain?""","ફિરંગી નિત્ય કવાયત કરાવે છે તેથી તેના માણસ બહુ ખબડદાર થાય છે, તેમ જે કથાવાર્તા, પ્રશ્ન-ઉત્તર કરવા સાંભળવાનો અભ્યાસ રાખે તેનો જીવ વૃદ્ધિને પામે ને તેમાં બળ આવે, પણ તે વિના બળ ન આવે ને જે આળસુ થઈને બેસી રહે તેને શું સમાસ થાય?","""Firangī nitya kavāyat karāve chhe tethī tenā māṇas bahu khabaḍdār thāy chhe, tem je kathā-vārtā, prashna-uttar karvā-sāmbhaḷvāno abhyās rākhe teno jīv vṛuddhine pāme ne temā baḷ āve, paṇ te vinā baḷ na āve ne je āḷsu thaīne besī rahe tene shu samās thāy?""",https://baps.box.com/shared/static/1e0twsqg2lalracytkw3qho3yijp3j7x.mp3,Swamini Vat 2/48,"How to Listen to Kathā"
"Yogi Gita | How to Listen to Kathā","Have an addiction for spiritual discourses. If one is so addicted, one will not be able to live without them. If someone senior is talking and you are not present, your heart should burn with a feeling of loss. Listening to spiritual discourses gives tranquility. So, learn how to grasp the discourses. Do not allow even one word to go in vain. Remember new and fresh sermons. Only then can you be called a listener. So become a true listener.",“કથાવાર્તાનું વ્યસન રાખવું. કથાવાર્તાનું વ્યસન હોય તો કર્યા વિના રહેવાય નહિ. મોટા વાતું કરતા હોય ને પોતે હાજર ન હોય તો હૃદયમાં બળતરા થવી જોઈએ. જ્યારે કથા સાંભળીએ ત્યારે શાંતિ થાય. માટે શબ્દ ઝીલવા શીખવું. એક શબ્દ વૃથા જવા દેવો નહિ. નવીન નવીન વાતો યાદ રાખવી. તો જ શ્રુત કહેવાય. માટે ખરા શ્રુત થાવું. ,"""Kathāvārtānu vyasan rākhvu. Kathāvārtānu vyasan hōy tō karyā vinā rahēvāy nahi. Mōṭā vātu kartā hōy nē pōtē hājar na hōy tō hrudaymā baḷatrā thavī jōie. Jyārē kathā sāmbhaḷīē tyārē shānti thāy. Māṭē shabda jhīlvā shīkhvu. Ēk shabda vruthā javā dēvō nahi. Navīn navīn vātō yād rākhvī. Tōj shrut kahēvāy. Māṭē kharā śhrut thāvu. ",https://baps.box.com/shared/static/t3jq2cqlpc3ljmzt6rar0nxivbwix4p1.wav,Yogi Gita,"How to Listen to Kathā"
"Satsang Diksha Shlok 125 | How to Listen to Kathā","One should fruitfully use time by performing sevā, listening to discourses, smruti, meditating, studying, singing kirtans of Bhagwān and engaging in other such activities. ","સેવા, કથા, સ્મરણ, ધ્યાન, પઠનાદિ તથા ભગવત્કીર્તન વગેરેથી સમયને સુફળ કરવો.","Sevā, kathā, smaraṇ, dhyān, paṭhanādi tathā bhagwat-kīrtan vagerethī samayne sufaḷ karvo.",https://baps.box.com/shared/static/l0t47ohfw822wla8ydabnbzabdcabdz9.mp3,Satsang Diksha Shlok 125,"How to Listen to Kathā"
Prasang,"September 24, 2017 | London
Today, because of Swamishri’s wishes, the Akshar Purushottam Darshan chāvani (continuous kathā-vartā) was arranged in the mandir. Swamishri was very excited about this. During Swamishri’s puja, kirtans about the glory of Akshar Purushottam were sung. After, Swamishri delivered the first katha of the chavani. After eating breakfast and taking a short nap, Swamishri arrived again for sabha at 9:15am and listened to the katha for 2 hours.
After lunch and his afternoon rest, Swamishri attended the chavani again at 3:55pm and listened to the katha until 8pm. Swamishri listened to katha all day attentively and with great enthusiasm. He listened to katha in the morning for 3 hours and in the afternoon for 4 hours. He did not even get up once to visit the bathroom, change his position, or drink water. He was immersed in listening to the katha while turning his mala.
After sabha, Swamishri sang chesta. After this, Swamishri freshened up by taking a bath. Bhadresh Swami said, “Swamishri, you broke a record and listened to over 7 hours of katha today!” Swamishri happily responded, “Yes! Delivering katha doesn’t fit me well, but I can listen to katha. Where else can I listen to such first class katha.” Bhadresh Swami then asked, “How much more katha can you listen to?”
Swamishri responded laughingly, “Another 2-2.5 more hours.” Hearing this the sadhus asked in amazement, “You already sat for 7.5 hours. You could sit for another 2.5 hours?” Swamishri laughed and responded, “We were once in a village (Bāmaniya, 1982) and it was Nom, and thus we did not have to eat. Without even noticing, we sat continuously from 6:00 am in the morning till midnight 12:00am.”  The sadhus were awestruck!
",,,https://baps.box.com/shared/static/8nao0bhbbm7rt3ddofa17hmlmt0mn9qn.mp3,,"How to Listen to Kathā"
