Title (OPTIONAL)	English Content	Gujurati Content	Transliteration Content	Audio URL
Jay Akṣharpati Puruṣhottam	Give praise to Akshar and Purushottam, Give praise to Sahajanand Swami Narayan is Ghanshyam, Swaminarayan is God. Gunatitanand Swami is Mul Akshar, (truest devotee) Sahajanand Swami is the one and only Supreme Lord With this true understanding, whoever chants the name of Swaminarayan, They will go to Akshardham Akshar Purushottam Maharaj, who are Sahajanand Swami and Gunatitanand Swami, are present in Pramukh Swami Maharaj Just how they were present through Pramukh Swami Maharaj, they are present through Mahant Swami Maharaj now By their presence in Mahant Swami Maharaj, Millions of souls are able to attain salvation.	જય અક્ષરપતિ પુરુષોત્તમ, જય જય સ્વામી સહજાનંદ; નારાયણ નટવર ઘનશ્યામ, સ્વામિનારાયણ ભગવાન... ૧ ગુણાતીતાનંદ સ્વામી મૂળ અક્ષર, સહજાનંદ એક પરમેશ્વર; એમ સમજીને લેશે નામ, તે તો જાશે અક્ષરધામ... ૨ સ્વામિનારાયણ ભગવાન, પ્રમુખસ્વામીમાં વિચર્યા અપાર; પ્રમુખસ્વામીમાં વિચર્યા અપાર, મહંત સ્વામીમાં વિચરે આજ; મહંત સ્વામીમાં વિચરે આજ, અનેક જીવોનાં કલ્યાણ કાજ... ૩	Jay Akṣharpati Puruṣhottam, jay jay Swāmī Sahajānand; Nārāyaṇ Naṭvar Ghanshyām, Swāminārāyaṇ Bhagwān... 1 Guṇātītānand Swāmī Mūḷ Akṣhar, Sahajānand ek Parmeshvar; Em samajīne leshe nām, te to jāshe Akṣhardhām... 2 Swāminārāyaṇ Bhagwān, Pramukh Swāmīmā vicharyā apār; Pramukh Swāmīmā vicharyā apār, Mahant Swāmīmā vichare āj; Mahant Swāmīmā vichare āj, anek jīvonā kalyāṇ kāj... 3	https://baps.box.com/shared/static/dgl6t0cjgemjfl4x5s85odp7yu61cduh.mp3
Ame sau Swāmīnā bāḷak	We all are Swami’s children; we will die for Him. We are all Shriji Maharaj’s youth; we will fight for Him. We do not worry about our lives. We do not fear anybody, for we have been born to die. We have started this yagna (of our lives) and we will make the sacrifices. We will sing the knowledge of Akshar Purushottam. We are all Shriji Maharaj’s sons, and our home is Akshar. We are covered with the ashes of our belief; we have no apprehension. Behold the Swami of Motibhai. He hasn’t kept any shortcomings. Having met the Gunatit Sant, we have attained the incarnate form of Purushottam	અમે સૌ સ્વામીના બાળક, મરીશું સ્વામીને માટે; અમે સૌ શ્રીજીતણા યુવક, લડીશું શ્રીજીને માટે... ꠶ટેક      નથી ડરતા નથી કરતા, અમારા જાનની પરવા; અમારે ડર નથી કોઈનો, અમે જન્મ્યા છીએ મરવા... અમે... ૧ અમે આ યજ્ઞ આરંભ્યો, બલિદાનો અમે દઈશું; અમારા અક્ષરપુરુષોત્તમ, ગુણાતીત જ્ઞાનને ગાઈશું... અમે... ૨         અમે સૌ શ્રીજી તણાં પુત્રો, અક્ષરે વાસ અમારો છે; સ્વધર્મી ભસ્મ ચોળી તો, અમારે ક્ષોભ શાનો છે... અમે... ૩ જુઓ સૌ મોતીના સ્વામી, ન રાખી કાંઈ તે ખામી; પ્રગટ પુરુષોત્તમ પામી, મળ્યા ગુણાતીત સ્વામી.. અમે... ૪	Ame sau Swāmīnā bāḷak, Marīshu Swāmīne māṭe; Ame sau Shrījītaṇā yuvak, Laḍīshu Shrījīne māṭe... Nathī ḍartā nathī kartā, Amārā jānnī parvā; Amāre ḍar nathī koīno, Ame janmyā chhīe marvā... ame 1 Ame ā yagna ārambhyo, Balidāno ame daīshu; Amārā Akshar Purushottam, Guṇātīt gnānne gāīshu... ame 2 Ame sau Shrījī taṇā putro, Akshare vās amāro chhe; Svadharmī bhasma choḷī to, Amāre kshobh shāno chhe... ame 3 Juo sau Motīnā Swāmī, Na rākhī kaī te khāmī; Pragaṭ Purushottam pāmī, Maḷyā Guṇātīt Swāmī... ame 4	https://baps.box.com/shared/static/84vbbv5u76bpr738yyywcrljajkw6h8b.mp3
Vandan karīe Prabhu bhāv dharī 	We fold our hand to Sahajanand Swami - Bhagwan Swaminarayan - with love. Prabhu! You are the one who resides in Akshardham. You are powerful and go by many names. To liberate infinite jivas, you (manifest on earth) along with the eternal Aksharbrahma. You are Purushottam Narayan. You manifested on earth possessing a human form. Gunatitanand Swami is the eternal Aksharbrahma and Sahajanand Swami is Purushottam. You remained ever-present through Shastriji Maharaj, Yogiji Maharaj, Pramukh Swami Maharaj, and Mahant Swami Maharaj. (Through these gunatit gurus) you spread the pure upāsanā. Bhakti is our life. Sevā is our life. Fill our life with abundant bhakti and sevā. O! Bhagwan! You care for your devotees and are an ocean of compassion. I fold my hands and pray to you. Grant me devotion of your holy feet, through the mind and body, that is free of all desires.	વંદન કરીએ પ્રભુ ભાવ ધરી, સ્વામિનારાયણ શ્રી સહજાનંદજી... ꠶ટેક આપ પ્રભુ છો ધામના ધામી, બળવંતા બહુનામી હરિ... વંદન... ૧ જીવ અનંતના મોક્ષને અર્થે, અનાદિ અક્ષર સાથ લઈ... વંદન... ૨ પુરુષોત્તમ નારાયણ પોતે, પ્રગટ્યા માનવ દેહ ધરી... વંદન... ૩ સ્વામી ગુણાતીત અનાદિ અક્ષર, પુરુષોત્તમ સહજાનંદજી... વંદન... ૪ યજ્ઞપુરુષમાં અખંડ રહીને, જ્ઞાનજીવનમાં અખંડ રહીને, નારાયણસ્વરૂપમાં અખંડ રહીને, ઉપાસના શુદ્ધ પ્રગટ કરી... વંદન... ૫ ભક્તિ એ જ અમારું જીવન, સેવા એ જ અમારું જીવન, દેજો રોમે રોમ ભરી... વંદન... ૬ હે ભક્તવત્સલ કરુણાસાગર, વિનંતી કરું કર જોડી હરિ... વંદન... ૭ હેતુ રહિત ભક્તિ તવ ચરણે, દેજો તન મન ધનથી હરિ... વંદન... ૮	Vandan karīe Prabhu bhāv dharī, Swāminārāyaṇ Shrī Sahajānandjī... Āp Prabhu chho Dhāmnā Dhāmī, Baḷvantā bahunāmī Hari... vandan 1 Jīva anantnā mokshane arthe, Anādi Akshar sāth laī... vandan 2 Purushottam Nārāyaṇ pote, Pragaṭyā mānav deh dharī... vandan 3 Swāmī Guṇātīt anādi Akshar, Purushottam Sahajānandjī... vandan 4 Yagnapurushmā akhanḍ rahīne, Gnanjivanma akhanḍ rahīne, Narayanswarupma akhanḍ rahīne, Mahant Swamima akhanḍ rahīne, Upāsanā shuddh pragaṭ karī... vandan 5 Bhakti e ja amāru jīvan, Sevā e ja amāru jīvan, Dejo rome rom bharī... vandan 6 He Bhaktavatsal Karuṇāsāgar, Vinantī karu kar joḍī Hari... vandan 7 Hetu rahit bhakti tav charaṇe, Dejo tan man dhanthī Hari... vandan 8	https://baps.box.com/shared/static/npcc46lff3ahlve6guui1mgbuqulpnu9.mp3
Tamārī mūrti vinā	O! Lord, the darshan of Your murti is all that I wish for. Please do not give me anything else. With folded hands, this is all that I ask from You. Please do not give me anything else. Give me the company of Your devotees. That is the only joy in my soul. Please reside within my heart. Always keep me close to You, my Lord. O! merciful Lord, give me the service of Your divine feet. That is my request. O! Lord, take away my bad desires.Keep Premãnand close and at Your service	તમારી મૂર્તિ વિના મારા નાથ રે, બીજું મને આપશો મા; હું તો એ જ માગું છું જોડી હાથ રે, બીજું મને આપશો મા... ꠶ટેક આપો તમારા જનનો સંગ રે, મારા જીવમાં એ જ ઉમંગ રે... બીજું... ૧ મારા ઉરમાં કરો નિવાસ રે, મને રાખો રસિયા તમ પાસ રે... બીજું... ૨ એ જ અરજી દયાનિધિ દેવ રે, આપો ચરણકમલની સેવ રે... બીજું... ૩ કરો ઇતર વાસના દૂર રે, રાખો પ્રેમાનંદને હજૂર રે... બીજું... ૪	Tamārī mūrti vinā mārā Nāth re, Bīju mane āpsho mā; Hu to ej māgu chhu jodī hāth re, Bīju mane āpsho mā... Āpo tamārā janno sang re, Mārā jīvamā ej umang re... bīju 1 Mārā urmā karo nivās re, Mane rākho rasiyā tam pās re... bīju 2 Ej arjī Dayānidhi dev re, Āpo charaṇkamalni sev re... bīju 3 Karo itar vāsanā dūr re, Rākho Premānandne hajūr re... bīju 4	https://baps.box.com/shared/static/z8x4nelmpxoxog71h960tnjxiq3sn4m5.mp3
Joī mūrti manohar	Your attractive murti captivates my eyes – I am drawn to Your murti. The decorative ornament on Your paagh (turban) looks very beautiful. You have lovingly worn a pearl necklace that stands out on Your chest. The majestic stature of your chest looks very attractive, and Your style of walking is different from the world. Brahmanand Swami says that he will sacrifice everything of his, for this murti.	જોઈ મૂરતિ મનોહર તારી, માવા રે મારાં નેણાં લોભાણાં... ટેક મોળીડા ઉપર નવલ કલંગી, શોભે છે અતિ સારી... માવા રે... ૧ હેત કરીને હૈડાની ઉપર, માળા મોતીડાંની ધારી... માવા રે... ૨ અતિ રે શોભે છે છાતી ઊપડતી, ચાલ જગતથી ન્યારી... માવા રે... ૩ બ્રહ્માનંદ કહે આ છબી ઉપર, સર્વસ્વ નાખું વારી... માવા રે... ૪	Joī mūrti manohar tārī, Māvā re mārā neṇā lobhāṇā... Moḷīḍā upar naval kalangī, Shobhe chhe ati sārī... māvā re 1 Het karīne haiḍānī upar, Māḷā motīḍānī dhārī... māvā re 2 Ati re shobhe chhe chhātī upaḍtī, Chāl jagatthī nyārī... māvā re 3 Brahmānand kahe ā chhabī upar, Sarvasva nākhu vārī... māvā re 4	https://baps.box.com/shared/static/28gr7yjir6l32ps4snjs72m2gvz3dppd.mp3
Pūrvanu punya pragat	I have strived to meet You, Lord Swaminarayan, and through my past favorable deeds I have finally succeeded today. When I saw Maharaj with my eyes, I knew that I had finally reaped all the benefits of my past endeavors and that my work was complete. With love, I installed Your beautiful idol in the mandir. My mind cannot forget the beauty of Your image. With one glance at You, my three pains (bodily pain, worldly pain, and natural pain) vanished completely. Your forehead is adorned with Your glowing tilak. Your beautiful smile is accentuated by Your divine dimples. Your earrings shine as radiantly as the sun and Jeram says that no matter how much I gaze at Your elegant face, I can never feel satisfied and thus want to keep gazing.	પૂર્વનું પુણ્ય પ્રગટ થયું જ્યારે, સ્વામિનારાયણ મળિયા રે ત્યારે; નેણે મોહનવર નીરખ્યા જ્યારે, પૂરણકામ થયું મારું ત્યારે... ૧ પ્રેમે કરી મંદિર પધરાવ્યા, શ્યામ સુંદરવર મનડે રે ભાવ્યા; નીરખી નારાયણ મૂર્તિ જ્યારે, ત્રિવિધ તાપ ટળ્યા મારા ત્યારે... ૨ કેસર ચંદન ચરચ્યું છે ભાલે, હસતાં સુંદર ખાડા પડે છે ગાલે; કાનુમાં કુંડળ મકરાકાર શોભે, જેરામ કહે મન જોઈ જોઈ લોભે... ૩	Pūrvanu puṇya pragat thayu jyāre, Swāminārāyaṇ maḷiyā re tyāre; Nene Mohanvar nīrakhyā jyāre, pūraṇkām thayu māru tyāre… 1 Preme karī mandir padhrāvyā, Shyām Sundarvar manḍe re bhāvyā Nīrakhī Nārāyaṇ mūrti jyāre, trividh tāp taḷyā mārā tyāre… 2 Kesar chandan charachyu chhe bhāle, hastā sundar khāḍā paḍe chhe gāle; Kānumā kundaḷ makarārkār shobe, Jerām kahe man joī joī lobhe… 3	https://baps.box.com/shared/static/4lb5n7lqi4h46786une7x72sq6qfmfjl.mp3
Māre Swāmīne rājī karvā	I want to make Swami happy I want to make Shriji Maharaj happy No matter what obstacles come in my way, I want to make Swami happy By waking up early in the morning and chanting his name By taking a shower and bowing Down to my parents By taking a bookbag and going to school By listening to what my teacher teaches I want to be number one By being a devotee like Dhruv and Prahlad By bowing down to saints I want to worship God from childhood	મારે સ્વામીને રાજી કરવા જ છે, મારે શ્રીજીને રાજી કરવા જ છે; કોઈ પણ ભોગે ગમે તે સંજોગે, સ્વામીને રાજી કરવા જ છે... ૧ વહેલા ઊઠી પ્રભુ સ્મરણ કરીને, સ્નાન પૂજા કરી માતા-પીતાને, પ્રણામ મારે કરવા જ છે... મારે સ્વામીને... ૨ દફતર લઈને નિશાળે જઈને, ગુરુજી ભણાવે તેમાં ધ્યાન દઈને, પહેલો નંબર લાવવો જ છે... મારે સ્વામીને... ૩ ધ્રુવ પ્રહ્‌લાદ જેવા ભક્ત થઈને, સંતોના ચરણોમાં શીશ ધરીને, બાળપણથી જ પ્રભુ ભજવા છે... મારે સ્વામીને... ૪	Māre Swāmīne rājī karvāj chhe, Māre Shrījīne rājī karvāj chhe, Koī paṇ bhoge game te sanjoge, Swāmīne rājī karvāj chhe... 1 Vahelā ūṭhī Prabhusmaraṇ karīne, Snān pūjā karī mātā pitāne, Praṇām māre karvāj chhe... māre 2 Daftar laīne nishāḷe jaīne, Gurujī bhaṇāve temā dhyān daīne, Pahelo number lāvvoj chhe... māre 3 Dhruv Prahlād jevā bhakta thaīne, Santonā charaṇomā shīsh dharīne, Bāḷpaṇthī Prabhu bhajvāj chhe... māre 4	https://baps.box.com/shared/static/6wzx4ut08qu0r4nd1lzpseet15t1356y.mp3
Swāminārāyaṇ nāmnī ho	With the Swāminārāyan mantra in my mind, I have a kanthi (necklace of tulsi beads) around my neck. With the Swāminārāyan mantra on my lips, I have a rosary in my hand. Do not tell lies, and do not take things that are not yours. Do not walk on the wrong path, because there is a kanthi (necklace of tulsi beads) around your neck. Do not steal, and do not hurt anyone. Do not eat in restaurants, because there is a kanthi (necklace of tulsi beads) around your neck. Do not give up your puja or break any of your niyams (rules). Do not give Satsang a bad reputation, because there is a kanthi (necklace of tulsi beads) around your neck. Never forget Pramukh Swami; Never forget Mahant Swami; Never forget to offer your devotion to God, because there is a kanthi (necklace of tulsi beads) around your neck.	સ્વામિનારાયણ નામની હો, કંઠી છે ડોકમાં સ્વામિનારાયણ નામની હો, માળા છે હાથમાં... ટેક જૂઠું બોલાય નહિ, ખોટું લેવાય નહિ; અવળું ચલાય નહિ હો, કંઠી છે ડોકમાં... સ્વામિનારાયણ... ૧ ચોરી કરાય નહિ, કોઈને મરાય નહિ; જ્યાં ત્યાં ખવાય નહિ હો, કંઠી છે ડોકમાં... સ્વામિનારાયણ... ૨ પૂજા મૂકાય નહિ, નિયમ છોડાય નહિ; સત્સંગ લજવાય નહિ હો, કંઠી છે ડોકમાં... સ્વામિનારાયણ... ૩ પ્રમુખસ્વામીને, ક્યારેય વિસરાય નહિ; ભક્તિ ભૂલાય નહિ હો, કંઠી છે ડોકમાં... સ્વામિનારાયણ... ૪	Swāminārāyaṇ nāmnī ho, kanṭhī chhe ḍokmā; Swāminārāyaṇ nāmnī ho, māḷā chhe hāthmā… Jūṭhu bolāy nahi, khoṭu levāy nahi; Avḷu chalāy nahi ho, kanṭhī chhe ḍokmā… Swāminārāyan 1 Chorī karāy nahi, koīne marāy nahi; Jyā tyā khavāy nahi ho, kanṭhī chhe ḍokmā... Swāminārāyan 2 Pūjā mukāy nahi, niyam chhoḍāy nahi; Satsang lajvāy nahi ho, kanṭhī chhe ḍokmā... Swāminārāyan 3 Pramukh Swāmī ne, kyārey visrāy nahi; Mahant Swāmī ne, kyārey visrāy nahi; Bhakti bhulāy nahi ho, kanṭhī chhe ḍokmā... Swāminārāyan 4	https://baps.box.com/shared/static/dltx5pdyqwsitas2xad7av7t544qlpbt.mp3
Āj pragaṭyā pūraṇ Brahma re	Today eternal Brahman has come on Earth who is the source of happiness He came with Parabrahma himself He has done salvation of infinite souls Today he has broken the cycle of life and death for all… At this time, even Bhagwan has come on earth And because of this there is a constant flow of happiness. I am unable to contain the happiness that I am feeling Muni Akhandanand is singing as such….	આજ પ્રગટ્યા પૂરણ બ્રહ્મ રે, સ્વામી સુખકારી ભેળા આવ્યા પોતે પરબ્રહ્મ રે... સ્વામી... ૧ કર્યાં અનેક જીવનાં કાજ રે... સ્વામી꠶ ભાંગી ભવની ભાવટ આજ રે... સ્વામી... ૨ આ ટાણે આવ્યા અલબેલ રે... સ્વામી꠶ વળી ગઈ છે રંગડાની રેલ રે... સ્વામી... ૩ મારે આનંદ અંગ ન માય રે... સ્વામી꠶ મુનિ અખંડાનંદ એમ ગાય રે... સ્વામી... ૪	Āj pragaṭyā pūraṇ Brahma re, Swāmī sukhkārī Bheḷā āvyā pote Parabrahma re... Swāmī 1 Karyā anek jīvanā kāj re... Swāmī Bhāngī bhavnī bhāvaṭ āj re... Swāmī 2 Ā ṭāṇe āvyā albel re... Swāmī Vaḷī gaī chhe rangḍānī rel re... Swāmī 3 Māre ānand ang na may re... Swāmī Muni Akhanḍānand em gāy re... Swāmī 4	https://baps.box.com/shared/static/d2dbxenytgtv9sfbw7cwg6l939jmbvzg.mp3
Swāmījī to mahāpratāpī	Swamiji (Shastriji Maharaj) is very powerful and things happen according to his wishes. Without his wish no one is capable of tearing a small piece of grass He built a temple in Gadhpur (Gadhada) and everyone is delighted Upon seeing his unbelievable power everyone surrenders to him According to Bhagatji's agna he traveled By installing Akshar Purushottam he has finished the work With his preaching he has fulfilled his devotees By breaking the cycle of 8.4 million births he gives Akshardham With compassion Swami has done a big favor His servant 'Chagandas' says after surrendering to him he is extremely happy	સ્વામીજી તો મહાપ્રતાપી, એનું ધાર્યું થાય, એની મરજી વિના કોઈથી, તરણું નવ તોડાય... ꠶ટેક ગઢપુરમાં મંદિર બંધાવ્યું, સૌને આનંદ થાય, અદ્‍ભુત એનો પ્રતાપ નીરખી, સૌ કોઈ શરણે જાય... ૧ ભગતજીની આજ્ઞા ધરીને, વિચર્યા સ્વામી આજ, અક્ષર પુરુષોત્તમ પધરાવી, પૂર્ણ કર્યાં છે કાજ... ૨ નિજ ભક્તોને ઉપદેશ આપી, કીધાં પૂરણકામ, ચોરાશીના ફેરા મિટાવી, આપે અક્ષરધામ... ૩ સ્વામીજીએ કૃપા કરીને, કીધી મોટી મહેર, દાસ છગન કહે શરણું ગ્રહ્યાથી, થઈ છે લીલાલહેર... ૪	Swāmījī to mahāpratāpī, enu dhāryu thāy, Enī marjī vinā koīthī, tarṇu nav toḍāy… Gaḍhpurmā mandir bandhāvyu, saune ānand thāy, Adbhut eno pratāp nīrakhī, sau koī sharaṇe jāy... 1 Bhagatjīnī āgnā dharīne, vicharyā Swāmī āj, Akshar Purushottam padhrāvī, pūrṇa karyā chhe kāj... 2 Nij bhaktone updesh āpī, kīdhā pūraṇkām, Chorāshīnā ferā mīṭāvī, āpe Akshardhām... 3 Swāmījīe krupā karīne, kīdhī moṭī maher, Dās chhagan kahe sharaṇu grahyāthī, thaī chhe līlā-laher... 4	https://baps.box.com/shared/static/lu9j9uhakvp5jlb5m25q92pwgg6p0y52.mp3
