Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Outside Kusang | Vachanamrut Gadhada I-16,"Such a person identifies those objects and evil company that may cause bondage or raise deficiencies in his ekāntik dharma and shuns them; but one does not become bound by them. Also, one imbibes positive thoughts and avoids negative thoughts. One who behaves in this manner should be known to possess wisdom.
","જેણે કરીને પોતાને બંધન થાય અને પોતાને એકાંતિક ધર્મમાં ખોટ્ય આવે એવા જે પદાર્થ તથા કુસંગ તેને ઓળખી રાખે અને તેથી છેટે જ રહે અને તેના બંધનમાં આવે નહીં. અને સવળો વિચાર હોય તેને ગ્રહણ કરે અને અવળો વિચાર હોય તેનો ત્યાગ કરે. એવી રીતે જે વર્તતો હોય ત્યારે જાણીએ જે, તેને વિવેક છે.","Jeṇe karīne potāne bandhan thāy ane potāne ekāntik dharmamā khoṭya āve evā je padārth tathā kusang tene oḷkhī rākhe ane tethī chheṭej rahe ane tenā bandhanmā āve nahī. Ane savaḷo vichār hoy tene grahaṇ kare ane avaḷo vichār hoy teno tyāg kare. Evī rīte je vartato hoy tyāre jāṇīe je, tene vivek chhe.",https://baps.box.com/shared/static/pmq9uum1npnehnx5zsindxb90bmh8e9o.mp3,Vachanamrut Gadhada I-16,Outside Kusang
Outside Kusang | Vachanamrut Gadhada I-42,"No matter how great one may be, worldly influence only leads to harm. Conversely, regardless of how grave a sinner a person may be, if they maintain profound association with God - who is satya - then that person also becomes absolutely pure and attains liberation.
",ગમે તેવા મોટા હોય તેનું પણ કુસંગે કરીને તો ભૂંડું જ થાય છે અને ગમે તેવો પાપી જીવ હોય ને તે જો સત્યસ્વરૂપ એવા જે ભગવાન તેનો પ્રસંગ કરે તો પરમ પવિત્ર થઈને અભયપદને પામે.,Game tevā moṭā hoy tenu paṇ kusange karīne to bhūnḍuj thāy chhe ane game tevo pāpī jīv hoy ne te jo satyaswarūp evā je Bhagwān teno prasang kare to param pavitra thaīne abhaypadne pāme. ,https://baps.box.com/shared/static/107jk7figd8gz2x2g181k8qmpzz9pdkz.mp3,Vachanamrut Gadhada I-42,Outside Kusang
Outside Kusang | Harililamrut: 3/15/19-22,"Even if one is good, just a little kusang can change their form;
If a little chhāsha (buttermilk) is added to milk, the sweet milk will become sour.
If Kusang enters into one’s life, even a small amount of dharma would not remain, even in a good person; Even the wise Dharmaraja (Yudhisthira), gambled in the company of gamblers.


","સારો છતાં સ્વલ્પ કુસંગ થાય, તે રૂપ તેનું બદલાઈ જાય;
જો દૂધમાં સ્વલ્પ પડે જ છાશ, મીઠાશ જૈને પ્રગટે ખટાશ. 
કુસંગ જો અંગ કરે પ્રવેશ, ધર્મી તણો ધર્મ રહે ન લેશ;
જો ધર્મરાજા બહુ જાણનાર, જુગારી સંગે રમિયા જુગાર. 
","Sāro chhatā svalpa kusanga thāya, te rūp tenu badlāī jāya;
Jo dūdhamā svalpa paḍe j chhāsha, mīṭhāsh jaine pragaṭe khaṭhāsha.
Kusanga jo anga kare pravesha, dharmī taṇo dharma rahe na lesha;
Jo dharmarājā bahu jāṇanāra, jugārī sange ramiyā jugāra.
",https://baps.box.com/shared/static/p41a6e6lg0gu2ggnkoph2kk4ajfp5puz.mp3,Harililamrut: 3/15/19-22,Outside Kusang
Outside Kusang | Purushottam Bolya Prite 18,"Even if one is a firm Haribhakta, if he listens to the words of bad company, his intellect becomes polluted. Therefore, Haribhakto should remain vigilant.

",પાકો હરિભક્ત હોય પણ વિમુખની વાત સાંભળે તો બુદ્ધિ પલટાઈ જાય છે માટે હરિભક્તે સાવધ રહેવું,Pāko haribhakta hoy paṇ vimukhnī vāt sāmbhaḷe to buddhi palṭāī jāy chhe māṭe haribhakte sāvadh rahevu,https://baps.box.com/shared/static/2pfc6zmnzinyxw9qc25aoi508ep0ox67.mp3,Purushottam Bolya Prite 18,Outside Kusang
Inside Kusang | Vachanamrut Gadhada II-56,"When a person who has affection for the panchvishays (sense pleasures) encounters evil company, one can never be certain about him. Thus, to please God, a devotee should totally discard the panchvishays. He should also abandon any affection for objects which may hinder his love for God. ","તેમ જેને પંચવિષયમાં પ્રીતિ હોય તેને જ્યારે કુસંગનો યોગ થાય ત્યારે કાંઈ ઠેકાણું રહે નહીં. માટે જે ભગવાનનો ભક્ત હોય તેને તો ભગવાનને રાજી કર્યા સારુ પંચવિષયનો અતિશય ત્યાગ કર્યો જોઈએ, પણ ભગવાનને વિષે જે પ્રીતિ તેમાં વિઘ્ન કરે એવું કોઈ પદાર્થ વહાલું રાખવું નહીં. ","Tem jene panch-viṣhaymā prīti hoy tene jyāre kusangno yog thāy tyāre kāī ṭhekāṇu rahe nahī. Māṭe je Bhagwānno bhakta hoy tene to Bhagwānne rājī karyā sāru panch-viṣhayno atishay tyāg karyo joīe, paṇ Bhagwānne viṣhe je prīti temā vighna kare evu koī padārth vahālu rākhvu nahī.",https://baps.box.com/shared/static/pwjvbmdcatln5uviam9n0e74sxbl0vk5.mp3,Vachanamrut Gadhada II-56,Inside Kusang
Kusang in Satsang | Vachanamrut Gadhada I-17,"What is this negative influence in Satsang? Well, those who preach in  Satsang speak discouragingly. That is the negative influence in  Satsang. … Therefore, from this day  onwards, no one in our Satsang fellowship should utter such  discouraging words. Instead, always speak courageously…. In fact, on days  when one speaks such discouraging words, one should observe a fast. ","તે સત્સંગમાં કુસંગ તે શું છે? તો જે વાતના કરનારા હિંમત્ય વિનાની વાત કરે છે તે સત્સંગમાં કુસંગ છે… માટે હવે આજ દિનથી આપણા સત્સંગમાં કોઈ પણ એવી હિંમત્યરહિત વાત કરશો નહીં, સદા હિંમત્ય સહિત જ વાત કરજ્યો... અને એવી હિંમત્ય વિનાની વાત જે દિવસ થઈ જાય તો તે દિવસ ઉપવાસ કરવો.","Satsangmā kusang te shu chhe? To je vātnā karnārā himmat vinānī vāt  kare chhe te satsangmā kusang chhe... Māṭe have āj dinthī āpṇā satsangmā koī paṇ evī himmat-rahit  vāt karsho nahī, sadā himmatya sahitaj vāt karajyo. … Ane evī himmatya vinānī vāt je divas thaī jāy to te divas upvās karvo. ",https://baps.box.com/shared/static/9jzhg2qjwzf2gb0pwbwhqwdajwcscwj9.mp3,Vachanamrut Gadhada I-17,Kusang in Satsang
Kusang in Satsang | Swamini Vat 5/345,An aspirant may develop both spiritual knowledge and affection for the  Satpurush. But bad company in satsang spoils it. Therefore recognize it  and stay away from it.,"મુમુક્ષુ જીવને જ્ઞાન પણ થાય ને હેત પણ થાય ખરું, પણ સત્સંગમાં કુસંગ છે તે એનું ભૂંડું કરી નાખે છે, માટે તે ઓળખવો.","Mumukṣhu jīvne gnān paṇ thāy ne het paṇ thāy kharu, paṇ satsangmā kusang chhe te enu bhūnḍu karī nākhe chhe, māṭe te. ",https://baps.box.com/shared/static/q9dsxvp4zijnpcyo10xwu7z9iaftaipd.mp3,Swamini Vat 5/345,Kusang in Satsang
Kusang in Satsang | Swamini Vat 5/311,"There are three obstacles in worshipping God: one is bad company in the world, bad company in Satsang and bad influence due to the senses and inner faculties. Therefore, do not be taken in by their deceit. And if one associates with bad company in Satsang, then even if one is brahmarup, one becomes body-conscious. But if good company in Satsang is attained, then one who is body-conscious becomes brahmarup.","ભગવાન ભજવામાં ત્રણ વિઘ્ન છે: એક લોકનો કુસંગ, સત્સંગમાં કુસંગ ને ઇન્દ્રિયું-અંતઃકરણનો કુસંગ; માટે એ સર્વેના છળમાં આવવું નહીં. ને સત્સંગમાં કુસંગનો જોગ થાય ને બ્રહ્મરૂપ હોય તો દેહરૂપ કરી નાખે ને સત્સંગમાં સારાનો જોગ થાય તો દેહરૂપ હોય તેને બ્રહ્મરૂપ કરે. ","Bhagwān bhajvāmā traṇ vighna chhe: ek lokno kusang, satsangmā kusang ne indriyu-antahkaraṇno kusang; māṭe e sarvenā chhaḷmā āvavu nahī. Ne satsangmā kusangno jog thāy ne brahmarūp hoy to dehrūp karī nākhe ne satsangmā sārāno jog thāy to dehrūp hoy tene brahmarūp kare.",https://baps.box.com/shared/static/n4amp5c5ln1y2nn46fztqr8398nk8l3d.mp3,Swamini Vat 5/311,Kusang in Satsang
Kusang in Satsang | Satsang Diksha Shlok 224,Mumukshu devotees should also recognize kusang within satsang and should never associate with it.,મુમુક્ષુ હરિભક્તોએ સત્સંગમાં રહેલ કુસંગને પણ જાણવો અને ક્યારેય તેનો સંગ ન કરવો.,Mumukṣhu haribhaktoe satsangmā rahel kusangne paṇ jāṇvo ane kyārey teno sang na karvo. ,https://baps.box.com/shared/static/lsavhlqk7vlvfea40fu2rs8a3sf82pcx.mp3,Satsang Diksha Shlok 224,Kusang in Satsang
Prasang,"In 1980 Pramukh Swami Maharaj was in America and came to Los Angeles. A couple of yuvaks (youth) were travelling with swamishri. The yuvaks once said to Swamishri, “We want to go to Las Vegas.” 
Swamishri replied,” There is no fun there. It is a gambling city. There is nothing worth seeing there.” Despite this, the yuvaks insisted on going to see the city and said ,”We want to see the beautiful sights.” 
Swamishri warned,”Do not gamble there.” The yuvaks replied,” We will not gamble, we only want to go to see.” Then they left. 
When they returned the next day each of the yuvaks returned having gambled away at least $500.  Swamishri gave each of them a fast as a form of atonement for what they did. 
",,,https://baps.box.com/shared/static/zd9ljoh5j4vrgoeykdmecb1g6ub6w6p0.mp3,Prasang,Kusang in Satsang
