Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Benefits of Humility | Vachanamrut Gadhada I-58,"...by realizing, ‘All of these devotees are great; I am inferior compared to them all.’ Realizing this, he behaves as a servant of a servant of the devotees of God. All of the evil natures of a person who behaves in this manner are destroyed, and day by day, noble virtues such as gnān, vairāgya, bhakti, etc., continue to flourish within them. ",". ..એમ જાણે જે, ‘એ સર્વ ભક્ત મોટા છે ને હું તો સર્વથી ન્યૂન છું,’ એમ જાણીને હરિભક્તનો દાસાનુદાસ થઈ રહે. અને એવી રીતે જે વર્તે તેના સર્વ વિકાર નાશ પામે અને તેને દિવસે દિવસે જ્ઞાન, વૈરાગ્ય, ભક્તિ આદિક જે શુભ ગુણ તે વૃદ્ધિ પામતા જાય છે.","...em jāṇe je, ‘E sarva bhakta moṭā chhe ne hu to sarvathī nyūn chhu,’ em jāṇīne haribhaktano dāsānudās thaī rahe. Ane evī rīte je varte tenā sarva vikār nāsh pāme ane tene divase divase gnān, vairāgya, bhakti ādik je shubh guṇ te vṛuddhi pāmtā jāy chhe. ",https://baps.box.com/shared/static/96eppdp8es9s8r6ksa9vi0nwcfcb2j4y.mp3,Vachanamrut Gadhada I-58,Benefits of Humility
Benefits of Humility | Purushottam Bolya Prite 9,"The quality of humility is great. As long as there is life in the body, all should remain humble. One who has humility, patience and forgiveness is beyond the three bodies and three states. ","નિર્માનીપણાનો ગુણ મોટો છે. ઘટમાં પ્રાણ હોય ત્યાં સુધી નિર્માનીપણું સૌએ રાખવું.... નિર્માનીપણું, ધીરજ અને ક્ષમા જેમાં હોય તે ત્રણ દેહ અને ત્રણ અવસ્થાથી પર થઈ ચૂક્યો. ","Nirmānīpaṇāno guṇ moṭo chhe. Ghaṭmā prāṇ hoy tyā sudhī nirmānīpaṇu saue rākhvu. Nirmānīpaṇu, dhīraj ane kṣhamā jemā hoy te traṇ deh ane traṇ avasthāthī par thaī chūkyo.",https://baps.box.com/shared/static/mgmk2gz3z3dym53gwz8x5463sbij7xqh.mp3,Purushottam Bolya Prite 9,Benefits of Humility
Benefits of Humility | Yogi Vani 10/9,"Daspanu, or behaving as a servant, is a quality of God. Therefore, one should cultivate this virtue. If one imbibes this virtue, then one’s divyabhav increases and one understands all of the Satpurush’s actions to be divine. ",દાસપણું એ ભગવાનનો ગુણ છે. માટે એવા ગુણ લાવવા શીખવું. એવો ગુણ આવે તો દિવ્યભાવ વધતો જાય અને મોટાપુરુષની સર્વે ક્રિયા અલૌકિક જ જણાય.,Dāspaṇu e Bhagawānno guṇ chhe. Māṭe evā guṇ lāvvā shīkhvu. Evo guṇ āve to divyabhāv vadhato jāy ane Moṭā Puruṣhnī sarve kriyā alaukikaj jaṇāy.,https://baps.box.com/shared/static/ztzeb43rv52j7auzmijgfa4xeukz3vuf.wav,Yogi Vani 10/9,Benefits of Humility
"Benefits of Humility | Bhaktachintamani, Prakaran 86","One who stays in Satsang as a servant of servants; 
I enthusiastically accept the devotion of such a devotee.","દાસના દાસ થઈને, વળી જે રહે સતસંગમાં; 
ભક્તિ તેની ભલી માનીશ, રાચીશ તેના રંગમાં.","Dāsnā dās thaīne, vaḷī je rahe satasangmā; 
Bhakti tenī bhalī mānīsh, rāchīsh tenā rangmā.",https://baps.box.com/shared/static/1mqhnacjxk1uu10gyp29lhporxit50cv.mp3,"Bhaktachintamani, Prakaran 86",Benefits of Humility
Benefits of Humility | Yogi Vani 8,"Those who tolerate are humble. Don’t snap back with words. “If you insult me once then I’ll insult you twice.” Someone says, “You are like this, you are a fool.” One would tolerate such insults. They are humble. No matter how much power one acquires, one would keep it concealed. If a devotee becomes humble, they become worthy of God’s grace. Then God comes and stays within the devotee. If one walks upright (with a sense of ego) then one cannot acquire virtues.","ખમે એ નિર્માની. બે વેણ સામાં કહે એમ નહિ. “તું એક કહે તો હું લાખ કહું.” કોઈ કહે, “તું આવો, તારામાં અક્કલ નથી.” તો ખમી લે. એ નિર્માની. ગમે એટલાં ઐશ્વર્ય આવે તોપણ ઢાંકીને રહે. નિર્માની ભક્ત બને એટલે પાત્ર બને. પછી ભગવાન નિવાસ કરીને રહે. અટંટ રહે તો ગુણ ન આવે. ","Khame e nirmānī. Be veṇ sāmā kahe em nahi. “Tu ek kahe to hu lākh kahu.” Koī kahe, “Tu āvo, tārāmā akkal nathī.” To khamī le. E nirmānī. Game eṭlā aishvarya āve topaṇ ḍhānkīne rahe. Nirmānī bhakta bane eṭle pātra bane. Pachhī Bhagwān nivās karīne rahe. Aṭanṭ rahe to guṇ na āve.",https://baps.box.com/shared/static/6qcw5t1bq5ab5k695qh4h3gwdwggndcb.wav,Yogi Vani 8,Benefits of Humility
Negative Effects of Ego | Kirtan - Sāmbhaḷ benī Hari rījhyāṇī rītḍī - Muktanand Swami,"O sister, listen to me as I describe the means to please God. God has enmity with ego. All of one’s spiritual endeavors are instantly destroyed by ego, just as sweet milk becomes poisonous with one drop of snake venom.","સાંભળ બેની હરિ રીઝ્યાની રીતડી, મોહનવરને માન સંગાથે વેર જો; સાધન સર્વે માન બગાડે પળ વિષે, જેમ ભળિયું પયસાકરમાં અહિ-ઝેર જો…૧...સાંભળ","Sāmbhaḷ benī Hari rījhyāṇī rītḍī,
 Mohanvarne mān sangāthe ver jo;
Sādhan sarve mān bagāde paḷ vishe,
 Jem bhaḷiyu paysākarmā ahi-jher jo... sāmbhaḷ",https://baps.box.com/shared/static/ci8oz4shlgseiuhoxy8qdh8mm9dzgqh6.mp3,Kirtan - Sāmbhaḷ benī Hari rījhyāṇī rītḍī - Muktanand Swami,Negative Effects of Ego
Instruction to Remain Humble | Vachanamrut Gadhada III-12,"One who desires one’s own liberation should not harbor any form of vanity - such as, ‘I have been born in an upper-class family,’ or ‘I am wealthy,’ or ‘I am handsome,’ or ‘I am a scholar.’ One should not harbor this type of ego in one’s mind. In fact, even with a meek satsangi, one should behave as a servant of servants.","જેને પોતાનું કલ્યાણ ઇચ્છવું તેને કોઈ પ્રકારનું માન રાખવું નહીં જે, ‘હું ઉચ્ચ કુળમાં જન્મ પામ્યો છું કે હું ધનાઢ્ય છું કે હું રૂપવાન છું કે હું પંડિત છું.’ એવું કોઈ પ્રકારનું મનમાં માન રાખવું નહીં અને ગરીબ સત્સંગી હોય તેના પણ દાસાનુદાસ થઈ રહેવું.","Jene potānu kalyāṇ ichhvu tene koī prakārnu mān rākhvu nahī je, ‘Hu uchha kuḷmā janma pāmyo chhu ke hu dhanāḍhya chhu ke hu rūpvān chhu ke hu panḍit chhu.’ Evu koī prakārnu manmā mān rākhvu nahī ane garīb satsangī hoy tenā paṇ dāsānudās thaī rahevu. ",https://baps.box.com/shared/static/a5zihrytxkexczbih393ahp86nem3wnx.mp3,Vachanamrut Gadhada III-12,Instruction to Remain Humble
Instruction to Remain Humble | Purushottam Bolya Prite 13,"Muktanand Swami explained Shri Hari’s nature, “In Satsang, Shri Hari would measure someone’s level in Satsang based on how much they were a das, or servant. Shri Hari would maintain affection for a devotee based on how much they behaved as a das."," મુક્તમુનિએ શ્રીહરિની સ્વાભાવિક પ્રકૃતિ કહી, “સત્સંગમાં દાસપણું જોઈને શ્રીહરિ જનોનો સત્સંગ નક્કી કરતા. હરિજનોમાં જેટલો દાસભાવ તેટલી તેની સાથે શ્રીહરિ પ્રીતિ રાખતા.","Muktamunie Shrī Harinī swābhāvik prakṛuti kahī, “Satsangmā dāspaṇu joīne Shrī Hari janono satsang nakkī kartā. Harijanomā jeṭlo dāsbhāv teṭlī tenī sāthe Shrī Hari prīti rākhtā.",https://baps.box.com/shared/static/yq8tegrrm5wpnjy2oigg6pghr2ibjw5w.mp3,Purushottam Bolya Prite 13,Instruction to Remain Humble
Instruction to Remain Humble | Swamini Vat 2/54,"In Satsang, do not develop an understanding that all (satsangis) are equal and do not try to be equal (remain small in front of all). To understand others as equal as one is a great drawback.",સત્સંગમાં બરોબરિયાપણું સમજવું નહિ ને બરોબરિયા થાવું નહિ ને બરોબરિયા સમજવા એ જ ખોટ છે.,Satsangmā barobariyāpaṇu samajvu nahi ne barobariyā thāvu nahi ne barobariyā samajvā ej khoṭ chhe.,https://baps.box.com/shared/static/knbma1qbbov2txkxof3kq3g0k33s0um4.mp3,Swamini Vat 2/54,Instruction to Remain Humble
Prasang,"1987 - Bochasan. As directed by Pramukh Swami Maharaj, Mahant Swami travelled across India and abroad to strengthen the satsang of devotees everywhere.
Once, in 1987, Mahant Swami returned to Bochasan at around 11pm. A youth who was accompanying him began to clean his room, while Swami went for a bath. After he had finished and was getting dressed, the youth went into the bathroom to rinse Mahant Swami’s wet clothes. But, when the youth emerged from the bathroom, he was stunned to see Mahant Swami performing dandvats in the direction of the bathroom. Surprised, the youth asked, “Swami, why are you performing dandvats towards the bathroom?”
Revealing his respect towards the youth, Mahant Swami replied, “You have observed a nirjala fast today, and also performed much physical seva. You have left your comforts in Mumbai and come... Yogi Bapa was always delighted to see the youths. So, I was offering dandvats to you!”
Today, that youth, now known as Pujya Anandvihari Swami, still emotionally recalls that occasion. Such is the glory and respect Mahant Swami has for all.",,,https://baps.box.com/shared/static/bix59kiw0kan1y6oogz7im2ipfq3f9gv.mp3,Prasang,Instruction to Remain Humble
