Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
"Vachanamrut Gadhada II-16 | Benefit of Niyam Dharma","Regardless of whether a person possesses intense vairāgya or not, if he conquers his indriyas and keeps them within the niyams prescribed by God, he can conquer the desires for the vishays more thoroughly than one does so with intense vairāgya. Thus, one should firmly abide by the niyams prescribed by God. ",વૈરાગ્યનું બળ હોય અથવા ન હોય તો પણ જો ઇન્દ્રિયોને વશ કરીને પરમેશ્વરના નિયમમાં રાખે તો જેમ તીવ્ર વૈરાગ્યે કરીને વિષય જિતાય છે તે થકી પણ તે નિયમવાળાને વિશેષે વિષય જિતાય છે. માટે પરમેશ્વરના બાંધેલ જે નિયમ છે તેને જ અતિ દૃઢ કરીને રાખવા.  ,Vairāgyanu baḷ hoy athvā na hoy to paṇ jo indriyone vash karīne Parameshwarnā niyammā rākhe to jem tīvra vairāgye karīne viṣhay jitāy chhe te thakī paṇ te niyam-vāḷāne visheṣhe viṣhay jitāy chhe. Māṭe Parameshwarnā bāndhel je niyam chhe tenej ati draḍh karīne rākhvā. ,https://baps.box.com/shared/static/qtvl79cg4wv59l6wyxz5uwxuft7xm2nl.mp3,Vachanamrut Gadhada II-16,"Benefit of Niyam Dharma"
"Swamini Vat 5/113 | Benefit of Niyam Dharma",Those who have become devotees of God and observe the five basic codes of conduct are already seated above Prakruti-Purush (i.e. in Akshardham).  ,"ભગવાનના ભક્ત થયા છે ને પંચવર્તમાન પાળે છે તે તો પ્રકૃતિપુરુષથી પર જઈને બેઠા છે.  
","Bhagwānnā bhakta thayā chhe ne panch-vartamān pāḷe chhe te to Prakṛuti-Puruṣhthī par jaīne beṭhā chhe. (Swamini Vat 5/113)
",https://baps.box.com/shared/static/6qqtpz39m142sqnhp0im15rgumoo4lxx.mp3,Swamini Vat 5/113,"Benefit of Niyam Dharma"
"Purushottam Bolya Prite 2 | Benefit of Niyam Dharma","Without niyams, nothing is achieved – mundane or divine. Those who understand and are alert observe niyams. There is no limit to the good fortune of those who observe niyams. 
","નિયમ વિના માયિક-અમાયિક કોઈ વાત સિદ્ધ થાય નહીં….. જે  સમજુ ને ચતુર છે તે નિયમમાં  વર્તે છે. નિયમ પાળે છે તેના ભાગ્યનો પાર નથી. 
","Niyam vinā māyik-amāyik koī vāt siddha thāy nahī. Je samje ane chatur chhe te niyam varte chhe. Niyam pāḷe chhe tenā bhāgyano pār nathī. 

","https://baps.box.com/shared/static/kk35omsmwi8yyuz6zlzbomhvz0mqfr7l.mp3
",Purushottam Bolya Prite 2,"Benefit of Niyam Dharma"
"Kirtan - Premanand Swami | Benefit of Niyam Dharma
","If all of you observe my niyams staunchly, then Dharmadev and Bhaktidevi
will be happy with you and have mercy upon you. 

","સહુ તમે પાળજો રે, સર્વે દૃઢ કરી મારાં નેમ;
તમ પર રીઝશે રે, ધર્મને ભક્તિ કરશે ક્ષેમ... ૫
","Sahu tame pāḷjo re, sarve dradh karī mārā nem;
Tam par rījhshe re, Dharma ne Bhakti karshe kshem..5

",https://baps.box.com/shared/static/55mfdez8uxkynjwfcih0gjvkkynmibom.mp3,Kirtan - Premanand Swami,"Benefit of Niyam Dharma
"
"Satsang Diksha Shlok 205 | Instruction to Follow Niyams
","A person who migrates elsewhere for educational, economic or other gains should continue to reverently practice satsang and observe niyams. 
 
", વિદ્યા ધન આદિની પ્રાપ્તિ માટે દેશાંતર જાય ત્યારે ત્યાં પણ આદરથી સત્સંગ કરવો અને નિયમોનું પાલન કરવું.,"Vidhyā, dhan ādinī prāpti māṭe deshāntarmā jāy tyāre tyā paṇ ādarthī satsang karvo ane niyamonu pālan karvu. ",https://baps.box.com/shared/static/fsneqi30kc2syzlieprinnv58m5rp8hy.mp3,Satsang Diksha Shlok 205,"Instruction to Follow Niyams
"
"Vachanamrut Vartal-17 | Instruction to Follow Niyams
","Stay on the path of pravrutti while abiding by the niyams prescribed by God. However, he should never overdo or under-do his observance of those niyams. ","અને એ જે ભગવાનના ભક્ત ત્યાગી તેને તો પરમેશ્વરના નિયમમાં રહીને પ્રવૃત્તિમાર્ગને વિષે રહેવું, પણ પરમેશ્વરના નિયમથી અધિક પણ વર્તવું નહીં ને ન્યૂન પણ રહેવું નહીં ","
Parameshwarnā niyammā rahīne pravṛutti-mārgne viṣhe rahevu, paṇ Parameshwarnā niyamthī adhik paṇ vartvu nahī ne nyūn paṇ rahevu nahī.  ",https://baps.box.com/shared/static/48g688yekguioolegind3h0djo544mhb.mp3,Vachanamrut Vartal-17,"Instruction to Follow Niyams
"
"Bhaktachintamani, Prakaran 76 | Instruction to Follow Niyams
","When happiness and misery come our way, keep patience and agility.  I will take care of my devotees in those times.  In doing so If one were to forsake the body, then there is happiness thereafter however if we disobey gods command then one will have to bear the consequences

","સુખ દુઃખ આવે સર્વે ભેળું, એમાં રાખજ્યો સ્થિર મતિ;
 જાળવીશ મારા જનને વળી કરીશ જતન અતિ.
એમ કરતાં જો પંડ પડશે, તો આગળ સુખ છે અતિ ઘણું;
પણ વ્રત ટેક જો ટાળશો તો, ભોગવશો સહુ સહુ તણું. 

","Sukh dukh āve sarve bheḷu, emā rākhajyo sthir mati;
jāḷavīsh mārā janane vaḷī karīsh jatan ati. Em karatā jo panḍa paḍashe, to āgaḷ sukh chhe ati ghaṇu;
Paṇ vrat ṭek jo ṭāḷasho to, bhogavasho sahu sahu taṇu. 

",https://baps.box.com/shared/static/iw0u0y01cx76och38iy3r5zpbe7a1pc3.mp3,"Bhaktachintamani, Prakaran 76","Instruction to Follow Niyams
"
"Swamini Vat 4/36 | Niyams of Pragat Bhagwān  
","One may observe ten million niyams, but without manifest God one will not attain moksha. And by observing even just one niyam by the order of this manifest God and the manifest Sadhu (Satpurush), moksha is attained.  "," પ્રગટ ભગવાન વિના કરોડ નિયમ પાળે પણ કલ્યાણ ન થાય અને પ્રગટ ભગવાન ને આ પ્રગટ સાધુની આજ્ઞાથી એક નિયમ રાખે તો કલ્યાણ થાય. 
","Pragaṭ Bhagwān vinā karoḍ niyam pāḷe paṇ kalyāṇ na thāy ane pragaṭ Bhagwān ne ā pragaṭ Sādhunī āgnāthī ek niyam rākhe to kalyāṇ thāy. 
",https://baps.box.com/shared/static/z5n39kld470y4kf5tqhfp8o7q3nf7ob2.mp3,Swamini Vat 4/36,"Niyams of Pragat Bhagwān  
"
"Sākhi - Nishkulanand Swami | Niyams of Pragat Bhagwān  
","There are different types of dharma, however the most important form  of dharma is to follow the wish of the manifest God-realised Sādhu.

","ધર્મ ધર્મ સહુ કોઈ કહે, પણ ધર્મમાં બહુ મર્મ છે
પ્રગટ પ્રભુનાં વચન પાળે, એથી મોટો કોઈ ધર્મ છે

","Dharma dharma sahu koi kahe, Paṇ dharmamā bahu marma chhe |  
Pragaṭ Prabhunā vachan pāle, Ethi moṭo koi dharma chhe?
",https://baps.box.com/shared/static/90e5kw6aatf7wm4aitienkkob07fpull.mp3,Sākhi - Nishkulanand Swami,"Niyams of Pragat Bhagwān  
"
Prasang,"12/16/2017 - Surendranagar
The sadhus finished singing chesta. After taking a shower, the sadhus called a staunch satsangi yuvak named Darshil Patel. They told Swamishri “Darshil is in Germany for his studies, but to uphold his niyams he cooks his own food and does not eat outside.” While giving him ashirwad, Swamishri said, “Niyam pāḍo chho, hamnā janāshe nahi, pan bhavishyamā khub ānand āvshe. āgaḍ avshe.” (“Even though you don’t notice right now, because you follow your niyams, you will be very happy in the future. It will come to the forefront.”) When Swamishri said “āgaḍ āvshe” (“It will come to the forefront”) he meant that our niyams will be our shield and armor in our times of need. (Prasang)

",,,https://baps.box.com/shared/static/974r3ec7zidpfbarfalyhtsv904osafa.mp3,,"Niyams of Pragat Bhagwān  
"
