Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Recognizing the Pragaṭ form of Bhagwān | Vachanamrut Vartal-19,"Whenever a jiva attains a human body in Bharat-khand, God’s avatārs or God’s sādhus (Satpurush) will certainly also be present on earth at that time. If that jiva can recognize them, then he becomes a devotee of God.",આ જીવને જ્યારે ભરતખંડને વિષે મનુષ્ય દેહ આવે છે ત્યારે ભગવાનના અવતાર કાં ભગવાનના સાધુ એ જરૂર પૃથ્વી ઉપર વિચરતા હોય; તેની જો એ જીવને ઓળખાણ થાય તો એ જીવ ભગવાનનો ભક્ત થાય છે. ,Ā jīvne jyāre Bharat-Khanḍne viṣhe manuṣhya deh āve chhe tyāre Bhagwānnā avatār kā Bhagwānnā sādhu e jarūr pṛuthvī upar vichartā hoy; tenī jo e jīvne oḷkhāṇ thāy to e jīv Bhagwānno bhakta thāy chhe. ,https://baps.box.com/shared/static/gfqtu5lhro1qp5xwzossc1tiscv1kvfp.mp3,Vachanamrut Vartal-19,Recognizing the Pragaṭ form of Bhagwān
Recognizing the Pragaṭ form of Bhagwān | Swamini Vat 4/49,"This Sadhu appears to be like a human, but he is not. And today, God is manifest, the Sadhu is manifest and dharma is manifest. And those who do not understand this at this time will bitterly regret it afterwards.","આ સાધુ મનુષ્ય જેવા જણાય છે, પણ મનુષ્ય જેવા નથી ને આજ તો પ્રગટ ભગવાન છે, પ્રગટ સાધુ છે, પ્રગટ ધર્મ છે; ને આ સમામાં જેને નહિ ઓળખાય તેને પછવાડેથી માથું કૂટવું પડશે. ","Ā Sādhu manuṣhya jevā jaṇāy chhe, paṇ manuṣhya jevā nathī ne āj to pragaṭ Bhagwān chhe, pragaṭ Sādhu chhe, pragaṭ dharma chhe; ne ā samāmā jene nahi oḷakhāy tene pachhavāḍethī māthu kūṭvu paḍshe. ",https://baps.box.com/shared/static/906szr2dc02k39vrfdxzjtbs4qsaalc2.mp3,Swamini Vat 4/49,Recognizing the Pragaṭ form of Bhagwān
Benefits of Recognizing Pragaṭ Bhagwān | Vachanamrut Gadhada III-2,"If a person develops conviction in the guru - who is the manifest form of God - in the same way that he has conviction in the non-manifest deities, then, as a result, he attains all of the arthas which are described as attainable. ","‘જેવી પરોક્ષ દેવને વિષે જીવને પ્રતીતિ છે તેવી જો પ્રત્યક્ષ ગુરુરૂપ હરિને વિષે આવે, તો જેટલા અર્થ પ્રાપ્ત થવાના કહ્યા છે તેટલા સર્વે અર્થ તેને પ્રાપ્ત થાય છે.’","Jevī parokṣh devne viṣhe jīvne pratīti chhe tevī jo pratyakṣh gururūp Harine viṣhe āve, to jeṭlā arth prāpta thavānā kahyā chhe teṭlā sarve arth tene prāpta thāy chhe. ",https://baps.box.com/shared/static/j698ddruqdw9w3g6cmht6eg38b8oi35j.mp3,Vachanamrut Gadhada III-2,Benefits of Recognizing Pragaṭ Bhagwān
Benefits of Recognizing Pragaṭ Bhagwān | Sakhi - Nishkulanand Swami,"Only when one has met the manifest form of God can one attain  liberation; without this, one can try infinite things, but none will lead to  ultimate salvation.","મળે પ્રભુ પ્રગટ પ્રમાણ રે, કાં તો તેના મળેલે કલ્યાણ રે, 
તેહ વિના તો કોટિ ઉપાયે રે, આત્યંતિક કલ્યાણ ન થાયે રે
","Maḷe prabhu pragaṭ pramāṇ re, kā to tenā maḷele kalyāṇ re, Teha vinā to koṭi upāye re, ātyantik kalyāṇ na thāye re",https://baps.box.com/shared/static/p11c0ve87n95ckxc6gv91haezsntugz3.mp3,Sakhi - Nishkulanand Swami,Benefits of Recognizing Pragaṭ Bhagwān
Benefits of Recognizing Pragaṭ Bhagwān | Swamini Vat 4/88,"In Ahmedabad, Swami said, “At present, Maharaj is manifest and is spreading spiritual wisdom, keeping everyone within their spiritual and moral codes, ensuring that dharma is observed and also delivering discourses.”","અમદાવાદમાં વાત કરી જે, “હાલ મહારાજ પ્રગટ છે તેમ જ જ્ઞાન આપે છે, તેમ જ નિયમમાં રાખે છે, તેમ જ ધર્મ પળાવે છે, તેમ જ ઉપદેશ આપે છે.” ","Amdāvādmā vāt karī je, “Hāl Mahārāj pragaṭ chhe temaj gnān āpe chhe, temaj niyammā rākhe chhe, temaj dharma paḷāve chhe, temaj updesh āpe chhe.” ",https://baps.box.com/shared/static/wyzntagvbkarxovwd27zpp0ok1kx6beh.mp3,Swamini Vat 4/88,Benefits of Recognizing Pragaṭ Bhagwān
Pragaṭ through the Aksharbrahma Guru | Vachanamrut Gadhada I-68,"But God himself has said, ‘I forever reside in the eight types of murtis and in the Sant.’","ભગવાને તો શ્રીમુખે એમ કહ્યું છે જે, ‘મારી અષ્ટ પ્રકારની જે પ્રતિમા તથા જે સંત તેને વિષે હું અખંડ નિવાસ કરીને રહું છું.’","Bhagwāne to Shrīmukhe em kahyu chhe je, ‘Mārī aṣhṭ prakārnī je pratimā tathā je sant tene viṣhe hu akhanḍ nivās karīne rahu chhu.’",https://baps.box.com/shared/static/79syumic6xlml5ltnl284h1jplg46esz.mp3,Vachanamrut Gadhada I-68,Pragaṭ through the Aksharbrahma Guru
Pragaṭ through the Aksharbrahma Guru | Kirtan - Dhanya dhanya e sant sujāṇne - Nishkulanand Swami,"Blessed is the wise sant, Who himself is transformed. Such a sant is Bhagwan himself
In this way, Bhagwan lives through this sant,Therefore then sant is the abode of bliss...9
"," ધન્ય ધન્ય એ સંત સુજાણને, 
જેનું ઊલટી પલટ્યું આપ... સંત તે સ્વયં હરિ꠶ ૧
એમ સંતમાં રહ્યા છે શ્રીહરિ, 
માટે સંત છે સુખનું ધામ... સંત꠶ ૯ 
","Dhanya dhanya e sant sujāṇne; Jenu ūlṭī palaṭyu āp sant te swayam hari
Em santmā rahyā chhe Shrī Hari, māṭe sant chhe sukhnu dhām... sant 9",https://baps.box.com/shared/static/9g1qbfc12qaera8v4v2wz5cktzf54glj.mp3,Kirtan - Dhanya dhanya e sant sujāṇne - Nishkulanand Swami,Pragaṭ through the Aksharbrahma Guru
Pragaṭ through the Aksharbrahma Guru | Sakhi - Nishkulanand Swami,"“I am the Sant and the Sant is me,” [I am one with the Sant] Mahārāj  Himself has said. Believe the Sant to be my form; there is not an iota  of difference between our forms.","સંત હું ને હું તે વળી સંત રે, એમ શ્રીમુખે કહે ભગવંત રે, સંત માનજો મારી મૂરતિ રે, એમાં ફેર નથી એક રતિ રે","Sant hu ne hu te vaḷi Sant re, Em Shrimukhe kahe Bhagwānt re |  Sant mānajo māri murati re, Emā fer nathi ek rati re |",https://baps.box.com/shared/static/g814j3wy3euzay4vxznhn8locgjrvzft.mp3,Sakhi - Nishkulanand Swami,Pragaṭ through the Aksharbrahma Guru
Pragaṭ through the Aksharbrahma Guru | Satsang Diksha Shlok 107,"Through the Aksharbrahman guru, Bhagwān always remains present with all of his divinity and bestows utmost bliss. "," અક્ષરબ્રહ્મસ્વરૂપ ગુરુ દ્વારા ભગવાન પોતાનાં સકળ ઐશ્વર્યો સહિત, પરમાનંદ અર્પતાં થકાં સદાય પ્રગટ રહે છે. ","Akṣharbrahma-swarūp guru dwārā Bhagwān potānā sakaḷ aishvaryo sahit, paramānand arpatā thakā sadāy pragaṭ rahe chhe. ",https://baps.box.com/shared/static/14i2boemu0gdrkq7w9njwmskmkdxv8eu.mp3,Satsang Diksha Shlok 107,Pragaṭ through the Aksharbrahma Guru
Prasang,"The evening program on October 13, 2017 in Leicester was themed 'Iti Vachanāmrut'. At the end of the program, there was a short discussion on how we should understand the Satpurush's Mahimā (greatness). There were many different opinions discussed. Some argued, the Satpurush is the Pinnacle of Saintliness, he is the best at management, etc.
Thereafter, Swamishri himself was requested to explain the greatness of the Satpurush, as only he would truly know. Swamishri said,""E akhanḍ Bhagwānne dhāri rahya che. E moṭāmā moṭu sāmarthya che. Biju badhu thai shake, pan Bhagwānne dhārvā te na thai shake. (He always beholds God. That is his greatest power. One can do everything else, but to always behold God is impossible.)""",,,https://baps.box.com/shared/static/ceqp7qlya6p6mnlz18vlhoskqbjozamk.mp3,,Pragaṭ through the Aksharbrahma Guru
