Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Swamini Vat 1/1 - Understanding Prāpti,"One should continuously engage in delivering and listening to talks on the glory of God and his Sadhu. Maharaj has come here (to earth) with his Akshardham, pārshads and all his powers. He is exactly the same (today).1 He whom we wish to attain after death, we have attained during this life; there is nothing more left to attain. If this truth is not understood properly, the jiva remains weak. Once this is understood, the jiva will no longer consider itself weak and will acquire a different mettle.","ભગવાન ને સાધુના મહિમાની વાતું નિરંતર કરવી ને સાંભળવી. ને મહારજ તો પોતાનું અક્ષરધામ ને પાર્ષદ ને પોતાનું સમગ્ર ઐશ્વર્ય તે લઈને આંહી પધાર્યા છે. તે એવા ને એવા જ છે. ને દેહ મૂકીને જેને પામવા છે, તે આજ દેહ છતાં મળ્યા છે, કાંઈ બાકી નથી; ને એમ ન સમજાય તેથી જીવમાં દુર્બળતા રહે છે, ને એમ સમજાય ત્યારે કોઈ દિવસ જીવમાં દુર્બળતા મનાય જ નહિ; ને જીવ બીજી રીતનો થઈ જાય છે...","Bhagwān ne Sādhunā mahimānī vātu nirantar karavī ne sāmbhaḷvī. Ne Mahāraj to potānu Akṣhardhām ne pārṣhad ne potānu samagra aishvarya te laīne āhī padhāryā chhe. Te evā ne evāj chhe. Ne deh mūkīne jene pāmvā chhe, te āj deh chhatā maḷyā chhe, kāī bākī nathī; ne em na samjāy tethī jīvmā durbaḷtā rahe chhe, ne em samjāy tyāre koī divas jīvmā durbaḷtā manāyaj nahi; ne jīv bījī rītno thaī jāy chhe.",,Swamini Vat 1/1,Understanding Prāpti
Vachanamrut Gadhada I-14 - Benefits of Prāptino Vichār,"A devotee who realizes in his mind, ‘My liberation is guaranteed...a person who is a servant of God has nothing left to do. In fact, other jivas attain liberation by his darshan, so what is surprising about he himself attaining liberation?","જે ભક્ત છે તેની મતિમાં એમ રહ્યું છે જે, ‘મારું કલ્યાણ તો થઈ રહ્યું છે...અને જે ભગવાનના દાસ થયા છે તેને તો કાંઈ કરવું રહ્યું નથી. એનાં દર્શને કરીને તો બીજા જીવનું કલ્યાણ થાય છે, તો એનું કલ્યાણ થાય એમાં શું કહેવું?","Je bhakta chhe tenī matimā em rahyu chhe je, ‘Māru kalyāṇ to thaī rahyu chhe... Ane je Bhagwānnā dās thayā chhe tene to kāī karvu rahyu nathī. Enā darshane karīne to bījā jīvnu kalyāṇ thāy chhe, to enu kalyāṇ thāy emā shu kahevu?",,Vachanamrut Gadhada I-14,Benefits of Prāptino Vichār
Vachanamrut Gadhada I-78 - Benefits of Prāptino Vichār,"In fact, all of those abodes are present wherever God and these sādhus reside. Therefore, I am extremely fortunate in that I am able to stay in the presence of these sādhus.’ If he understands this, then he will experience awe all day and night and will sway in an ocean of bliss throughout the day.",તે સંત ને પરમેશ્વર જ્યાં વિરાજમાન છે ત્યાં જ એ સર્વે ધામ છે અને એ સંત ભેળો મારો નિવાસ થયો છે તે મારું અતિ બડું ભાગ્ય છે.’ એવી રીતે સમજે તો આઠે પહોર આશ્ચર્ય સરખું રહે અને આઠે પહોર આનંદના સમુદ્રમાં ઝીલતો રહે.,Te Sant ne Parmeshwar jyā virājmān chhe tyāj e sarve dhām chhe ane e sant bheḷo māro nivās thayo chhe te māru ati baḍu bhāgya chhe.’ Evī rīte samaje to āṭhe pahor āshcharya sarkhu rahe ane āṭhe pahor ānandnā samudramā jhīlato rahe.,,Vachanamrut Gadhada I-78,Benefits of Prāptino Vichār
Swamini Vat 1/19 - Rare Attainment,"Even by spending tens of millions of rupees, such a Sādhu (Aksharbrahman Guru) is unattainable. Even by donating tens of millions of rupees, such spiritual talks are unattainable. Even by paying tens of millions of rupees, this human body cannot be attained. Also, we too, have taken tens of millions of births, but never have we had this attainment. Otherwise why would we have to take birth?","કરોડ રૂપિયા ખરચતાં પણ આવા સાધુ મળે નહિ ને કરોડ રૂપિયા દેતાં પણ આ વાતું મળે નહિ ને કરોડ રૂપિયા આપતાં પણ મનુષ્યદેહ મળે નહિ; ને આપણે પણ કરોડ જન્મ ધર્યા છે, પણ કોઈ વખત આવો જોગ મળ્યો નથી. નીકર શું કરવા દેહ ધરવો પડે?","Karoḍ rūpiyā kharchatā paṇ āvā sādhu maḷe nahi ne karoḍ rūpiyā detā paṇ ā vātu maḷe nahi ne karoḍ rūpiyā āptā paṇ manuṣhyadeh maḷe nahi; ne āpṇe paṇ karoḍ janma dharyā chhe, paṇ koī vakhat āvo jog maḷyo nathī. Nīkar shu karvā deh dharavo paḍe?",,Swamini Vat 1/19,Rare Attainment
Swamini Vat 1/294 - Rare Attainment,"The God and Sādhu that we wanted to attain through endless austerities, chanting the name of God tens of millions of times, observances, donations and sacrifices, we have attained today.","કોટિ તપ કરીને, કોટિ જપ કરીને, કોટી વ્રત કરીને, કોટિ દાન કરીને ને કોટિ યજ્ઞ કરીને પણ જે ભગવાનને ને સાધુને પામવા હતા તે આજ આપણને મળ્યા છે.","Koṭi tap karīne, koṭi jap karīne, koṭī vrat karīne, koṭi dān karīne ne koṭi yagna karīne paṇ je Bhagwānne ne sādhune pāmvā hatā te āj āpaṇne maḷyā chhe.",,Swamini Vat 1/294,Rare Attainment
Kirtan - Nishkulanand Swami - Krutārthpānu (Fulfillment),"Today, my good fortune has come to fruition. Infinite souls have been liberated. There is no debt regarding my liberation. I have attained the manifest form of Bhagwān...1
Who knows how this happened? I have attained unfathomable happiness. Divine bliss flows over me because I have met Bhagwān face-to-face...10
Today is a great festival in which I met Maharaj. Today, Nishkulanand Swami’s bell rings with victory!...11
","ભાગ્ય જાગ્યાં રે આજ જાણવાં, કોટિ થયાં કલ્યાણ;
ઉધારો ન રહ્યો એહનો, પામ્યા પ્રભુ પ્રગટ પ્રમાણ… ૧
કોણ જાણે આ કેમ થયું, આવ્યું અણચિંતવ્યું સુખ;
ઢાળો અલૌકિક ઢળી ગયો, મળ્યા હરિ મુખોમુખ... ૧૦
ધન્ય ધન્ય અવસર આજનો, જેમાં મળિયા મહારાજ;
નિષ્કુળાનંદ ડંકો જીતનો, વાગી ગયો છે આજ... ૧૧ 
","Bhāgya jāgyā re āj jāṇvā, koṭi thayā kalyāṇ;
 Udhāro na rahyo ehno, pāmyā Prabhu pragaṭ pramāṇ... 1
Dhāḷo alaukik dhaḷī gayo, maḷyā Hari mukhomukh... 10
Dhanya dhanya avsar ājno, jemā maḷīyā Mahārāj;
 Nishkuḷānand ḍanko jītno, vāgī gayo chhe āj... 11
",,Kirtan - Nishkulanand Swami,Krutārthpānu (Fulfillment)
Satsang Diksha Shlok 147-149 - Krutārthpānu (Fulfillment),"Swāminārāyaṇ Bhagwān is the all-doer,14 supreme entity and controller. I have his association here in person. For this very reason, I am joyous, greatly fortunate, fulfilled, without doubts and worries, and forever blissful.","આ સ્વામિનારાયણ ભગવાન સર્વકર્તાહર્તા છે, સર્વોપરી છે, નિયામક છે. તેઓ મને અહીં પ્રત્યક્ષ મળ્યા છે. આથી જ હું ધન્ય છું, પરમ ભાગ્યશાળી છું, કૃતાર્થ છું, નિઃશંક છું, નિશ્ચિંત છું અને સદા સુખી છું.","Ā Swāminārāyaṇ bhagwān sarvakartāhartā chhe, sarvoparī chhe, niyāmak chhe. Teo mane ahī pratyakṣh maḷyā chhe. Āthīj hu dhanya chhu, param bhāgyashāḷī chhu, kṛutārth chhu, nihshank chhu, nishchint chhu ane sadā sukhī chhu.",,Satsang Diksha Shlok 147-149,Krutārthpānu (Fulfillment)
Kirtan - Nishkulanand Swami,"Believe that you have achieved the most extraordinary attainment. It is right in your hands, so do not lose it. Safeguard it day and night. Remember it while sleeping or sitting down...1
Today, you have attained bliss and terrible misery has diminished. Says Nishkulanand Swami, do not let go of this happiness...4
","માનો મળી છે મોટી વાત, હાથ આવી તે મ હારજો રે;
કરી જતન દિવસ રાત, સૂતાં બેઠાં સંભારજો રે... ૧
આજ પામ્યા છો આનંદ, વામ્યા દારુણ દુઃખને રે;
એમ કહે નિષ્કુળાનંદ, રખે મૂકતા એવા સુખને રે... ૪
","Māno maḷī chhe moṭī vāt, hāth āvī te ma hārjo re;
 Karī jatan divas rāt, sūtā beṭhā sambhārjo re... 1
Āj pāmyā chho ānand, vāmyā dārūṇ dukhne re;
 Em kahe Nishkuḷānand, rakhe mūktā evā sukhne re... 4
",,Kirtan - Nishkulanand Swami,Performing Prāptino Vichār
Harililamrut 5/28/29 - Performing Prāptino Vichār,"One who thinks of the greatness of Bhagwān (and the Sant), only holds onto that invaluable attainment,
His inner excitement cannot be contained. Due to that (attainment), what can he not do?
","મહાપ્રભુ નો મહિમા વિચારે, તે પ્રાપ્તિ જો જીવ અમૂલ્ય ધારે;
ઉત્સાહ તેના ઉરમાં ન માય, તેના થકી શું ન કરી શકાય ?.. ૨૯   
","Mahāprabhuno mahimā vichāre, te prāpti jo jiva amulya dhāre;
Utsāha tenā urmā na māy, tenā thaki shu na kari shakāya?
",,Harililamrut 5/28/29,Performing Prāptino Vichār
Prasang,"At 3 A.M. on July 11, 2020, Swamishri had gotten up from his bed and entered his bathroom. Earlier that night, the attendant sadhus had written a message (in English) on a whiteboard with a blue marker that was attached to the bathroom wall. It read, ""No matter what yesterday was like, birds always start the new day with a song."" 

After having read this, Swamishri used an orange marker and added,""Temaj satsangi mātre potānā je Māhārāj Swāmi ane Satpurush ni je prāpti thai che tenāthi potānā shubh divasni sharuāt karvi (In the same way, for Satsangis, we have attained Maharaj, Swami, and the Satpurush.  Therefore, begin your day with the thought of this attainment"".",,,,,Performing Prāptino Vichār
