Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Vachanamrut Gadhada I-58 | Benefits of Rājipo,"If the extremely great Purush becomes pleased upon a person, then regardless of how unfavorable the person’s sanskars may be, they are all destroyed. Moreover, if the great Purush is pleased, a beggar can become a king; regardless of how unfavorable a person’s prarabdha may be, it becomes favorable; and regardless of how disastrous a misfortune he is to face, it is avoided.",અતિશય જે મોટાપુરુષ હોય તેનો જે ઉપર રાજીપો થાય તેના ગમે તેવા મલિન સંસ્કાર હોય તો નાશ પામે અને મોટાપુરુષનો રાજીપો થયો હોય તો રાંક હોય તે રાજા થાય અને ગમે તેવાં ભૂંડાં પ્રારબ્ધ હોય તો રૂડાં થાય અને ગમે તેવું તેને માથે વિઘ્ન આવનારું હોય તે નાશ થઈ જાય.,Atishay je Moṭā Puruṣh hoy teno je upar rājīpo thāy tenā game tevā malin sanskār hoy to nāsh pāme ane Moṭā Puruṣhno rājīpo thayo hoy to rānk hoy te rājā thāy ane game tevā bhūnḍā prārabdha hoy to rūḍā thāy ane game tevu tene māthe vighna āvnāru hoy te nāsh thaī jāy.,https://baps.box.com/shared/static/l96csp9b77ygg71epi4jap05k1ie00gb.mp3,Vachanamrut Gadhada I-58,Benefits of Rājipo
Vachanamrut Gadhada II-45 | Benefits of Rājipo,"If one performs a karma by which God and His Bhakta are pleased, then, in this very body, one will enjoy bliss similar to that of attaining the highest state of enlightenment.",ભગવાન ને ભગવાનના ભક્ત રાજી થાય એવું કર્મ કરે તો આને આ દેહે પરમ પદ પામ્યા જેવું સુખ ભોગવે.,Bhagwān ne Bhagwānnā bhakta rājī thāy evu karma kare to āne ā dehe param pad pāmyā jevu sukh bhogave.,https://baps.box.com/shared/static/2w3pjnw9v6es2g3j10fizdizu11qac91.mp3,Vachanamrut Gadhada II-45,Benefits of Rājipo
Swamini Vat 2/176 | Benefits of Rājipo,"If one has the blessings of the great Sadhu (Satpurush), inner happiness prevails. The body may experience both happiness and misery, there is no certainty about that. However, one whose faith increases daily and who progresses daily should understand that the great (Sadhu) is pleased.","મોટાનો રાજીપો હોય તેના અંતરમાં સુખ વર્ત્યા કરે ને દેહમાં તો સુખ-દુઃખ આવે, તેનો તો નિર્ધાર નહિ, બાકી તેને દિન-દિન પ્રત્યે શ્રદ્ધા વૃદ્ધિ પામતી જાય, ને દહાડે દહાડે વધતો જાય, એમ વર્તે ત્યારે એમ જાણવું જે, ‘મોટા રાજી છે.’","Moṭāno rājīpo hoy tenā antarmā sukh vartyā kare ne dehmā to sukh-dukh āve, teno to nirdhār nahi, bākī tene din-din pratye shraddhā vṛuddhi pāmtī jāy, ne dahāḍe dahāḍe vadhto jāy, em varte tyāre em jāṇvu je, ‘Moṭā rājī chhe.’",https://baps.box.com/shared/static/ri45uikg7fhn1lkuiq0kf7xtkh8ul16j.mp3,Swamini Vat 2/176,Benefits of Rājipo
Swamini Vat 6/14 | What leads to Rājipo?,"When lust, anger, ego, jealousy and body-consciousness are given up, then God and his holy Sadhu (Satpurush) will be pleased.","કામ, ક્રોધ, માન, ઈર્ષા ને દેહાભિમાન એ સર્વે મૂકશે ત્યારે ભગવાનને ભગવાનના સાધુ રાજી થાશે.","Kām, krodh, mān, irshā ne dehā-bhimān e sarve mukshe tyāre Bhagwānne Bhagwānnā Sādhu rāji thāshe.",https://baps.box.com/shared/static/gch9abyyarnehg1eu0ux2jgx0q8xqm4q.mp3,Swamini Vat 6/14,What leads to Rājipo?
Vachanamrut Gadhada II-28 | What leads to Rājipo?,"The only method for a person to please God is to serve devotees of God by thought, word and deed.",જીવને ભગવાનને રાજી કર્યાનો ઉપાય તો મન-કર્મ-વચને ભગવાનના ભક્તની સેવા કરવી એ જ છે.,Jīvne bhagwānne rājī karyāno upāy to man-karma-vachane bhagwānnā bhaktanī sevā karvī ej chhe.,https://baps.box.com/shared/static/13z6rmu6az64qihdhzq1s9g9igasewfb.mp3,Vachanamrut Gadhada II-28,What leads to Rājipo?
Swamini Vat 1/165 | What leads to Rājipo?,"Three things really please God. First, following his wishes; second, understanding the Sadhu's form (Aksharbrahman Guru); and third, understanding the form of God. Such a person is to be truly, truly, truly commended. Therefore, adopt these three methods.","એક તો ભગવાનની આજ્ઞા પાળવી અને બીજું સંતનું સ્વરૂપ સમજવું અને ત્રીજું ભગવાનનું સ્વરૂપ સમજવું, એ ત્રણ વાતમાં ભગવાન રાજી, રાજી ને રાજી છે; ને તેને ધન્ય છે, ધન્ય છે ને ધન્ય છે. એ ત્રણ વાત રાખવી.","Ek to Bhagwānnī āgnā pāḷvī ane bīju santnu swarūp samajvu ane trīju Bhagwānnu swarūp samajvu, e traṇ vātmā Bhagwān rājī, rājī ne rājī chhe; ne tene dhanya chhe, dhanya chhe ne dhanya chhe. E traṇ vāt rākhvī.",https://baps.box.com/shared/static/6fbpndqlt8o3bphbf5f72l1vw7i9jh55.mp3,Swamini Vat 1/165,What leads to Rājipo?
Kirtan - Nishkulanand Swami | Performing Rājipano Vichār,"We should please God, santo, we should please God.
Then, all of our goals will be fulfilled.
We should live according to the wishes of Shriji Maharaj.
If there is anything God does not like, we should not even ask about it (i.e. avoid doing it).
","કરીએ રાજી ઘનશ્યામ રે સંતો, કરીએ રાજી ઘનશ્યામ;
તો સરે સરવે કામ રે સંતો, કરીએ રાજી ઘનશ્યામ... ટેક
મરજી જોઈ મહારાજના મનની, એમ રહીએ આઠું જામ;
જે ન ગમે જગદીશને જાણો, તેનું ન પૂછીએ નામ રે... સંતો ૧
","Karīe rājī Ghanshyām re santo karīe rājī Ghanshyām;
To sare sarve kām re santo karīe rājī Ghanshyām...
Marjī joī Mahārājnā mannī,
 ema rahīe āṭhu jām;
Je na game Jagdīshne jāṇo,
 tenu na pūchhīe nām re santo... 1
",https://baps.box.com/shared/static/1vmykldx5trhar5lg3mphjdrtit8vmci.mp3,Kirtan - Nishkulanand Swami,Performing Rājipano Vichār
Sakhi - Nishkulanand Swami | Performing Rājipano Vichār,"Reject the wishes of the mind, while keeping the wish of the great satpurush in mind. Definitely think of pleasing our life-force (Bhagwān) .","મનગમતું મેલી કરીને, મત મોટાનો મન ધારિયે ॥
પ્રસન્ન કરવા છે પ્રાણપતિને, એટલું તો જરૂર વિચારિયે ॥૭॥
","Mangamtu melī karīne, mat moṭāno man dhāriye ॥
Prasanna karvā chhe prāṇapatine, eṭalu to jarūr vichāriye ॥7 ॥ 
",https://baps.box.com/shared/static/73g6zy4dai1t9qeg9ldu5rqngytreohh.mp3,Sakhi - Nishkulanand Swami,Performing Rājipano Vichār
Satsang Diksha Shlok 149 | Performing Rājipano Vichār,"In this way, with a composed mind, one should reflect daily on one’s divine attainment of Paramatma, his greatness and [attaining] his pleasure.","આ રીતે પરમાત્માની દિવ્ય પ્રાપ્તિનું, મહિમાનું તથા તેમની પ્રસન્નતાનું ચિંતન દરરોજ સ્થિર ચિત્તે કરવું.","Ā rīte paramātmānī divya prāptinu, mahimānu tathā temanī prasannatānu chintan darroj sthir chitte karvu.",https://baps.box.com/shared/static/8dqahz3dsfdu8frqyaszkm66cgiuvtx2.mp3,Satsang Diksha Shlok 149,Performing Rājipano Vichār
Prasang,"Sarangpur 1986 (Q & A with Santo)
Q. Ever since your initiation 50 years ago you have progressed spiritually with an exceptional pace and are now the Guru of millions worldwide. In fact you're eternally divine, a God-realized Sadhu, yet coming down to worldly terms what is the secret of your spiritual progress?
A. There is only one fundamental key to spiritual progress - single-minded determination to please the Guru. Shastriji Maharaj was a true Guru. I lived my life according to his wishes alone, and naturally, that's how I progressed. Bhagatji Maharaj, Shastriji Maharaj and Yogiji Maharaj attained such lofty spiritual heights through pleasing their Gurus and achieving their grace and blessings. Mind you, it is impossible to attain such great heights merely through personal endeavors, or intelligence or scholarliness!
Q. Once you had to meet Shastriji Maharaj in Wadhwan. You decided to walk to your destination because it was quicker. At that time it was the zenith of the Indian summer. The Bhogavo River which you had to cross was dry and its sand was baking hot because of the scorching sun. You had no shoes and still you dared to walk those few miles on the blistering sand along the river-bed. What made you do it?
A. I had always kept a clear goal in mind when I became a sadhu - to please Shastriji Maharaj! And to achieve this I was prepared to bear and hurdle over all hardships and adverse situations. If you are bent on pleasing the Guru you become totally indifferent to pain and discomfort. The paramhansas were brutally persecuted and faced tremendous physical hardship, yet their spirit to please Maharaj never waned. They forged forward, not sympathizing with their body or its need. So for those who seek the blessings of God and His holy Sadhu should bear in mind that misery, unhappiness, depression, etc. are all part of life. The aim of pleasing the Guru should not be eclipsed by such trials.",,,https://baps.box.com/shared/static/glkch3652z7cnvjg9ivajwqn7vk4dpqv.mp3,,Performing Rājipano Vichār
