Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Vachanamrut Gadhada I-27 | The Tolerance of Bhagwān and the Sant,"Despite these powers, though, he tolerates the praises and insults of other people. This itself is also a great feat, because to tolerate despite being so powerful is not easy for others to achieve. Therefore, one who tolerates in this manner should be considered to be extremely great.","અને એવી સામર્થીએ યુક્ત થકો પણ અન્ય જીવનાં માન-અપમાનને સહન કરે છે એ પણ મોટી સામર્થી છે; કાં જે, સમર્થ થકા જરણા કરવી, તે કોઈથી થાય નહીં, એવી રીતે જરણા કરે તેને અતિ મોટા જાણવા.","Ane evī sāmarthīe yukta thako paṇ anya jīvnā mān-apmānne sahan kare chhe e paṇ moṭī sāmarthī chhe; kā je, samarth thakā jarṇā karvī, te koīthī thāy nahī, evī rīte jarṇā kare tene ati moṭā jāṇvā.",https://baps.box.com/shared/static/6wex44sy2ni770veqifwp3plxq7q5pxp.mp3,Vachanamrut Gadhada I-27,The Tolerance of Bhagwān and the Sant
Purushottam Bolya Prite 11 | Instruction to Tolerate ,"To tolerate is our biggest and ultimate duty. I consider tolerance to be a success. I have taken this weapon in the form of forgiveness, and I will destroy adharma (wrongdoing).","સહન કરવું એ અમારો મહામોટો પરમ ધર્મ છે. સહન કરવું તેને અમે સિદ્ધિ ગણીએ છીએ. અમે ક્ષમારૂપી હથિયાર ધારણ કર્યું છે, તેનાથી અધર્મનો નાશ કરીશું.","Sahan karvu e amāro mahāmoṭo param dharma chhe. Sahan karvu tene ame siddhi gaṇīe chhīe. Ame kṣhamārūpī hathiyār dhāraṇ karyu chhe, tenāthī adharmano nāsh karīshu.",https://baps.box.com/shared/static/g0v2fbw6ix8483irj56tlbq5dn6b929f.mp3,Purushottam Bolya Prite 11,Instruction to Tolerate 
Swamini Vat 1/67 | Instruction to Tolerate ,"The great Sadhu believes that the body should be tested in many ways and cold, heat, hunger, thirst should be tolerated. But the body should not merely be pampered. ","મોટાનો મત એ છે જે, અનેક પ્રકારે દેહદમન કરવું અને ટાઢ, તડકો, ભૂખ, તરસ તેનું સહન કરવું પણ કેવળ દેહનું જતન કરવું નહિ.","Moṭāno mat e chhe je, anek prakāre dehdaman karvu ane ṭāḍh, taḍko, bhūkh, taras tenu sahan karvu paṇ kevaḷ dehnu jatan karvu nahi. ",https://baps.box.com/shared/static/c425wchxx03pifukkqes5hy15ummnec3.mp3,Swamini Vat 1/67,Instruction to Tolerate 
Swamini Vat 5/140 | Instruction to Tolerate ,"While worshipping God, miseries of the world, and of unfavourable place and time are encountered, but do not be discouraged. Remain patient. Gradually, all difficulties will be resolved, but do not step backwards. Swami gave the example of Pradyumna, who did not retreat from the battle, so God (Shri Krishna) blew the conch shell and everyone was destroyed. Similarly, the conch shell represents the talks of this Sādhu and by them everything will be destroyed. So, be patient and do not give up. Then Swāmi talked about satsangis who faced many difficulties while practicing satsang."," ભગવાન ભજતાં લોકનું દુઃખ આવે ને દેશકાળનું દુઃખ આવે પણ પાછું પડવું નહીં, ધીરજ રાખવી, ધીરે ધીરે બધાં ટળી જાય પણ પાછો પગ ભરવો નહીં. ત્યાં દ્રષ્ટાંત દીધું જે, પ્રદ્યુમ્ન યુદ્ધમાંથી પાછા હઠ્યા નહીં. પછી ભગવાને શંખ વગાડ્યો તેથી સર્વે નાશ પામી ગયા.૧ તેમ શંખને ઠેકાણે આ સાધુની વાતું છે તેથી સર્વે નાશ પામશે માટે ધીરજ રાખવી, પાછું પડવું નહીં. તે ઉપર સત્સંગીને સત્સંગ કરતાં ઘણીક ઉપાધી આવેલી તેની વાતો કરી તથા મૂર્ખની સમજણ જે રાજાને ચાકરે સભામાં બાટિયું આપી તેની વાત કરી.","Bhagwān bhajatā loknu dukh āve ne desh-kāḷnu dukh āve paṇ pāchhu paḍvu nahī, dhīraj rākhvī, dhīre dhīre badhā ṭaḷī jāy paṇ pāchho pag bharvo nahī. Tyā draṣhṭānt dīdhu je, Pradyumna yuddhamāthī pāchhā haṭhyā nahī. Pachhī Bhagwāne shankh vagāḍyo tethī sarve nāsh pāmī gayā. Tem shankhne ṭhekāṇe ā Sādhunī vātu chhe tethī sarve nāsh pāmashe māṭe dhīraj rākhavī, pāchhu paḍvu nahī. Te upar satsangīne satsang kartā ghaṇīk upādhī āvelī tenī vāto karī tathā mūrkhanī samjaṇ je rājāne chākare sabhāmā bāṭiyu āpī tenī vāt karī.",https://baps.box.com/shared/static/3y5bpw68lw282la1flq8cpcm3hyvdqit.mp3,Swamini Vat 5/140,Instruction to Tolerate 
Purushottam Bolya Prite 11 | Benefits of Tolerance,"They who tolerate bitter (hurtful) words and insults are great devotees. The understanding of this satsang is found in tolerance. As someone continues to tolerate, their spiritual greatness increases.",હરિભક્તો-સંતોના કડવા વચન અને અપમાન સહન કરે તે મોટો હરિભક્ત છે. સત્સંગની સમજણ જેટલી કંઈ  છે તે સઘળી સહનશીલતામાં રહેલી છે. તે જેમ જેમ સહન કરે તેમ મોટપ વધતી જાય છે.,Haribhakto-santonā kaḍvā vachan ane apmān sahan kare te moṭo haribhakta chhe. Satsangnī samjaṇ jeṭlī kanī  chhe te saghḷī sahan-shīltāmā rahelī chhe. Te jem jem sahan kare tem moṭap vadhtī jāy chhe,https://baps.box.com/shared/static/1ai087qs8lk8z1kwylqdy4askl7td90e.mp3,Purushottam Bolya Prite 11,Benefits of Tolerance
Yogi Gita | How to Tolerate,"What are the virtues of saintliness? To tolerate. If someone says, ‘You are so nice.’ Is that tolerance? No. To tolerate insults such as, ‘You empty-headed fool!’ is a virtue of true saintliness.","સાધુતા ના ગુણ શું ? ખમવું. 'તમે બહુ સારા છો ...' તે ખમવું એમ ને ? ના. 'તમે અક્કલ વગરના બારદાન છો...'  એમ કોઈ કહે તે ખમવું, તે સાધુતાના ગુણ","Sādhutā nā guṇ shu? Khamvu. 'tame bahu sārā chho ...' te khamvu em ne? Nā. 'tame akkal vagarnā bārdān chho...'  em koī kahe te khamvu, te sādhutānā guṇ",https://baps.box.com/shared/static/7qpe00y6v4or5oajobqspna7odedlavp.wav,Yogi Gita,How to Tolerate
Yogi Gita | How to Tolerate,"Tolerance is a powerful virtue...If someone speaks harsh words, then tolerate. Even if you have not wronged, you should still tolerate. Such a person is ekantik. One who tolerates is ekantik. ","સહનશક્તિ એ જબરો ગુણ છે….. કોઈ બે શબ્દ કહે તો ખમવું. આપણી ભૂલ ન હોય તો પણ ખમવું, એ એકાંતિક. સહન કરે એ એકાંતિક.","Sahan-shakti e jabro guṇ chhe….. Koī be shabda kahe to khamvu. Āpṇī bhūl na hoy to paṇ khamvu, e ekāntik. Sahan kare e ekāntik. ",https://baps.box.com/shared/static/uo5553xk2bccz4ohww1phnu84qze60fp.wav,Yogi Gita,How to Tolerate
Satsang Diksha Shlok 280 | How to Tolerate,"In difficult times, one should remain patient, offer prayers, persevere and keep firm faith in Akshar-Purushottam Maharaj.","વિપત્તિ આવે ત્યારે ધીરજ રાખવી, પ્રાર્થના કરવી, પ્રયત્ન કરવો અને અક્ષરપુરુષોત્તમ મહારાજને વિષે દૃઢ વિશ્વાસ રાખવો.","Vipatti āve tyāre dhīraj rākhvī, prārthanā karvī, prayatna karvo ane Akṣhar-Puruṣhottam Mahārājne viṣhe dṛaḍh vishvās rākhvo.",https://baps.box.com/shared/static/yb0nr0xkjg5vn3htnvsnm0tcu5pf2pht.mp3,Satsang Diksha Shlok 280,How to Tolerate
Kirtan - Nishkulanand Swami | How to Tolerate,"There is no wealth like patience oh santo, there is  no wealth like patience,
When days of difficulties come,  remember, there is no wealth like patience.
When evil people give great pain to those with patience,
They tolerate this understanding those evil people to be ignorant ","ધીરજ સમ નહિ ધન રે સંતો, ધીરજ સમ નહિ ધન;
આવે અરથ દોહ્યલે દન રે સંતો, ધીરજ સમ નહિ ધન... ટેક
ધીરજવંતને આપે અત્યંત દુઃખ બહુ દુરિજન;
તે તો સરવે સહે શરીરે, જાણી તે અજ્ઞ જન રે... સંતો꠶ ૨","Dhīraj sama nahi dhana re santo, dhīraj sam nahi dhan;
Āve aratha dohyale dan re santo, dhīraj sam nahi dhan...
Dhīrajavantane āpe atyanta, dukha bahu durijan;
Te to sarave sahe sharīre, jāṇī te agna jan re... Santo꠶ 2 ",https://baps.box.com/shared/static/phfj1ee848wfinvcenud6xempju6cq21.mp3,Kirtan - Nishkulanand Swami,How to Tolerate
Prasang,"Param Pujya Mahant Swami Maharaj was once performing seva with Yogiji Maharaj in Atladra. They were offering snacks on pieces of newspaper and tea in plastic glasses. Swamishri was using the pot to serve. Halfway through serving the line, there was no more tea left in the teapot, and Swami went back to refill it. But after he came back, he began serving tea to the other line. Seeing this, the remaining yuvaks left without tea got very angry, yelling, “Why did you start serving the other line without finishing serving us?!”
One yuvak from the Maretha village got so angry, he immediately went up to Swamishri, grabbed the teapot from him, and poured the burning hot tea on top of his feet!
Even though his dhoti protected him, a few streams of the burning cha feel right onto his skin.
However, Swami did not say anything and went to wash his feet. Swamishri, who is so great that he forever beholds Bhagwān, tolerated any insults and obstacles he faced!  ",,,https://baps.box.com/shared/static/t1a2cvi1exptmnjagnftszgd8qry97oy.mp3,Prasang,How to Tolerate
