Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Benefits of Samp | Purushottam Bolya Prite 8,"Unity is the power of God. Disunity is kaliyug (dark times). Where there is unity, there is success, prosperity, and godliness. Where there is no unity, kali (darkness) and its family reside. Mutual conflict and opposition is a characteristic of kaliyug. God resides where there is unity, friendship, compassion and respect.","સંપ એ ભગવાનનું દૈવત છે. કુસંપ એ કળિયુગ છે. જ્યાં સંપ રહે છે ત્યાં રિદ્ધિ-સિદ્ધિ ને પ્રભુતા રહે છે. સંપ નથી ત્યાં કળિ કુટુંબ સહિત વસે છે. પરસ્પર વિરોધ થાય તે કળિયુગનું લક્ષણ છે. સંપ, સુહૃદભાવ અને દયા-મરજાદા હોય ત્યાં ભગવાન વસે છે.","Samp e Bhagwānnu daivat chhe. Kusamp e kaḷiyug chhe. Jyā samp rahe chhe tyā riddhi-siddhi ne prabhutā rahe chhe. Samp nathī tyā kaḷi kuṭumb sahit vase chhe. Paraspar virodh thāy te kaḷiyugnu lakṣhaṇ chhe. Samp, suhṛadbhāv ane dayā-marjādā hoy tyā Bhagwān vase chhe.",https://baps.box.com/shared/static/beqbd84chdqcel74iiyaxgrzc9j6xhzp.mp3,Purushottam Bolya Prite 8,Benefits of Samp
Benefits of Samp | Swamini Vat 3/58,"If you all – sadhus, pārshads and brahmachāris – maintain unity like this, then no matter what type of internal enemies you face (swabhavs, base natures, etc.), they will not be able to defeat you. And if you do not stay united like this, then even the smallest of defects will drive you out of Satsang.","આ તમે સર્વે સાધુ, પાળા, બ્રહ્મચારી આમ ને આમ સંપ રાખશો તો ગમે તેવો તમારે અંતરશત્રુનો વધારો હશે તો પણ પરાભવ નહિ કરી શકે ને આમ નહિ રહો તો અલ્પ જેવો દોષ હશે તે પણ સત્સંગમાંથી બહાર કાઢી નાખશે.","Ā tame sarve sādhu, pāḷā, brahmachārī ām ne ām samp rākhsho to game tevo tamāre antarshatruno vadhāro hashe to paṇ parābhav nahi karī shake ne ām nahi raho to alpa jevo doṣh hashe te paṇ satsangmāthī bahār kāḍhī nākhshe.",https://baps.box.com/shared/static/e15g1gssutlsapsz0cfi6cj59dq4cp4o.mp3,Swamini Vat 3/58,Benefits of Samp
Benefits of Samp | Yogi Gita,"Satsang flourishes with unity, friendship, and oneness. Shriji Maharaj had 500 paramhansas with him. They all had unity with each other. Do not lend an ear to someone who speaks negative of others. If one lends an ear to such a person, then they will return and speak negative of others twice as much. But one should tell that person, “Don’t you dare speak.” Then that individual will not come back.","સત્સંગની વૃદ્ધિ ત્રણ વાનાંથી થાય. સંપ, સુહૃદભાવ ને એકતા. શ્રીજીમહારાજ સાથે ૫૦૦ પરમહંસ હતા. તેમને સંપ હતો. કોઈનું કોઈ ઘસાતું બોલતો હોય તો કાન ન ધરીએ, કાન ધરીએ તો ડબલ કહેવા આવે. પણ તેને કહી દેવું કે, “તું બોલીશ નહીં,” તો ફરી ન આવે.","Satsangnī vṛuddhi traṇ vānāthī thāy. Samp, suhṛadbhāv ne ektā. Shrījī Mahārāj sāthe pānchso paramhansa hatā. Temne samp hato. Koīnu koī ghasātu bolto hoy to kān na dharīe, kān dharīe to ḍabal kahevā āve. Paṇ tene kahī devu ke, “Tu bolīsh nahī,” to farī na āve.",https://baps.box.com/shared/static/ujrganl051hedxygsgl13vm80iml09gd.mp3,Yogi Gita,Benefits of Samp
Benefits of Samp | Harililamrut: 8/32/44-45,"When unity is present in satsang, 
Satsang will progress immensely; 
When unity leaves from satsang, 
Then that is why regression will occur...44 

Therefore please me, 
Do not hold dis-unity in one’s mind;
If one understands my greatness,
Then have love for my devotees...45","સત્સંગમાં સંપ ઘણો જણાશે,
સત્સંગની વૃદ્ધિ વિશેષ થાશે;
સત્સંગથી સંપ જશે જ જ્યારે
દશા જણાશે પડતી જ ત્યારે… ૪૪ 

માટે કરો જો મુજને પ્રસન્ન,
કુસંપ ક્યારે ધરશો ન મન;
જો કોઈ જાણો મહિમા અમારો,
તો ભક્ત મારા પર પ્રેમ ધારો… ૪૫ ","Satsangmā samp ghaṇo jaṇāshe,
Satsangnī vṛuddhi vishesh thāshe;
Satsangthī samp jashe j jyāre
Dashā jaṇāshe paḍtī j tyāre… 44 

Māṭe karo jo mujane prasanna,
Kusamp kyāre dharsho na man;
Jo koī jāṇo mahimā amāro,
To bhakta mārā par prem dhāro… 45 ",https://baps.box.com/shared/static/l1cgvhjtqdqf93xt1ehx0u6f0hro4uvi.mp3,Harililamrut: 8/32/44-45,Benefits of Samp
Benefits of Suradhbhav | Purushottam Bolya Prite 7,Devotees should keep mutual friendship. The extent to which one devotee maintains friendship with another devotee is the extent to which they are my life force. Friendship (amongst devotees) is my life force.,ભક્તોએ પરસ્પર સુહૃદભાવ રાખવો. એક ભક્ત બીજા ભક્ત પ્રત્યે જેટલો સુહૃદ થયો તેટલો તે અમારો પ્રાણ થયો. સુહૃદપણું અમારો પ્રાણ છે.,Bhaktoe paraspar suhṛadbhāv rākhvo. Ek bhakta bījā bhakta pratye jeṭlo suhṛad thayo teṭlo te amāro prāṇ thayo. Suhṛadpaṇu amāro prāṇ chhe.,https://baps.box.com/shared/static/2bc2awpkkevjcoccpr5jrwlqof9aq2z0.mp3,Purushottam Bolya Prite 7,Benefits of Suradhbhav
Benefits of Suradhbhav | Purushottam Bolya Prite 8,"The greater the affection for God, the Satpurush, and their devotees, the more one overcomes the causal body (swabhavs, base natures, instincts, etc.). The less the mutual affection amongst devotees, understand that to be a result of the causal body. When there is disunity amongst minds, understand that to be a part of the causal body.","ભગવાનમાં ને ભગવાનના સંતમાં તથા હરિભક્તોમાં જેટલું હેત વધુ તેટલું કારણ શરીર ટળે. હેત ઓછું હોય તો કારણ શરીરનો ભાગ જાણવો. એકબીજામાં મન ન મળે, એ પણ કારણ શરીરનો ભાગ છે.","Bhagwānmā ne Bhagwānnā Santmā tathā haribhaktomā jeṭlu het vadhu teṭlu kāraṇ sharīr ṭaḷe. Het ochhu hoy to kāraṇ sharīrno bhāg jāṇvo. Ekbījāmā man na maḷe, e paṇ kāraṇ sharīrno bhāg chhe. ",https://baps.box.com/shared/static/91bw2gkez5qrdjcue4gm335mhap8u1ql.mp3,Purushottam Bolya Prite 8,Benefits of Suradhbhav
Ekta | Swamini Vat 1/334,"Two people with the same inclination are equal to thousands and hundreds of thousands. Without a matched inclination, know that even if we are thousands and hundreds of thousands, we are alone.",એક રુચિવાળા બે જ હોઈએ તો હજારો ને લાખો છીએ ને તે વિના તો હજારો ને લાખો હોઈએ તો પણ એકલા જ છીએ એમ સમજવું.,Ek ruchivāḷā bej hoīe to hajāro ne lākho chhīe ne te vinā to hajāro ne lākho hoīe to paṇ eklāj chhīe em samajvu.,https://baps.box.com/shared/static/e6fs2hdr6rgaaakj0mlvjuaqn8yh8hgm.mp3,Swamini Vat 1/334,Ekta
Samp Techniques | Vachanamrut Gadhada III-7,"Therefore, just as a person is profoundly attached to their own body, one should be similarly attached to God and His Sant. One should also remain absolutely loyal to the Bhakta of God.",માટે જેમ પોતાના શરીરને વિષે જીવને આત્મબુદ્ધિ વર્તે છે તેવી ભગવાન ને ભગવાનના સંતને વિષે આત્મબુદ્ધિ રાખી જોઈએ અને ભગવાનના ભક્તનો પક્ષ દ્રઢ કરીને રાખ્યો જોઈએ.,Māṭe jem potānā sharīrne viṣhe jīvne ātmabuddhi varte chhe tevī Bhagwān ne Bhagwānnā santne viṣhe ātmabuddhi rākhī joīe ane Bhagawānnā bhaktano pakṣh draḍh karīne rākhyo joīe.,https://baps.box.com/shared/static/ymwm5a00eoylqu7pk9kd0uzkd3o7qbut.mp3,Vachanamrut Gadhada III-7,Samp Techniques
Samp Techniques | Pramukh Swami Maharaj,"Whether someone maintains unity and friendship with us or not, we must keep unity and friendship with them. To fulfill that, we must tolerate, endure difficulties for their benefit, forsake the preferences of our mind, renounce our base natures, and become compatible with them. Only then will unity and friendship survive.","સામેવાળો સંપ-સુહૃદભાવ રાખે કે ન રાખે પણ આપણે જ રાખવાનો છે. તે માટે આપણે જ ખમવું પડે, ઘસારો વેઠવો પડે, આપણા મનની વાતો મૂકી દેવી પડે, આપણા સ્વભાવ મુકવા પડે, અને એને અનુકૂળ થવું પડે. તો જ સંપ-સુહૃદભાવ રહે.","Sāmevāḷo samp-suhṛadhbhāv rākhe ke na rākhe paṇ āpṇej rākhvāno chhe. Te māṭe āpṇej khamvu paḍe, ghasāro veṭhvo paḍe, āpṇā mannī vāto mūkī devī paḍe, āpṇā swabhāv mukvā paḍe, ane ene anukūḷ thavu paḍe. Toj samp-suhṛadhbhāv rahe.",https://baps.box.com/shared/static/mwsxy2ag18c7rszgrw87rctrblizt8wt.mp3,Pramukh Swami Maharaj,Samp Techniques
Prasang,"March 29, 2017 - Dar-es-Salaam. During Swamishri’s dinner, Priyavrat Swami was explaining Subhashbhai’s virtues based on an incident that took place earlier: “Your swagat took place today. Subhashbhai was sitting in the car behind. He noticed Mahendrabhai (Barrister) walking. He actually didn’t have to walk that far, maybe about 200 meters. But Subhashbhai immediately stopped his car and took Mahendrabhai into his own car. Subhasbhai felt that ‘how can I ride in the car and have Mahendra Kaka walk.’”

Swamishri became extremely happy and commented, “Real ātmabuddhi.” But the incident does not end here.

On April 13, 2017, Swamishri was in Nairobi. Swamishri was leaving the sabha hall in the evening and was walking towards the elevator. On the way, he saw Subhashbhai and hugged him. Swamishri then explained, “When we were in Tanzania, Subhashbhai had stopped his car and made Mahendra Kaka sit inside.” 
Swamishri must have remembered this act of samp and suradhbhāv on at least 15 different occasions!  ",,,https://baps.box.com/shared/static/stpgvc3n8r36dpp1ivtn41hxy1shxbo3.mp3,Prasang,Samp Techniques
