Title (OPTIONAL),English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title
Definition of Sānkhya,"Sānkhya is like the eyes. With the eyes, everything can be seen. Dattatrey practised Sānkhya and he knew how to be happy. Therefore, if one slowly practises Sānkhya, it can be attained. So what is Sānkhya? That this world and objects of pleasure are all false (perishable); and the ātmā is real and unaffected like the sky, and is not influenced by the body, senses and inner faculties.","સાંખ્ય છે તે તો આંખ છે, ને આંખે કરીને સર્વે દેખાય. દત્તાત્રેય સાંખ્યવાળા ને સુખિયા રહેતા. માટે સાંખ્યવિચાર કરવા માંડે તો આવડે ને ધીરે ધીરે સિદ્ધ થાય. તેમાં સાંખ્ય શું જે, આ લોક, ભોગ, સર્વે ખોટું છે; ને આત્મા છે તે સત્ય છે ને આકાશ સરખો નિર્લેપ છે; ને દેહ, ઇન્દ્રિયું, અંતઃકરણ અસંગી છે.","Sānkhya chhe te to ānkh chhe, ne ānkhe karīne sarve dekhāy. Dattātrey sānkhyavāḷā ne sukhiyā rahetā. Māṭe sānkhya-vichār karvā mānḍe to āvḍe ne dhīre dhīre siddha thāy. Temā sānkhya shu je, ā lok, bhog, sarve khoṭu chhe; ne ātmā chhe te satya chhe ne ākāsh sarkho nirlep chhe; ne deh, indriyu, antahkaraṇ asangī chhe.",,Swamini Vat 1/279,Swamini Vat 1/279 - Definition of Sānkhya
Definition of Sānkhya,"(3) Everyone in Swarg-lok, Mrutyu-lok (earth), and pātāl sizzle just like grains sizzling in a heated pan under a fire.
(4) Therefore, know that happiness is nowhere but in God’s abode. Nishkulanand Swami says, “Why do you mistake (other abodes to be similar to Akshardham)? Write down my words as I have spoken.”
","જેમ કડાયામાં કણ ઊછળે છે, ઊંચા નીચા અગ્નિ જ્વાળે રે;
તેમ જ તનધારી બળે છે, સ્વર્ગ મૃત્યુ ને પાતાળે રે... ૩
     માટે સુખ નથી કિયાં માને, પ્રભુજીના પદ પખી રે;
નિષ્કુળાનંદ કે’ ભૂલે છે શાને, લે વાત આવી તું લખી રે... ૪ 
","Jem kaḍāyāmā kaṇ uchhaḷe chhe, ūnchā nīchā agni jvāḷe re;
     Tem ja tandhārī baḷe chhe, swarg mrutyu ne pātāḷe re. 3
Māṭe sukh nathī kiyā māne, Prabhujīnā pad pakhī re;
     Nishkuḷānand ke’ bhule chhe shāne, le vāt āvī tu lakhī re. 4 
",,Chosath Padi - Nishkulanand Swami,Chosath Padi - Nishkulanand Swami - Definition of Sānkhya
Benefits of Sānkhya,"One should learn how to do Sānkhya vichar. Without learning the teachings of Sānkhya, faults such as greed, lust, taste, attachment and ego, and the three miseries – due to adhyātma, adhibhut and adhidaiv – cannot be removed. Without Sānkhya, satsang is said to be only half complete. Thus, to remain happy learn the principles of Sānkhya.","સાંખ્યવિચાર કરવા શીખવો. ને સાંખ્ય વિના લોભ, કામ, સ્વાદ, સ્નેહ ને માન એ પાંચ દોષ તથા અધ્યાત્મ, અધિભૂત, ને અધિદૈવ એ ત્રણ તાપ એ સર્વેનું દુઃખ મટે નહિ. ને સાંખ્ય વિના અરધો સત્સંગ કહેવાય. માટે સુખિયા રહેવાને અર્થે સાંખ્યવિચાર શીખવો.","Sānkhya-vichār karvā shīkhvo. Ne sānkhya vinā lobh, kām, swād, sneh ne mān e pānch doṣh tathā adhyātma, adhibhūt, ne adhidaiv e traṇ tāp e sarvenu dukh maṭe nahi. Ne sānkhya vinā ardho satsang kahevāy. Māṭe sukhiyā rahevāne arthe sānkhya-vichār shīkhvo.",,Swamini Vat 1/2,Swamini Vat 1/2 - Benefits of Sānkhya
Performing Sānkhya Vichār,"There are many types of good food, good clothes and many other such sense pleasures. But, the attachment to inferior objects is not as much as for superior objects. However, as long as this jiva has desires to enjoy superior objects and is deficient in spiritual wisdom, this knowledge is not understood. So, think of the origin and end of all objects, but do not see only the middle phase. In the mid-phase there is attachment, and that is ignorance.","સારું ખાવામાં, સારાં લૂગડાંમાં એ આદિક અનેક વિષય છે, તે સર્વેમાં જેવું સારામાં બંધન છે એવું ઊતરતામાં નથી, પણ જીવને જ્યાં સુધી રાગ છે ને જ્ઞાનની કસર હોય ત્યાં સુધી આ વાત સમજાય નહિ ને પદાર્થનો વિચાર આદિ-અંત્યનો કરવો, પણ મધ્યમાં ન જોવું. મધ્યમાં તો મોહ રહ્યો છે, એ અજ્ઞાન છે.","Sāru khāvāmā, sārā lūgḍāmā e ādik anek viṣhay chhe, te sarvemā jevu sārāmā bandhan chhe evu ūtartāmā nathī, paṇ jīvne jyā sudhī rāg chhe ne gnānnī kasar hoy tyā sudhī ā vāt samjāy nahi ne padārthno vichār ādi-antyano karvo, paṇ madhyamā na jovu. Madhyamā to moh rahyo chhe, e agnān chhe.",,Swamini Vat 2/106,Swamini Vat 2/106 - Performing Sānkhya Vichār
Performing Sānkhya Vichār,"This body is made of bones, the wife’s body is of bones and even the children’s bodies are made of bones. There is no worth at all in any of them. And lime is white dust, while this other is ordinary dust. Also, the body is of dust, money is of dust, family is of dust, food is of dust and homes are of dust. Yet the jiva is still attached to them believing them to be of great value, but kāl will consume them. Therefore, worship God, otherwise everything else is of dust.","આ દેહ હાડકાંનો, સ્ત્રીનો દેહ પણ હાડકાંનો ને છોકરાંનો પણ હાડકાંનો, એમાં કાંઈયે માલ નથી. ને ચૂનો એ ધોળી ધૂડ્ય ને આ બીજી અમથી ધૂડ. દેહ ધૂડનો, રૂપિયા ધૂડના, કુટુંબી ધૂડનાં, ખાવું ધૂડનું, ખોરડાં ધૂડનાં એમ છે. ને એમાં જીવ માલ માનીને ચોંટ્યો છે. પણ કાળ ખાઈ જાશે. માટે ભગવાન ભજી લેવા, બાકી બધું ધૂડનું છે.","Ā deh hāḍkāno, strīno deh paṇ hāḍkāno ne chhokrāno paṇ hāḍkāno, emā kāīye māl nathī. Ne chūno e dhoḷī dhūḍ ne ā bījī amathī dhūḍ. Deh dhūḍno, rūpiyā dhūḍnā, kuṭumbī dhūḍnā, khāvu dhūḍnu, khorḍā dhūḍnā em chhe. Ne emā jīv māl mānīne choṭyo chhe. Paṇ kāḷ khāī jāshe. Māṭe Bhagwān bhajī levā, bākī badhu dhūḍnu chhe.",,Swamini Vat 6/191,Swamini Vat 6/191 - Performing Sānkhya Vichār
Performing Sānkhya Vichār,"It is as if the earth has been split down to Pātāl, and we begin to fill it with water - obviously, it can never be filled. Similarly, the indriyas have never become satisfied by the vishays, and they never will be. So, now, one should eradicate one’s attachment to the vishays. Furthermore, one should consider the virtues of the sādhu who speaks to one harshly and should not think ill of him. ","જેમ પાતાળ સુધી પૃથ્વી ફાટી હોય તેને પાણીએ કરીને ભરવા માંડીએ તે ક્યારેય ભરાય નહી, તેમ ઇન્દ્રિયો છે તેને ક્યારેય વિષય થકી તૃપ્તિ થઈ નથી ને થશે પણ નહીં.","Jem pātāḷ sudhī pṛuthvī fāṭī hoy tene pāṇīe karīne bharvā mānḍīe te kyārey bharāy nahī, tem indriyo chhe tene kyārey viṣhay thakī trupti thaī nathī ne thashe paṇ nahī.",,Vachanamrut Gadhada II-47,Vachanamrut Gadhada II-47 - Performing Sānkhya Vichār
Performing Sānkhya Vichār,"“If one fills many trunks with 1000 million packets of ash, locks and keeps them, and if when, someday, one needs them (to pay for something) one takes them out, will something useful come out?” Then (someone) said, “No, Maharaj.” Then Swami said, “Without the murti of God and without the Sadhu, all things upto Prakruti-Purush are packets of ash.”","સો કરોડ રાખનાં પડીકાં વાળીને પટારામાં ભરી મૂકીએ ને તાળાં દઈ રાખીએ ને જે દિવસ કાંઈક કામ પડે ને કાઢીએ તો કાંઈ સારું નીસરે?” ત્યારે કહ્યું જે, “ના, મહારાજ!” ત્યારે સ્વામી બોલ્યા જે, “મહારાજની મૂર્તિ વિના અને આવા સાધુ વિના પ્રકૃતિપુરુષ સુધી રાખનાં પડીકાં જ છે.”","So karoḍ rākhnā paḍīkā vāḷīne paṭārāmā bharī mūkīe ne tāḷā daī rākhīe ne je divas kānīk kām paḍe ne kāḍhīe to kāī sāru nīsare?” Tyāre kahyu je, “Nā, Mahārāj!” Tyāre Swāmī bolyā je, “Mahārājnī mūrti vinā ane āvā sādhu vinā prakṛuti-puruṣh sudhī rākhnā paḍīkāj chhe.",,Swamini Vat 3/28,Swamini Vat 3/28 - Performing Sānkhya Vichār
Performing Sānkhya Vichār,"Develop firm love with God. We all die leaving behind our wealth and property. No one is related to anyone at the time of death.
(1) All of the relationships of the body were acquired due to some relationship from past births. These relationships are false and a trap of māyā.
(2) You gained your wealth with an obsession that everything belongs to you. And you firmly believe that nothing - not even a slight - of your wealth belongs to anyone else.
(3) The happiness of worldly life is like a dream. That happiness can end instantly.
","કર પ્રભુ સંગાથે દૃઢ પ્રીતડી રે, મરી જાવું મેલીને ધનમાલ;
 અંતકાળે સગું નહિ કોઈનું રે... ટેક
સંસ્કારે સંબંધી સર્વે મળ્યાં રે, એ છે જૂઠી માયા કેરી જાલ... અંતકાળે ૧
મારું મારું કરીને ધન મેળવ્યું રે, તેમાં તારું નથી તલભાર... અંતકાળે ૨
સુખ સ્વપ્ના જેવું છે સંસારનું રે, તેને જાતાં ન લાગે વાર... અંતકાળે ૩
","Kar Prabhu sangāthe dradh prītḍī re,
mari jāvu melīne dhanmāl;
 Antkāḷe sagu nahi koīnu re...
Sanskāre sambandhī sarve maḷyā re,
 e chhe jūṭhī māyā kerī jāl... ant 1
Māru māru karīne dhan meḷavyu re,
 temā tāru nathī talbhār... ant 2
Sukh swapnā jevu chhe sansārnu re,
 tene jātā na lāge vār... ant 3
",,Kirtan - Devanand Swami,Kirtan - Devanand Swami
Instruction to Perform Sānkhya Vichār,"Daily, one should reflect on the impermanent nature of the world and on one’s ātmā as eternal and sachchidānand.",દરરોજ જગતના નાશવંતપણાનું અનુસંધાન કરવું અને પોતાના આત્માની નિત્યતા તથા સચ્ચિદાનંદપણાનું ચિંતવન કરવું.,Darroj jagatnā nāshvant-paṇānu anusandhān karvu ane potānā ātmānī nityatā tathā sacchidānand-paṇānu chintvan karvu.,,Satsang Diksha Shlok 151,Satsang Diksha Shlok 151 - Instruction to Perform Sānkhya Vichār
Instruction to Perform Sānkhya Vichār,"6/13/2017
Once, Param Pujya Mahant Swami Maharaj sat in a plane at 5:23 PM to travel from Ahmedabad to New Delhi. Today, thirty santo and many haribhakto were making this trip with Swamishri.
Seeing Swamishri deep in thought, Narayanmuni Swami asked him, “Shāno vichār karo chho?” (“What are you thinking about?”)
Swamishri replied, “Brahmānḍono” (“The universes”).
Narayanmuni Swami asked, “What do you mean Swami?”
Swamishri said, “Etle brahmānḍ nāshvant chhe. Chaud lokne badhu banḍal (bundle) che. Shāstriji Māhārāj, Yogiji Māhārāj, Pramukh Swāmi Māhārāj maḷyā eṭle āpṇe dhanya thayā, baki a brahmānḍma koi vastu sar nathi. Māhārāj Swāmi āvyā te brahmānḍ dhanya thai gayu.” (This brahmand is perishable. That includes all the fourteen loks (planets). Because we have attained Shastriji Maharaj, Yogiji Maharaj, and Pramukh Swami Maharaj, we are blessed. Otherwise everything in this universe is meaningless. Because Maharaj and Swami have manifested in this universe, this universe is blessed).",,,,,Prasang
