Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Sarva Avatārnā Avatāri (Cause of all Avatars) | Vachanamrut Gadhada III-38,"Moreover, this manifest form of Purushottam Bhagwān is the controller of all, including Akshar. He is the lord of all of the ishwars and the cause of all causes. He reigns supreme, and He is the cause of all of the avatārs. Moreover, He is worthy of being worshipped single-mindedly by all of you.","અને એવા જે આ પ્રત્યક્ષ પુરુષોત્તમ ભગવાન તે અક્ષરાદિક સર્વના નિયંતા છે, ઈશ્વરના પણ ઈશ્વર છે ને સર્વ કારણના પણ કારણ છે ને સર્વોપરી વર્તે છે ને સર્વ અવતારના અવતારી છે ને તમારે સર્વેને એકાંતિકભાવે કરીને ઉપાસના કરવા યોગ્ય છે. ","Ane evā je ā pratyakṣha puruṣhottam Bhagwān te akṣharādik sarvanā niyantā chhe, īshwarnā paṇ īshwar chhe ne sarva kāraṇnā paṇ kāraṇ chhe ne sarvoparī varte chhe ne sarva avatārnā avatārī chhe ne tamāre sarvene ekāntik-bhāve karīne upāsanā karvā yogya chhe.",https://baps.box.com/shared/static/5meglwa4unzdm7yw6ddjin0bkxd7za4j.mp3,Vachanamrut Gadhada III-38,Sarva Avatārnā Avatāri (Cause of all Avatars)
Sarva Avatārnā Avatāri (Cause of all Avatars) | Vachanamrut Gadhada II-9,"One should realize the manifest God that one has attained to forever possess a divine form and to be the avatāri, the cause of all of the avatārs. If, however, one does not realize this, and instead realizes God to be formless or like the other avatārs, then that is regarded as committing blasphemy against God. ", પોતાને સાક્ષાત્ મળ્યું જે ભગવાનનું સ્વરૂપ તેને સદા દિવ્ય સાકારમૂર્તિ ને સર્વ અવતારનું કારણ અવતારી એવું જાણવું. અને જો એમ ન જાણે ને નિરાકાર જાણે ને બીજા અવતાર જેવા જાણે તો એનો દ્રોહ કર્યો કહેવાય.,Potāne sākṣhāt maḷyu je Bhagwānnu swarūp tene sadā divya sākārmūrti ne sarva avtārnu kāraṇ avatārī evu jāṇvu. Ane jo em na jāṇe ne nirākār jāṇe ne bījā avatār jevā jāṇe to eno droh karyo kahevāy.,https://baps.box.com/shared/static/qbaozc4jh0a3htdk8iemcbq6g79tqisc.mp3,Vachanamrut Gadhada II-9,Sarva Avatārnā Avatāri (Cause of all Avatars)
Sarva Avatārnā Avatāri (Cause of all Avatars) | Swamini Vat 6/26,"There are countless incarnations of God, but at this time Mahārāj has manifested on this earth with thousands of incarnations with Him. However, amongst them He is Avatāri - the supreme head of all incarnations. Understand this clearly. ","ભગવાનના અવતાર તો અસંખ્ય છે. પણ આ સમે મહારાજ પ્રગટ થયા તે ભેળા હજાર ભગવાનના અવતાર થયા ને પોતે એક માંહી અવતારી થયા, એમ ચોખ્ખું સમજવું. ","Bhagwānnā avatār to asankhya chhe. Paṇ ā same Mahārāj pragaṭ thayā te bheḷā hajār Bhagwānnā avatār thayā ne pote ek māhī avatārī thayā, em chokkhu samajvu. ",https://baps.box.com/shared/static/rs5itfmvrhdq7fsf445oqnec7lcgxpc9.mp3,Swamini Vat 6/26,Sarva Avatārnā Avatāri (Cause of all Avatars)
Sarva Avatārnā Avatāri (Cause of all Avatars) | Sakhi - Nishkulanand Swami,"At the beginning, the middle and the end of creation, countless avatars have incarnated and will incarnate. But the prime cause of them all is one and only one, Swami Sahajanand. ","આદ્ય મધ્ય અંત્યે અવતાર, થયા અગણિત થાશે અપાર ॥ પણ સર્વેના કારણ જેહ, તે તો સ્વામી સહજાનંદ એહ ॥૩૨॥","Ādhya madhya antye avatār, thayā agaṇit thāshe apār ॥ Paṇ sarvenā kāraṇ jeha, te to swāmī sahajānanda eha ॥32॥",https://baps.box.com/shared/static/d67ttnl5w6l1qj1lhxub8b81jp0r72u8.mp3,Sakhi - Nishkulanand Swami,Sarva Avatārnā Avatāri (Cause of all Avatars)
"Sarva Avatārnā Avatāri (Cause of all Avatars) | Harililamrut 4/3/41, 43","Lalji asks, “How great is he? Is he like Dattatreya or Rishabhdev?
Or is he comparable to Ramachandra?”
Ramanand replies, “Please listen carefully,
Krishna is greater than all other [avatars].
He [Varni] is greater than even Krishna.
He is the ultimate avatāri of all avatars. There is no need to elaborate any further.
","કહે લાલજી તે મોટા કેવા? દત્તાત્રી કે ૠષભદેવ જેવા;
કે શું છે રામચંદ્ર સમાન? રામાનંદ કહે સુણો કાન.
જેમ કૃષ્ણ મોટા સરવેથી, તેમ આ છે મોટા વળી એથી;
આ છે અવતારના અવતારી, ઘણું શું કહિયે વિસ્તારી...
","Kahe Lālji te motā kevā? Dattātri ke Rushabhdev jevā;
Ke shu chhe Rāmchandra samān, Rāmānand kahe suṇo kān.
Jem Krushṇa motā saravethi, Tem ā chhe motā vaḷi ethi;
Ā chhe avatārnā avatāri, Ghaṇu shu kahiye vistāri...

",https://baps.box.com/shared/static/tko8px796jiup1h6fjhmoqwas608mnnx.mp3,"Harililamrut 4/3/41, 43",Sarva Avatārnā Avatāri (Cause of all Avatars)
Swāminārāyaṇ Bhagwān as Sarvopari | Vachanamrut Amdavad-7,"I went alone to the abode of Shri Purushottam Nārāyan, which transcends everything. There, I saw that it was I who was Purushottam; I did not see anyone eminent apart from Myself. ","અમે એકલા જ તે સર્વ થકી પર એવું જે શ્રીપુરુષોત્તમનું ધામ તેમાં ગયા. ત્યાં પણ હું જ પુરુષોત્તમ છું, મારા વિના બીજો મોટો કોઈ દેખ્યો નહીં. ","Ame ekalāj te sarva thakī par evu je shrī-puruṣhottamnu dhām temā gayā. Tyāa paṇ huj puruṣhottam chhu, mārā vinā bījo moṭo koī dekhyo nahī. ",https://baps.box.com/shared/static/xj3md27sh1giusbxi8vl39my3majpuu6.mp3,Vachanamrut Amdavad-7,Swāminārāyaṇ Bhagwān as Sarvopari
Swāminārāyaṇ Bhagwān as Sarvopari | Satsang Diksha Shlok 106,"Bhagwān is eternally the all-doer, with form and supreme; he always remains manifest for the moksha of mumukshus. ","ભગવાન સદાય સર્વકર્તા, સાકાર, સર્વોપરી છે અને મુમુક્ષુઓની મુક્તિ માટે હંમેશાં પ્રગટ રહે છે. ","Bhagwān sadāy sarvakartā, sākār, sarvoparī chhe ane mumukṣhuonī mukti māṭe hanmeshā pragaṭ rahe chhe. ",https://baps.box.com/shared/static/ukv8kij7o9nnfopt62sk6gy6uzjre4xc.mp3,Satsang Diksha Shlok 106,Swāminārāyaṇ Bhagwān as Sarvopari
Sarvopari Akshardhām | Chosath Padi - Nishkulanand Swami,"The ultimate divine abode is from where there is no return.
An indescribable reservoir of sublime happiness, it is beyond all.
Where, in close proximity of God, live infinite muktas; full of infinite bliss.
They live as if in the midst of oceans of utter happiness.
In comparison to Akshardham, how can the other abodes compare?
","જેહ ધામને પામીને પ્રાણી, પાછું પડવાનું નથી રે;
સર્વોપર્ય છે સુખની ખાણી, કેવું કહીએ તેને કથી રે... ૧
અનંત મુક્ત જ્યાં આનંદે ભરિયા, રહે છે પ્રભુજીની પાસ રે;
સુખ સુખ જ્યાં સુખના દરિયા, તિયાં વસી રહ્યા વાસ રે... ૨
એવા ધામની આગળ બીજાં, શી ગણતીમાં ગણાય રે
","Jeh Dhāmne pāmīne prāṇī, pāchhu paḍvānu nathī re;
Sarvoparya chhe sukhnī khāṇī, kevu kahīe tene kathī re. 1
Anant mukta jyā ānande bhariyā, rahe chhe Prabhujīnī pās re;
 Sukh sukh jyā sukhnā dariyā, tyā vasī rahyā vās re. 2
Evā Dhāmnī āgaḷ bījā, shī gaṇtīmā ganāy re;
	(Kirtan - Nishkulanand Swami)

",https://baps.box.com/shared/static/2i1y88ix74x0ecq18vv1ykvlshjwr3p3.mp3,Chosath Padi - Nishkulanand Swami,Sarvopari Akshardhām
Qualities of Sarvopari Bhagwān | Vachanamrut Amdavad-5,No one except Shri Purushottam Nārāyan can control the nādis and prāns of innumerable beings and grant them instant samādhi. Nor can anyone else influence hundreds of thousands of people by having them abide by niyams. Nor does anyone else have the power to control Akshar and the muktas. These are the extraordinary characteristics of Purushottam Nārāyan. ,અનેક જીવનાં પ્રાણ-નાડીને સંકેલો કરીને જે તત્કાળ સમાધિ કરાવવી તે બીજાથી થાય નહીં ને લક્ષાવધિ મનુષ્ય નિયમમાં રહ્યાં થકાં વશ વર્તે તે બીજા કોઈથી થાય નહીં અને અક્ષરાદિક જે મુક્ત તેને પણ નિયમમાં રાખવાને સમર્થપણું તે પણ બીજામાં હોય નહીં. એવી રીતે પુરુષોત્તમ નારાયણનું અસાધારણ લક્ષણ છે.,Anek jīvnā prāṇ-nāḍīne sankelo karīne je tatkāḷ samādhi karāvavī te bījāthī thāy nahī ne lakṣhāvadhi manuṣhya niyamma rahyā thakā vash varte te bījā koīthī thāy nahī ane akṣharādik je mukta tene paṇ niyammā rākhvāne samarthpaṇu te paṇ bījāmān hoy nahī. Evī rīte puruṣhottam nārāyaṇnu asādhāraṇ lakṣhaṇ chhe. ,https://baps.box.com/shared/static/8eqkdcx3l849fcf70k1a28e6h8nvretq.mp3,Vachanamrut Amdavad-5,Qualities of Sarvopari Bhagwān
Prasang,"Maharaj revealed his supremacy that he is Purushottam first to Nityanand Swami. When the Satsangijivan was being written, the topic of upāsanā was brought up for discussion. In the scripture, [Maharaj] was referred to as Shri Krishna. Nityanand Swami said, “How can a king be referred to as a servant? One cannot.” For seven days, the argument ensued. Even Maharaj went against Nityanand Swami and said, “That is how it should be written. What do you know?” No matter how much Maharaj rebuked him, Nityanand Swami would not budge (in proclaiming Maharaj as Purushottam) and said, “Compare the divine incidents. Did the other avatārs perform divine incidents equal to Maharaj?” They even excommunicated Nityanand Swami and Maharaj sided with the other sadhus, but Nityanand Swami did not give up his conviction. Finally, Maharaj said, “This sadhu knows the secret (of my supremacy).” Maharaj garlanded Nityanand Swami.",,,https://baps.box.com/shared/static/zavuvh0zp1c59hm40d74rqrjylfgnj8v.mp3,,Qualities of Sarvopari Bhagwān
