Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Qualities of the Satpurush | Swamini Vat 2/91,"Nobody except the God-realized Sadhu (Aksharbrahman Guru) knows how to shower true affection on the jiva, or soul. And others give affection that nourishes the senses, which has adverse effects.","એકાંતિક સાધુ વિના બીજા કોઈને જીવનું સાચું હેત કરતાં આવડે નહિ; ને બીજા તો હેત કરે તે ઇન્દ્રિયુંનું પોષણ કરે, તેમાં તો મૂળગું અવળું થાય."," Ekāntik Sādhu vinā bījā koīne jīvnu sāchu het kartā āvaḍe nahi; ne bījā to het kare te indriyunu poṣhaṇ kare, temā to mūḷgu avḷu thāy.",https://baps.box.com/shared/static/ryxp4sqyysdl3pji2ffc6ign73r8t3l6.mp3,Swamini Vat 2/91,Qualities of the Satpurush
Qualities of the Satpurush | Kirtan - Sant param hitkārī - Brahmanand Swami,"In this world, the Sant is the greatest benefactor who only wishes the best for you in his heart.
He encourages one to develop affection for the manifest form of God (pragat). He eradicates infatuation that we have developed in this world. (1)
He is extremely compassionate toward all jivas. He is equivalent to God in terms of destroying all forms of one’s miseries. (2)
He behaves above the influence of the three gunas and has no attachment to his body. His ways are not found in this world. (3)
Brahmanand Swami says that by associating with the Sant, one finds the manifest form of God. (4)","સંત પરમ હિતકારી, જગત માંહી... ꠶ટેક
પ્રભુપદ પ્રગટ કરાવત પ્રીતિ, ભરમ મિટાવત ભારી... જગત꠶ ૧
પરમકૃપાલુ સકલ જીવન પર, હરિસમ સબ દુઃખહારી... જગત꠶ ૨
ત્રિગુણાતીત ફિરત તનુ ત્યાગી, રીત જગતસે ન્યારી... જગત꠶ ૩
બ્રહ્માનંદ કહે સંતકી સોબત, મિલત હૈ પ્રગટ મોરારી... જગત꠶ ૪","Sant param hitkārī, jagat māhi...
Prabhupad pragaṭ karāvat prīti, bharam mīṭāvat bhārī... jagat 1
Paramkrupālu sakal jīvan par, harisam sab dukhhārī... jagat 2
Triguṇātīt fīrat tanu tyāgī, rīt jagatse nyārī... jagat 3
Brahmānand kahe santkī sobat, milat hai pragaṭ Murārī... jagat 4",https://baps.box.com/shared/static/ixeqpmvpiwru9kad1sbb4qzayksccnue.mp3,Kirtan - Sant param hitkārī - Brahmanand Swami,Qualities of the Satpurush
Satpurush as the Means to Moksha | Vachanamrut Gadhada I-54,"Bhāgwat dharma is upheld by maintaining profound love towards the  Ekāntik Sant of God, who possesses the attributes of swadharma,  gnān, vairāgya, and bhakti coupled with the knowledge of God's  greatness. Maintaining profound love towards such a Sant also opens the gateway to liberation.’","સ્વધર્મ, જ્ઞાન, વૈરાગ્ય અને માહાત્મ્યજ્ઞાન તેણે સહિત જે ભગવાનની ભક્તિ તેણે યુક્ત એવા જે ભગવાનના એકાંતિક સાધુ તેના પ્રસંગ થકી ભાગવત ધર્મનું પોષણ થાય છે અને વળી જીવને મોક્ષનું જે દ્વાર તે પણ એવા સાધુના પ્રસંગ થકી ઉઘાડું થાય છે. ","Swadharma, gnān, vairāgya ane māhātmya-gnān teṇe sahit je Bhagwānnī bhakti teṇe yukta evā je Bhagwānnā Ekāntik Sādhu tenā prasang thakī Bhāgwat Dharmanu poṣhaṇ thāy chhe ane vaḷī jīvne mokṣhanu je dwār te paṇ evā Sādhunā prasang thakī ughāḍu thāy chhe.",https://baps.box.com/shared/static/wsul1u9rzugb8ms77jdihig69rbg9p66.mp3,Vachanamrut Gadhada I-54,Satpurush as the Means to Moksha
"Satpurush as the Means to Moksha | Bhaktachintamani, Prakaran 2","It is through the grace of the Sant one attains happiness, one’s wishes  are fulfilled and one attains the abode [Akshardham] of Purna Purushottam.
It is through the grace of the Sant one attains pious thoughts, good virtues are inspired; for without the Sant, who has achieved sādhutā [saintliness]?","સંત કૃપાએ સુખ ઊપજે, સંત કૃપાથી સરે કામ;
સંત કૃપાથી પામીએ, પૂરણ પુરુષોત્તમ ધામ. ૨
સંત કૃપાએ સદ્‍મતિ જાગે, સંત કૃપાથી સદ્‍ગુણ;
સંત કૃપા વિના સાધુતા, કહોને પામ્યા કુણ. ૩","Sant krupāe sukh upaje, Sant krupāthi sare kām
Sant krupāthi pāmiye, Puran Purushottam dhām

Sant krupāthi sadmati jāge, Sant krupāthi sadgun
Sant krupā vinā sādhutā, Kahone pāmyā kun",https://baps.box.com/shared/static/xe2qm76ursfffgeoa96afcsoh9lr3e7k.mp3,"Bhaktachintamani, Prakaran 2",Satpurush as the Means to Moksha
Satpurush as the Means to Moksha | Vachanamrut Gadhada II-59,"In the four Vedas, the Purāns and the Itihās scriptures, there is but one  central principle, and that is that only God and His Sant can grant  liberation. In fact, God's Sant is greater than even Bhava, Brahmā, and  the other deities. So, when one attains God or His Sant, then, apart  from this, there is no other liberation for the soul; this itself is ultimate liberation.","ચાર વેદ, પુરાણ, ઇતિહાસ એ સર્વેમાં એ જ વાર્તા છે જે, ‘ભગવાન ને ભગવાનના સંત એ જ કલ્યાણકારી છે.’ અને ભગવાનના જે સાધુ છે તે તો ભવ-બ્રહ્માદિક દેવ થકી પણ અધિક છે. તે ભગવાન કે ભગવાનના સંતની જ્યારે પ્રાપ્તિ થઈ ત્યારે એ જીવને એથી ઉપરાંત બીજું કોઈ કલ્યાણ નથી, એ જ પરમ કલ્યાણ છે. ","Chār Ved, Purāṇ, ane Itihās e sarvemā ej vārtā chhe je, ‘Bhagwān ne Bhagwānnā sant ej kalyāṇkārī chhe.’ Ane Bhagwānnā je sādhu chhe te to Bhav-Brahmādik dev thakī paṇ adhik chhe. Te Bhagwān ke Bhagwānnā santnī jyāre prāpti thaī tyāre e jīvne ethī uprānt bīju koī kalyāṇ nathī, ej param kalyāṇ chhe. ",https://baps.box.com/shared/static/ja67tgn4s4pdrsn9dx86lpdfvgp54v3t.mp3,Vachanamrut Gadhada II-59,Satpurush as the Means to Moksha
Satpurush as the Means to Moksha | Swamini Vat 1/30,Remembering this Sadhu (Aksharbrahman Guru) in the mind destroys the sins of the mind; listening to his talks destroys the sins of the ears; and engaging in his darshan destroys the sins of the eyes. Understand his glory in this way.,"આવા સાધુને મનમાં સંભારીએ તો મનનાં પાપ બળી જાય ને વાતું સાંભળીએ તો કાનનાં પાપ બળી જાય ને દર્શન કરીએ તો આંખનાં પાપ બળી જાય, એમ મહિમા જાણવો.","Āvā Sādhune manmā sambhārīe to mannā pāp baḷī jāy ne vātu sāmbhaḷīe to kānnā pāp baḷī jāy ne darshan karīe to ānkhnā pāp baḷī jāy, em mahimā jāṇvo.",https://baps.box.com/shared/static/yv8dav6y06kmunoaucja5p59jswmxzqg.mp3,Swamini Vat 1/30,Satpurush as the Means to Moksha
Satpurush as the present form of Bhagwān | ,"In the Sampraday’s tradition of gurus that began with Gunatitanand Swami, only the present form of Aksharbrahman is our guru.",સંપ્રદાયમાં ગુણાતીતાનંદ સ્વામીથી આરંભાયેલ ગુરુપરંપરામાં આવેલ પ્રગટ અક્ષરબ્રહ્મ એ એક જ આપણા ગુરુ છે.,Sampradāymā Guṇātītānand Swāmīthī ārambhāyel guru-paramparāmā āvel pragaṭ Akṣharbrahma e ekaj āpṇā guru chhe.,https://baps.box.com/shared/static/rvxme428pydd4eo6k7i4szei3o2w1glc.mp3,,Satpurush as the present form of Bhagwān
Satpurush as the present form of Bhagwān | Vachanamrut Gadhada I-27,"Since it is God who sees through his eyes, he empowers the eyes of all of the beings in the universe; and since it is God who walks through his legs, he is also capable of endowing the strength of walking to all the legs of all beings in the universe. Thus, since it is God who resides in all of the indriyas of such a Sant, that Sant is able to empower the indriyas of all beings in the universe. Therefore, such a Sant is the sustainer of the world.","એનાં નેત્રમાં ભગવાન જોનારા છે તે માટે બ્રહ્માંડમાં જેટલાં જીવપ્રાણી છે તેનાં નેત્રને પ્રકાશ કરવાને સમર્થ થાય છે, અને એના પગમાં ચાલનારા ભગવાન છે તે માટે બ્રહ્માંડમાં સર્વ જીવના પગને વિષે ચાલવાની શક્તિને પોષણ કરવાને એ સમર્થ થાય છે; એમ એ સંતની સર્વે ઇન્દ્રિયોમાં ભગવાન રહ્યા છે, તે માટે એ સંત તો બ્રહ્માંડમાં સર્વે જીવોનાં ઇન્દ્રિયોને પ્રકાશ કરવાને સમર્થ થાય છે. માટે એ સંત તો સર્વ જગતના આધારરૂપ છે","Enā netramā Bhagwān jonārā chhe te māṭe brahmānḍmā jeṭlā jīv-prāṇī chhe tenā netrane prakāsh karvāne samarth thāy chhe, ane enā pagmā chālnārā Bhagwān chhe te māṭe brahmānḍmā sarva jīvnā pagne viṣhe chālvānī shaktine poṣhaṇ karvāne e samarth thāy chhe; em e Santnī sarve indriyomā Bhagwān rahyā chhe, te māṭe e Sant to brahmānḍmā sarve jīvonā indriyone prakāsh karvāne samarth thāy chhe. Māṭe e Sant to sarva jagatnā ādhārrūp chhe",https://baps.box.com/shared/static/z08jiocsgyhht3ivj3r8gevwxbgi32nr.mp3,Vachanamrut Gadhada I-27,Satpurush as the present form of Bhagwān
Satpurush as the present form of Bhagwān | Vachanamrut Sarangpur-10,"When one has the darshan of such a Sant, one should realize, ‘I have had the darshan of God Himself.’","એવા સંતનું દર્શન થયું ત્યારે એમ જાણવું જે, ‘મને સાક્ષાત્કાર ભગવાનનું દર્શન થયું.'","Evā santnu darshan thayu tyāre em jāṇvu je, ‘Mane sākshātkār Bhagwānnu darshan thayu.'",https://baps.box.com/shared/static/c83soi78ng5ctuay6bgc8v5yvwd4l008.mp3,Vachanamrut Sarangpur-10,Satpurush as the present form of Bhagwān
Prasang,"8/25/17, Robbinsville
While inviting Mahant Swami Maharaj to the evening Kishore-Kishori Din sabha, the Kishores asked Swamishri after morning Puja, ""Swāmibāpā, āpnu Sāchu Swarup shu chhe? (Swami Bapa what is your true identity?)
Swamishri responded by writing, ""Param Ekāntik Sādhu""
The evening Kishore-Kishori Din sabha, was about a kishores’ internal battle, between Manji kaka (the mind) and Jivā kaka (the soul). Later that evening Pujya Anantmangaldas Swami asked Swamishri, “Swamishri, you are not Jiva kākā and you are definitely not Manji kākā, so who are you?”
Then Swamishri revealed, “Hu kāl-māyāthi par chhu (I am above time and maya).” Everyone was ecstatic to hear Swamishri revealing such mahima and all applauded. Anantmangaldas Swami again asked, “Can you grace us once again with what you said, so that everyone will forever remember this moment... Please grace us by telling us who you are?”
Swamishri said, ‘Hu kāl-karma-māyāthi par chhu (I am above time, karma and maya).” Such revelations allow us to appreciate the Satpurush’s mahima as the Param Ekantik Sant who is Aksharbrahma and above maya.",,,https://baps.box.com/shared/static/vzrsvyejjsumgte8odpj47z7ek0ti3d7.mp3,Prasang,Satpurush as the present form of Bhagwān
