Title (OPTIONAL),English Content,Gujurati Content,Transliteration Content,Gujarati Audio URL,Value,Sanskrit Content,Sanskrit Audio URL,Tier (Satsang Diksha Only)
Shloka 1,"May Swaminarayan Bhagwan, who is Akshar-Purushottam Maharaj himself, bestow ultimate peace, bliss and happiness on all.","સ્વામિનારાયણ ભગવાન એટલે કે સાક્ષાત્ અક્ષરપુરુષોત્તમ મહારાજ સર્વને પરમ શાંતિ, આનંદ અને સુખ અર્પે. ","Swāminārāyaṇ Bhagwān eṭale ke sākṣhāt Akṣhar-Puruṣhottam Mahārāj sarvane param shānti, ānand ane sukh arpe.",https://baps.box.com/shared/static/68u8jj15fdhlrsiqqi6b0kph5jvcwdnh.mp3,1,"Swāminārāyaṇah sākṣhād Akṣhara-Puruṣhottamah ।
Sarvebhyah paramām shāntim ānandam sukham arpayet ॥1॥",https://baps.box.com/shared/static/lfisu4y42y4xkrydws9wrb4qm8ub865t.mp3,shastri
Shloka 2,"This body is a means for moksha, not merely a means for indulgence [in sense pleasures]. Rare and perishable, this body is not repeatedly attained.","આ દેહ મુક્તિનું સાધન છે, કેવળ ભોગનું સાધન નથી. દુર્લભ અને નાશવંત એવો આ દેહ વારંવાર મળતો નથી.","Ā deh muktinu sādhan chhe, kevaḷ bhognu sādhan nathī. Durlabh ane nāshvant evo ā deh vāramvār maḷato nathī.",https://baps.box.com/shared/static/7s0ew9g8w8y0zpvipmfguzmw9f1b6la5.mp3,1,"Deho’yam sādhanam mukter na bhoga-mātra-sādhanam ।
Durlabho nashvarash-chā’yam vāram-vāram na labhyate ॥2॥",https://baps.box.com/shared/static/ady6q90qghpgamde4qkkk1w5qqvwkge2.mp3,shastri
Shloka 3,Personal and family activities are [only] for the sustenance of the body. They are not the ultimate objective of this human birth.,લૌકિક વ્યવહાર તો દેહના નિર્વાહ માટે છે. તે આ મનુષ્ય જન્મનું પરમ લક્ષ્ય નથી.,Laukik vyavahār to dehnā nirvāh māṭe chhe. Te ā manuṣhya janmanu param lakṣhya nathī.,https://baps.box.com/shared/static/lse4996i30lotoy67smklv0szny2t0iv.mp3,1,"Laukiko vyavahāras-tu deha-nirvāha-hetukah ।
Naiva sa paramam lakṣhyam asya manuṣhya-janmanaha ॥3॥",https://baps.box.com/shared/static/33i7fjngvsqn3hj32ix5v2quf8ez33w8.mp3,shastri
Shloka 4-5,"This body has been received to eradicate all flaws, attain the brāhmic state and offer devotion to Bhagwan.
All this is certainly attained by practising satsang. Therefore, mumukshus should always practise satsang.","સર્વ દોષોને ટાળવા, બ્રહ્મસ્થિતિને પામવા અને ભગવાનની ભક્તિ કરવા આ દેહ મળ્યો છે. 
આ બધું સત્સંગ કરવાથી અવશ્ય પ્રાપ્ત થાય છે. આથી મુમુક્ષુઓએ સદાય સત્સંગ કરવો.","Sarva doṣhone ṭāḷavā, brahma-sthitine pāmavā ane Bhagwānnī bhakti karavā ā deh maḷyo chhe. Ā badhu satsang karavāthī avashya prāpta thāya chhe. Āthī mumukṣhuoe sadāya satsang karavo.",https://baps.box.com/shared/static/6a60kjhtrfhv7d718z208hna9m6h3c2y.mp3,2,"Nāshāya sarva-doṣhāṇām brahma-sthiter avāptaye ।
Kartum Bhagavato bhaktim asya dehasya lambhanam ॥4॥
Sarvam idam hi satsangāl-labhyate nishchitam janaihi ।
Atah sadaiva satsangah karaṇīyo mumukṣhubhihi ॥5॥",https://baps.box.com/shared/static/0o5mlbuebtg8bxzl6gx00mnfsg5i85kn.mp3,shastri
Shloka 6,"For this reason, Parabrahman Swaminarayan himself manifested in this world and established this divine Satsang.",તેથી પરબ્રહ્મ સ્વામિનારાયણે આ લોકમાં સાક્ષાત્ અવતરીને આ દિવ્ય સત્સંગની સ્થાપના કરી.,Tethī Parabrahma Swāminārāyaṇe ā lokmā sākṣhāt avatarīne ā divya satsangnī sthāpanā karī.,https://baps.box.com/shared/static/5nzfz03jn1nlv9yqq9updr9h869la8d5.mp3,1,"Satsangah sthāpitas-tasmād divyo’yam parabrahmaṇā ।
Svāminārāyaṇeneha sākṣhād evā’vatīrya cha ॥6॥",https://baps.box.com/shared/static/dvzbs1jy85i0fzavcpx8dy4fnuese88t.mp3,shastri
Shloka 7,The shastra titled ‘Satsang Diksha’ has been composed with the pure intent that mumukshus acquire the knowledge of this satsang. ,આ સત્સંગનું જ્ઞાન મુમુક્ષુઓને થાય એવા શુભ આશયથી ‘સત્સંગદીક્ષા’ એ નામનું શાસ્ત્ર રચવામાં આવે છે.,Ā satsangnu gnān mumukṣhuone thāya evā shubh āshayathī ‘Satsang-Dīkṣhā’ e nāmnu shāstra rachavāmā āve chhe.,https://baps.box.com/shared/static/6yz2cvy3caygx1dnrx3sfek011crtb0n.mp3,1,"Satsangasyā’sya vignānam mumukṣhūṇām bhaved iti ।
Shāstram Satsanga-Dīkṣheti shubhā’shayād virachyate ॥7॥",https://baps.box.com/shared/static/3518do0ix33hfevz5r77gf5qqvghuj4e.mp3,shastri
Shloka 8-9,"One should know that the true meaning of satsang is to associate with the ātmā, which is true; to associate with Paramatma, who is true; to associate with the guru, who is true; and to associate with true shastras. One who practises this divine satsang becomes blissful. ","સત્ય એવા આત્માનો સંગ કરવો, સત્ય એવા પરમાત્માનો સંગ કરવો, સત્ય એવા ગુરુનો સંગ કરવો અને સચ્છાસ્ત્રનો સંગ કરવો એ સત્સંગનું સાચું લક્ષણ જાણવું. આવો દિવ્ય સત્સંગ કરનાર મનુષ્ય સુખી થાય છે.","Satya evā ātmāno sang karavo, satya evā Paramātmāno sang karavo, satya evā guruno sang karavo ane sachchhāstrano sang karavo e satsangnu sāchu lakṣhaṇ jāṇavu. Āvo divya satsang karanār manuṣhya sukhī thāy chhe.",https://baps.box.com/shared/static/ta21cgjorrwvkmjdip6g0e8ryxq9fpkg.mp3,2,"Satyasya svātmanah sangah satyasya Paramātmanah ।
Satyasya cha guroh sangah sach-chhāstrāṇām tathaiva cha ॥8॥
Vignātavyam idam satyam satsangasya hi lakṣhaṇam ।
Kurvan-nevam vidham divyam satsangam syāt sukhī janaha ॥9॥",https://baps.box.com/shared/static/fbs5mdp5t3pe6n3z1acgc1eslbx7f4mc.mp3,shastri
Shloka 10,"‘Diksha’ means firm resolve, unwavering conviction coupled with faith, absolute dedication, loving faith, observances, and firm refuge.","દીક્ષા એટલે દૃઢ સંકલ્પ, શ્રદ્ધાએ સહિત એવો અચળ નિશ્ચય, સમ્યક્ સમર્પણ, પ્રીતિપૂર્વક નિષ્ઠા, વ્રત અને દૃઢ આશરો.","Dīkṣhā eṭale dṛuḍh sankalp, shraddhāe sahit evo achaḷ nishchay, samyak samarpaṇ, prīti-pūrvak niṣhṭhā, vrat ane dṛuḍh āsharo.",https://baps.box.com/shared/static/xq74h8m3i97m1irb3fe283mkiw1ejoo7.mp3,1,"Dīkṣheti dṛaḍha-sankalpah sa-shraddham nishchayo’chalaha ।
Samyak samarpaṇam prītyā niṣhṭhā vratam dṛaḍhāshrayaha ॥10॥",https://baps.box.com/shared/static/dwulo7mk6vyn5v4uchbxdh5ur2lxig07.mp3,shastri
Shloka 11,The methods of āgnā and upāsanā revealed by Parabrahman Sahajanand Paramatma are clearly expressed in this shastra.,આ શાસ્ત્રમાં પરબ્રહ્મ સહજાનંદ પરમાત્માએ દર્શાવેલ આજ્ઞા તથા ઉપાસનાની પદ્ધતિને સ્પષ્ટ રીતે જણાવી છે.,Ā shāstramā Parabrahma Sahajānand Paramātmāe darshāvel āgnā tathā upāsanānī paddhatine spaṣhṭa rīte jaṇāvī chhe.,https://baps.box.com/shared/static/bvj56b2b2jv68sb7fhxvfc17w9b2mt2l.mp3,1,"Shāstre’smin gnāpitā spaṣhṭam āgnopāsana-paddhatihi ।
Paramātma-Parabrahma-Sahajānanda-darshitā ॥11॥",https://baps.box.com/shared/static/k25z1oh8er3jumsnk5tbymj1cyfhlc91.mp3,shastri
Shloka 12,"All males and females are entitled to satsang, all are entitled to happiness and all are entitled to brahmavidyā. ","પુરુષો તથા સ્ત્રીઓ સર્વે સત્સંગના અધિકારી છે, સર્વે સુખના અધિકારી છે અને સર્વે બ્રહ્મવિદ્યાના અધિકારી છે.","Puruṣho tathā strīo sarve satsangnā adhikārī chhe, sarve sukhnā adhikārī chhe ane sarve brahma-vidyānā adhikārī chhe.",https://baps.box.com/shared/static/cqgjuzjhaccfzpxknz4zluotud8ztrkr.mp3,1,"Satsangā’dhikṛutah sarve sarve sukhā’dhi-kāriṇaha ।
Sarve’rhā brahmavidyāyām nāryash-chaiva narās-tathā ॥12॥",https://baps.box.com/shared/static/dlcpolr2zbua2rcp8hcjs81h7kzx9i98.mp3,shastri
