Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Swamini Vat 5/344 | Sevā of Bhagwān and Bhakta,There is worth only in the service of God and his devotees. ,ભગવાન ને ભગવાનના ભક્તની સેવા એ બેમાં જ માલ છે.,Bhagwān ne Bhagwānnā bhaktanī sevā e bemāj māl chhe,https://baps.box.com/shared/static/scul4vc5fkeuxmez0db02l7zvig0qund.mp3,Swamini Vat 5/344,Sevā of Bhagwān and Bhakta
Vachanamrut Gadhada II-25 | Benefits of Sevā,"Just as Ukā Khāchar has become addicted to serving the sādhus, in the same way, if one becomes addicted to serving God and His Sant to the extent that one would not be able to stay for even a moment without serving them, then all of the impure desires in one's antahkaran will be destroyed. ","જેવું ઉકાખાચરને સંતની સેવા કર્યાનું વ્યસન પડ્યું છે તેવી રીતે ભગવાન તથા ભગવાનના સંત તેની સેવા કર્યાનું જેને વ્યસન પડે ને તે વિના એક ક્ષણમાત્ર પણ રહેવાય નહીં, તો એના અંતઃકરણની જે મલિન વાસના તે સર્વે નાશ પામી જાય છે ","Jevu Ukā-Khācharne santnī sevā karyānu vyasan paḍyu chhe tevī rīte Bhagwān tathā Bhagwānnā sant tenī sevā karyānu jene vyasan paḍe ne te vinā ek kṣhaṇmātra paṇ rahevāy nahī, to enā antahkaraṇnī je malin vāsanā te sarve nāsh pāmī jāy chhe. ",https://baps.box.com/shared/static/cyv1nve6ra6svuwpcnc2xashk1i2c4a5.mp3,Vachanamrut Gadhada II-25,Benefits of Sevā
Vachanamrut Gadhada II-28 | Benefits of Sevā,I become extremely pleased with one who menially serves the devotees of God. , જે ભગવાનના ભક્તની સેવા-ચાકરી કરે તે ઉપર તો અમારે અતિશય રાજીપો થઈ જાય છે.,je Bhagwānnā bhaktanī sevā-chākarī kare te upar to amāre atishay rājīpo thaī jāy chhe. ,https://baps.box.com/shared/static/7qlzavw07arxxvmvagdkr446uvn6exth.mp3,Vachanamrut Gadhada II-28,Benefits of Sevā
Vachanamrut Gadhada I-55 | Benefits of Sevā,"If a person serves the great Purush (Satpurush) diligently, his sins will be burnt and reduced to ashes. ",જો મોટાપુરુષની સેવામાં ખબડદાર થઈને રહે તો એનાં પાપ બળીને ભસ્મ થઈ જાય.,Jo moṭā puruṣhnī sevāmā khabaḍdār thaīne rahe to enā pāp baḷīne bhaṣhma thaī jāy. ,https://baps.box.com/shared/static/2kb7orj5y4sp75iyo3a9tjb9tgy1bq1p.mp3,Vachanamrut Gadhada I-55,Benefits of Sevā
Purushottam Bolyā Prite 10 | Benefits of Sevā,"The more one believes oneself to be greatly fortunate in attaining the seva of Bhagwān and the Sant, the more one attains the fruits [of that seva] and the more one experiences joy. ","ભગવાન અને ભગવાનના સંતની સેવામાં પોતાનું મોટુ ભાગ્ય માને તેટલુ તેને ફળ મળે છે, સુખ થાય છે ","Bhagwān ane Bhagwānnā Santni sevāmā potānu moṭu bhāgya māne teṭlu tene faḷ maḷe che, sukh thāy che. ",https://baps.box.com/shared/static/h8xg5vwzidb43l8sc7r4fdwc5x9faoda.mp3,Purushottam Bolyā Prite 10,Benefits of Sevā
Satsang Diksha Shlok 122 | How to do Sevā,"One should serve Bhagwān and his devotees with pure intentions, believing it to be one’s great fortune and with the goal of attaining one’s moksha.","ભગવાન અને ભક્તોની સેવા શુદ્ધભાવે, મારાં મોટાં ભાગ્ય છે એમ માનીને પોતાના મોક્ષ માટે કરવી. ","Bhagwān ane bhaktonī sevā shuddhabhāve, mārā moṭā bhāgya chhe em mānīne potānā mokṣha māṭe karvī. ",https://baps.box.com/shared/static/nu0c3qmh9upsgd9eioqjmmsww47uo5k2.mp3,Satsang Diksha Shlok 122,How to do Sevā
Swamini Vat 6/241 | How to do Sevā,"Serve the great Sadhu with this body. And if this body is completely sacrificed in seva, [the Satpurush] will become happy. But do not serve halfheartedly, as described in ‘Martī martī kān halāve.",મોટા સાધુ હોય તેની આ દેહે કરીને સેવા કરવી ને ચકચૂર કરી દે તો રાજી થઈ જાય. તે ચકચૂર કરે તે પણ ‘મરતી મરતી કાન હલાવે’ એમ નહીં.,Moṭā Sādhu hoy tenī ā dehe karīne sevā karvī ne chakchūr karī de to rājī thaī jāy. Te chakchūr kare te paṇ ‘Martī martī kān halāve’ em nahī.,https://baps.box.com/shared/static/copg6c1uvjj1xsaxct25ywb0cruszqyk.mp3,Swamini Vat 6/241,How to do Sevā
Kirtan- Muktanand Swami | How to do Sevā,"Remain as the servant of God. If you attain a low seva, consider it your great fortune.
Bhav (Shiva), Brahmā, and others certainly cannot find a place to sit near God. "," દાસી થઈ રહેજે તું દીનદયાળની,
નીચી ટેલ મળે તો માને ભાગ્ય જો;
ભવબ્રહ્માદિકને નિશ્ચે મળતી નથી,
પુરુષોત્તમ પાસે બેઠાની જાગ્ય જો
","Dāsī thaī raheje tu Dīndayāḷnī,
Nīchī ṭel maḷe to māne bhāgya jo;
Bhav-Brahmādikne nishche maḷtī nathī,
 Purushottam pāse beṭhānī jāgya jo... sāmbhaḷ 2
",https://baps.box.com/shared/static/gumfjgd98eajk67r6zpoq475wc4y02wo.mp3,Kirtan- Muktanand Swami,How to do Sevā
Yogi Vani 13 | How to do Sevā,"Do seva in a way that no one finds out, but not for show. That is called hidden donation. Through that, one attains great strength, is illuminated from the inside, and attains peace. ","સેવા કરવી તે કોઈ ન જાણે તેમ કરવી, દેખાવ ન કરવો, તે ગુપ્તદાન કહેવાય, તે અતિ બળને પમાડે, અંતરમાં પ્રકાશ થઈ જાય, શાંતિ થઈ જાય ","Sevā karvi te koi na jāṇe tem karvi, dekhāv na karvo, te guptadān kahevāy, te ati baḷne pamāḍe, antarmā prakāsh thai jāy, shānti thai jāy",https://baps.box.com/shared/static/83lbjvaaryngvtx4ryiki92y4szugh75.wav,Yogi Vani 13,How to do Sevā
Prasang,"Mumbai - September 15, 2016
Swamishri arrived at the bhojan hall in the evening. Anandjivan Swami remembered a prasang: “Across the road of the old Sankari Mandir, there is a small shop. Many years ago, a shibir was to take place on the farm behind this shop. When Mahant Swami Maharaj arrived at the farm, he noticed that there was an area in which many used datan sticks from the local villagers were scattered all across the grounds. It seemed as though this had been a dumping ground for these used sticks for many years. Swamishri instantly took on the seva of cleaning them up. He found a bucket and then began to pick up the datan sticks. Seeing this, the santo all ran to do the seva. The santo tried to stop Swamishri. But Swamishri said, “Nā. Tamey karo ane amey kariye” (“No, let's do it together) Swamishri did the seva until all the datan sticks had been picked up. ",,,https://baps.box.com/shared/static/tdaeh5xwzgiff2jxs4eclnckqqwaovbn.mp3,,How to do Sevā
