Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
"Vachanamrut Loya-2 | Benefits of Courage
","
These four types of devotees do not fear death, and they feel fulfilled while still alive: first, one who has faith; second, one with gnān; third, one with courage; and fourth, one with affection. ","એક તો વિશ્વાસી, બીજો જ્ઞાની, ત્રીજો શૂરવીર, ચોથો પ્રીતિવાળો, એ ચાર પ્રકારના જે ભક્ત તેને તો મૃત્યુનો ભય નથી રહેતો અને દેહ છતે કૃતાર્થપણું મનાય છે. ","Ek to vishvāsī, bījo gnānī, trījo shūrvīr, chotho prītivāḷo, e chār prakārnā je bhakta tene to mṛutyuno bhay nathī raheto ane deh chhate kṛutārthapaṇu manāy chhe. ",https://baps.box.com/shared/static/ua6nudzrsqpost8v9drptgp780iejc1o.mp3,Vachanamrut Loya-2,"Benefits of Courage
"
" Swamini Vat 2/52 | Benefits of Courage
","In illness, one who becomes cowardly is not relieved of misery. And Maharaj liked those who kept courage at such times.","મંદવાડ આવે તેમાં જે કાયર થઈ જાય તેણે કરીને દુઃખ તો મટે નહિ ને તેમાં જે હિંમત રાખતા તે મહારાજને ગમતું (સ્વામીની વાત ૨/૫૨)",Mandvāḍ āve temā je kāyar thaī jāy teṇe karīne dukh to maṭe nahi ne temā je hinmat rākhtā te mahārājne gamtu. ,https://baps.box.com/shared/static/tbel5caoed529nwn5b1646qmmsfqmq7p.mp3, Swamini Vat 2/52,"Benefits of Courage
"
"Yogi Vani 274/85 | Benefits of Courage
",Be so brave that your senses and mind do not stray from the path of satsang.,શૂરવીર થાવું જેથી ઇન્દ્રિયું અંતઃકરણ થર થર કંપતા ફરે ને ખોટો ઘાટ પણ ન થાય.,Shūrvīr thāvu jethī indriyu antahkaraṇ thar thar kamptā fare ne khoṭo ghāṭ paṇ na thāy.,https://baps.box.com/shared/static/lb4k0zous6uzfw5cyj4edoc5z9ecz8xz.mp3,Yogi Vani 274/85,"Benefits of Courage
"
" Satsang Diksha Shlok 138 | Instruction to Have Courage
",Satsangis should never listen to or engage in negative talks. One should always engage in positive talks,સત્સંગીએ ક્યારેય બળરહિત વાત સાંભળવી નહીં અને કરવી પણ નહીં. હંમેશાં બળ ભરેલી વાતો કરવી.,Satsangīe kyārey baḷ-rahit vāt sāmbhaḷvī nahī ane karvī paṇ nahī. Hanmeshā baḷ bharelī vāto karvī. ,https://baps.box.com/shared/static/adjeddlodzqrynob1345beho6zgvkeof.mp3, Satsang Diksha Shlok 138,"Instruction to Have Courage
"
"Swamini Vat 2/113 | Instruction to Have Courage
","Before one encounters material pleasures, be fearful like a goat (run away from them). But if one faces them, become like a lion (chase them away).",વિષયનો સંબંધ થયા મોર્ય તો બકરાની પેઠે બીવું ને સંબંધ થઈ જાય તો ત્યાં સિંહ થાવું.,Viṣhayno sambandh thayā morya to bakrānī peṭhe bīvu ne sambandh thaī jāy to tyā sinh thāvu. ,https://baps.box.com/shared/static/zgl109zbfcs8fmxz8h35rezeafjfplij.mp3,Swamini Vat 2/113,"Instruction to Have Courage
"
"Kirtan - Brahmanand Swami | Instruction to Have Courage
"," 
A true devotee is one who has courage in his heart. Even in hardship, he never speaks discouragingly. 
He considers all forms of worldly happiness and misery as false. If he suffers some loss of his body or wealth, he does not lament. "," હરિજન સાચા રે, જે ઉરમાં હિંમત રાખે, 
વિપત્તિ વરતી રે, કેદી દીન વચન નવ ભાખે... ૧
જગનું સુખદુઃખ રે, માયિક મિથ્યા કરી જાણે,
તન ધન જાતાં રે, અંતરમાં શોક ન આણે... ૨ 
","Harijan sāchā re, je urmā himmat rākhe,
 Vipatti vartī re, kedī dīn vachan nav bhākhe... 1
Jagnu sukhḍukh re, māyik mithyā karī jāṇe,
 Tan dhan jātā re, antarmā shok na āṇe... 2",https://baps.box.com/shared/static/wk7yhpsyk0xz4gbscfat92fdh56xxgc5.mp3,Kirtan - Brahmanand Swami,"Instruction to Have Courage
"
"Vachanamrut Gadhada II-50 | Instruction to Have Courage
","Now having attained God, why should one worry about kāl, karma and māyā? Bearing this in mind, I have boldly resolved that I do not want to develop love for anyone except God and His Bhakta. "," હવે તો ભગવાન મળ્યા છે માટે કાળ, કર્મ, માયાનો શો ભાર છે? એમ જાણીને એવી હિંમત બાંધી છે જે, ‘હવે તો ભગવાન ને ભગવાનના ભક્ત વિના કોઈને વિષે પ્રીતિ રાખવી નથી.","Have to bhagwān maḷyā chhe māṭe kāḷ, karma, māyāno sho bhār chhe? Em jāṇīne evī himmat bāndhī chhe je, ‘have to Bhagwān ne Bhagwānnā bhakta vinā koīne viṣhe prīti rākhvī nathī. ",https://baps.box.com/shared/static/jima659ad24mbsalgoalutkqwz2cs45c.mp3,Vachanamrut Gadhada II-50,"Instruction to Have Courage
"
"Vachanamrut Gadhada II-33 | Instruction to Have Courage
",What is impossible to achieve with this human body? That which is practiced regularly can definitely be achieved.,મનુષ્ય દેહે કરીને ન થાય એવું શું છે? જે નિત્યે અભ્યાસ રાખીને કરે તે થાય છે. ,Manuṣhya dehe karīne na thāy evu shu chhe? Je nitye abhyās rākhīne kare te thāy chhe.,https://baps.box.com/shared/static/l8pv9tq6i6514wzel7p1q9972yrps4f0.mp3,Vachanamrut Gadhada II-33,"Instruction to Have Courage
"
"Sakhi - Pritamdas | Instruction to Have Courage
","God’s path is for the brave, not for the cowardly. First bow your head and chant his name. "," 
હરિનો માર્ગ છે શૂરાનો, નહિ કાયરનું કામ જોને, પ્રથમ પે’લું મસ્તક મૂકી, વરતી લેવું નામ જોને "," 
Harino mārg chhe shūrāno, nahi kāyarnu kām jone, pratham pe’lu mastak mūkī, vartī levu nām jone
.",https://baps.box.com/shared/static/msx0neykb2ziu2ey2oxqtacxakdcsuyz.mp3,Sakhi - Pritamdas,"Instruction to Have Courage
"
Prasang,"The evening bal-adhiveshan program in Mahant Swami Maharaj’s presence was concluded. A prathana was said to Swamishri, “You call the balaks 'Akshar Purushottam Nā Yodhā’, and so the theme of this adhiveshan and the following shibir is also 'Akshar Purushottam Nā Yodhā’; so can you please write what it means to be 'Akshar Purushottam Nā Yodhā’?” 

Swamishri himself wrote, “Māyā sāme yudhamā utarvānu chhe. Māyānā kuchā bolāvi devānu chhe. Mahārāj Swāminā pratāpthi badhu thashe (You must join in the battle against maya. Beat up maya to the fullest extent. Everything will happen due to Maharaj and Swami’s power.” 
",,,https://baps.box.com/shared/static/ot0uv845a505uo73jbjb6yp4tnxitm7h.mp3,,"Instruction to Have Courage
"
