Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
"Satsang Diksha Shlok 133 | Instruction to do Smruti","One should listen to, recite, read, reflect upon and repeatedly recall the incidents of Swāminārāyaṇ Bhagwān.","સ્વામિનારાયણ ભગવાનનાં લીલાચરિત્રોનું શ્રવણ, કથન, વાંચન, મનન તથા નિદિધ્યાસન કરવું.","Swāminārāyaṇ Bhagwānnā līlā-charitronu shravaṇ, kathan, vānchan, manan tathā nididhyāsan karvu.",https://baps.box.com/shared/static/ynkcw9n385jrk55prcp0zb6y53zqpy1w.mp3,Satsang Diksha Shlok 133,"Instruction to do Smruti"
" Vachanamrut Gadhada I-3 | Benefits of Smruti","That is why I perform grand Vishnu-yāgs; annually celebrate Janmāshtami, Ekādashi and other observances; and gather brahmachāris, sādhus and satsangis on these occasions. After all, even if a sinner remembers these occasions at the time of his death, he will also attain the abode of God.",". તે માટે અમે મોટા મોટા વિષ્ણુયાગ કરીએ છીએ તથા જન્માષ્ટમી અને એકાદશી આદિક વ્રતના વર્ષોવર્ષ ઉત્સવ કરીએ છીએ અને તેમાં બ્રહ્મચારી, સાધુ, સત્સંગીને ભેળા કરીએ છીએ. અને જો કોઈક પાપી જીવ હોય અને તેને પણ જો એમની અંતકાળે સ્મૃતિ થઈ આવે તો તેને ભગવાનના ધામની પ્રાપ્તિ થાય.","Te māṭe ame moṭā moṭā Viṣhṇuyāg karīe chhīe tathā Janmāṣhṭamī ane Ekādashī ādik vratnā varṣho-varṣh utsav karīe chhīe ane temā brahmachārī, sādhu, satsangīne bheḷā karīe chhīe. Ane jo koīk pāpī jīv hoy ane tene paṇ jo emnī antkāḷe smṛuti thaī āve to tene Bhagwānnā dhāmnī prāpti thāy.”",https://baps.box.com/shared/static/sy11nuye2zm4f4xk4t98hy3nctstm44v.mp3, Vachanamrut Gadhada I-3,"Benefits of Smruti"
" Vachanamrut Jetalpur-3 | Benefits of Smruti","""Constantly engage in worship while remembering God; the bliss experienced [from that smruti] is equivalent to having the darshan of God.”","
“ભગવાનની અખંડ સ્મૃતિએ સહિત ભજન કરવું, તે તો ભગવાનનાં પ્રગટ દર્શનના સુખ તુલ્ય છે.”","""Bhagwānnī akhanḍ smṛutie sahit bhajan karvu, te to Bhagwānnā pragaṭ darshannā sukh tulya chhe."" ",https://baps.box.com/shared/static/effmoj5soiinkqga741oj99hux1mvs2k.mp3, Vachanamrut Jetalpur-3,"Benefits of Smruti"
"Swamini Vat 2/12 | Benefits of Smruti","One who begins to remember God acquires the blessings of God and the great Sadhu (Aksharbrahman Guru). But for someone who does not even try, what blessing will they attain? Therefore, keep faith in God and continue one’s efforts.", ભગવાનને સંભારવા માંડે તો તેના ઉપર ભગવાનની ને મોટા સાધુની દૃષ્ટિ થાય પણ એ માર્ગે તો ચાલે નહિ ત્યારે તેના ઉપર શેની દૃષ્ટિ થાય? માટે એ તો ભગવાનનો વિશ્વાસ રાખીને મંડવું.,"""Bhagwānne sambhārvā mānḍe to tenā upar Bhagwānnī ne Moṭā Sādhunī draṣhṭi thāy paṇ e mārge to chāle nahi tyāre tenā upar shenī draṣhṭi thāy? Māṭe e to Bhagwānno vishvās rākhīne manḍvu."" ",https://baps.box.com/shared/static/olvaz9a8koxgf5z3t0kmi3glhfw65thc.mp3,Swamini Vat 2/12,"Benefits of Smruti"
"Purushottam Bolya Prite 17 | Benefits of Smruti","Shriji Maharaj said, ""One should lovingly remember this Sadhu (Aksharbrahman Guru). Whoever remembers [the Satpurush] overcomes the four difficulties of rebirth, death, hell, and the cycle of 8.4 million births.”","શ્રીહરિએ કહ્યું, ‘આ સંતનું ચિંતવન પ્રીતિપૂર્વક કરવું. જે તેનું ચિંતવન કરે છે તેને ચારેય દુઃખ ટળી જાય છે. જન્મ-મરણ, જમપુરી, ચોરાશી તેને માથે રહેતી નથી.' ","Shrīhariē kahyu, ‘ā santnu chintvan prīti-pūrvak karvu. Jē tēnu chintvan karē chhē tēnē chārēy dukh ṭaḷī jāy chhē. Janma-maraṇ, jampurī, chōrāshī tēnē māthē rahētī nathī.'",https://baps.box.com/shared/static/z6zxam52lx9yroj5k6uvfk43tnlg0v4y.mp3,Purushottam Bolya Prite 17,"Benefits of Smruti"
"Gadhada I-38 | 
How to do Smruti
","Even if one begins to recall the divine incidents, discourses and darshan of God from just one day, there would be no end to [to those smrutis]. If that is so, then there would certainly be no end to them for one who has passed ten to fifteen years in Satsang. These divine actions and incidents should be recalled in the following manner: ‘Mahārāj and the paramhansas held an assembly in this village; puja was offered to Mahārāj in this manner; and discourses took place in this manner, etc.’ Those divine incidents of God should be recalled over and over again. Moreover, for one who does not understand much, this is certainly the best method. In fact, there is no other method like it.","ભગવાનનાં જે ચરિત્ર તથા વાર્તા તથા દર્શન તે એક દિવસનાં જો સંભારવા માંડે તો તેનો પાર ન આવે, તો સત્સંગ થયાં તો દસ-પંદર વર્ષ થયાં હોય તે એનો તો પાર જ ન આવે. અને તે એવી રીતે સંભારવાં જે, ‘આ ગામમાં આવી રીતે મહારાજ તથા પરમહંસની સભા થઈ અને આવી રીતે મહારાજની પૂજા થઈ ને આવી રીતે વાર્તા થઈ,’ ઇત્યાદિક જે ભગવાનનાં ચરિત્ર તેને વારંવાર સંભારવાં. અને જે ઝાઝું ન સમજતો હોય તેને તો એમ કરવું એ જ શ્રેષ્ઠ ઉપાય છે, એ જેવો બીજો નથી.","Bhagwānnā je charitra tathā vārtā tathā darshan te ek divasnā jo sambhārvā mānḍe to teno pār na āve, to satsang thayā to das-pandar varṣh thayā hoy te eno to pāraj na āve. Ane te evī rīte sambhārvā je, ‘Ā gāmmā āvī rīte Mahārāj tathā Paramhansanī sabhā thaī ane āvī rīte Mahārājnī pūjā thaī ne āvī rīte vārtā thaī,’ ityādik je Bhagwānnā charitra tene vāramvār sambhārvā. Ane je jhājhu na samajto hoy tene to em karvu ej shreṣhṭh upāy chhe, e jevo bījo nathī. ",https://baps.box.com/shared/static/6ivb7u7nip835ajtgnrvbt8t9g05rcsc.mp3,Gadhada I-38,"
How to do Smruti
"
"Vachanamrut Gadhada I-23 | 
How to do Smruti
","""Therefore, while eating, drinking, walking, or engaging in any activity - pure or impure - in fact, at all times, one should constantly keep one’s focus on God. While maintaining one’s focus constantly on God in this manner, one attains an elevated spiritual state."," તેમ ખાતાં, પીતાં, હાલતાં, ચાલતાં તથા શુભ ક્રિયાને વિષે તથા અશુભ ક્રિયાને વિષે સર્વ કાળે ભગવાનમાં અખંડ વૃત્તિ રાખવી. પછી એવી રીતે ભગવાનમાં અખંડ વૃત્તિ રાખતાં રાખતાં એવી દઢ સ્થિતિ થાય છે.”","""Tem khātā, pītā, hāltā, chāltā tathā shubh kriyāne viṣhe tathā ashubh kriyāne viṣhe sarva kāḷe Bhagwānmā akhanḍ vṛutti rākhvī. Pachhī evī rīte Bhagwānmā akhanḍ vṛutti rākhtā rākhtā evī draḍh sthiti thāy chhe.""",https://baps.box.com/shared/static/8sheb0wwtj0c5yhkp1s1ia4mkmna4yqf.mp3,Vachanamrut Gadhada I-23,"
How to do Smruti
"
"Kirtan - Mulji Bhakta | 
How to do Smruti
","Always remember the attractive, divine name ‘Swāminārāyaṇ,’  
While working around the house and completing worldly tasks, do not forget this name for even a second. 
Without thinking of the son of Dharma, Shriji Maharaj, one will never be able to swim across the ocean of life,  
While walking and traveling, always keep Hari (God) in your heart 
","રૂડું સ્વામિનારાયણ નામ, નિત્ય સંભારીએ રે;
 વળી કરતાં ઘરનું કામ, ઘડી ન વિસારીએ રે... ટેક
ધર્મસુતનું ધ્યાન જ ધરતાં, વાર નહિ ભવસાગર તરતાં;
 હરતાં ફરતાં હરિને હૈયે ધારીએ રે... રૂડું꠶ ૧","Rūḍu Swāminārāyaṇ nām, nitya sambhārīe re;
 Vaḷī kartā gharnu kām, ghaḍī na visārīe re…
Dharmasutnu dhyān ja dhartā,
 Vār nahī bhavsāgar tartā;
Hartā fartā Harine haiye dhārīe re... rūḍu 1",https://baps.box.com/shared/static/z0dxbqtua9oe0xxmy6yy0dzpwho9rin5.mp3,Kirtan - Mulji Bhakta,"
How to do Smruti
"
"Bhaktachintamani, Prakaran 69 | 
How to do Smruti
","(Bhaktachintamani, Prakaran 69)
After performing divine actions, he (Maharaj) spoke to the santo. 
The santo left for Gujarat, discussing the memorable moments….1
While eating, sleeping, and dreaming they remembered the exploits in their minds.
After waking up from sleep, they would say how great Maharaj is….2
In the waking, dream, and deep sleep state they would remember nothing but Bhagwān
The santo would daily think of the divine actions performed by Bhagwān during their meditation….3","એવી લીલા અલૌકિક કીધી, પછી સંતને શીખ જ દીધી;
સંત ચાલ્યા ગયા ગુજરાત્ય, કરતા સુંદર લીલાની વાત. ૧
ખાતાં પીતાં સૂતાં સ્વપ્નામાં, કરે મનન લીલાનું મનમાં;
જ્યારે સૂતા થકી જન જાગે, ધન્ય ધન્ય નાથ કેવા લાગે. ૨
જાગ્રત સ્વપ્ન સુષુપ્તિ માંય, પ્રભુ વિના ન સાંભરે કાંય;
જે જે લીલા કીધી ભગવાને, સંત ચિંતવે તે નિત્ય ધ્યાને. ૩","Evī līlā alaukik kīdhī, pachhī santne shīkh j dīdhī;
     Sant chālyā gayā Gujarātya, kartā sundar līlānī vāt. 1
Khātā pītā sūtā swapnāmā, kare manan līlānu manmā;
     Jyāre sūtā thakī jan jāge, dhanya dhanya Nāth kevā lāge. 2
Jāgrat swapna suṣhupti māy, Prabhu vinā na sāmbhare kāy;
      Je je līlā kīdhī Bhagawāne, sant chintave te nitya dhyāne. 3",https://baps.box.com/shared/static/yabhkp80g3el4cmgi86szpl5dcba7ty7.mp3,"Bhaktachintamani, Prakaran 69","
How to do Smruti
"
Prasang,"Prasang
July 11, 2017- Chicago: It was Kishore Din, and the theme was ""Je Je Hariye Karyu Het."" Prasangs and kirtans regarding our gurus showing affection were being performed. After Swamishri had finished his puja and was returning to his quarters, he said while laughing, ""If Nilkanth Swami hadn't come up, puja would have lasted for one hour."" Explaining further, ""I became lost in Yogi Bapa's prasang."" The prasang of Swamishri falling sick and Yogi Bapa massaging Swamishri's legs was being narrated. Then, the kirtan ""Haiyā nā het nā bhulāy Yogi tarā haiyānā het nā bhulāy'' was being sung. Swamishri said, ""I did not even feel like I was in puja."" This shows how engrossed Swamishri was in the smrutis of his guru!
",,,https://baps.box.com/shared/static/f9bawzm2yxxt4zu2jxxcuju84qspcniz.mp3,,"
How to do Smruti
"
