Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
The Sukh of Bhagwān | Vachanamrut Sarangpur-1,"I would discard all the pleasures of the vishays of countless millions of universes just for one second of God’s darshan. Moreover, if one were to gather all the pleasures of countless millions of universes, even then it would not equal even one millionth of a fraction of the bliss which is present in just one pore of God.","તે ભગવાનનું જે એક નિમેષમાત્રનું દર્શન તે ઉપર અનંત કોટિ બ્રહ્માંડનાં જે વિષયસુખ છે તે સર્વેને વારાફેરીને નાખી દઈએ, અને ભગવાનના એક રોમમાં જેટલું સુખ રહ્યું છે તેટલું સુખ જો અનંત કોટિ બ્રહ્માંડનાં વિષયસુખ ભેળાં કરીએ તોપણ તેના કોટિમા ભાગની બરોબર પણ થાય નહિ.","Te Bhagwānnu je ek nimiṣhmātranu darshan te upar anant koṭi brahmānḍnā je viṣhay-sukh chhe te sarvene vārīferīne nākhī deīe, ane Bhagwānnā ek rommā jeṭlu sukh rahyu chhe teṭlu sukh jo anant koṭi brahmānḍnā viṣhay-sukh bheḷā karīe to paṇ tenā koṭimā bhāgnī barobar paṇ thāy nahī. ",https://baps.box.com/shared/static/a111mijqvep2txpooc38l56vqtyh7m6v.mp3,Vachanamrut Sarangpur-1,The Sukh of Bhagwān
The Sukh of Bhagwān | Vachanamrut Gadhada II-1,"Conversely, all forms of happiness exist simultaneously in God. Thus, even if a devotee does only darshan, he still feels totally fulfilled. Similarly, touch and the other types of God related vishays make His devotees totally fulfilled. Moreover, the pleasures of the world are perishable, and the bliss of God is everlasting.",અને ભગવાનનું જ સ્વરૂપ છે તેમાં તો સર્વે સુખ ભેળાં રહ્યાં છે. તે એક દર્શન કરે તો પણ તે ભક્ત પૂર્ણકામ થઈ જાય. એવી રીતે ભગવાનના સ્પર્શાદિક પણ પોતાના ભક્તને પૂર્ણકામ કરે છે. અને માયિક જે વિષય સંબંધી સુખ છે તે તો સર્વે નાશવંત છે અને ભગવાન સંબંધી સુખ છે તે તો અખંડ છે.,Ane Bhagwānnu je swarūp chhe temā to sarve sukh bheḷā rahyā chhe. Te ek darshan kare to paṇ te bhakta pūrṇakām thaī jāy. Evī rīte Bhagwānnā sparshādik paṇ potānā bhaktane pūrṇakām kare chhe. Ane māyik je viṣhay sambandhī sukh chhe te to sarve nāshvant chhe ane Bhagwān sambandhī sukh chhe te to akhanḍ chhe.,https://baps.box.com/shared/static/hvip73lh0hp4wryq69i5ewyi9lbady0y.mp3,Vachanamrut Gadhada II-1,The Sukh of Bhagwān
The Sukh of Bhagwān | Kirtan - Sukhī karyā re jan  jaktamā - Nishkulanand Swami,"God manifested on earth this time and made everyone in the world happy. He made countless men and women eligible for brahma-mahol (Akshardham)
The bliss that is unattainable to Indra, ishwars, men, and kings is the bliss Maharaj gave to His devotees - the bliss that no one else can attain.        ","સુખી કર્યા રે જન જક્તમાં, પ્રભુ પ્રગટી આ વાર;
નિવાસી કર્યા રે બ્રહ્મમો’લના, અગણિત નરનાર... ꠶ ૧
જે સુખ અગમ અજ ઈશને, સુર સુરેશને સોય;
તે સુખ દીધું છે દાસને, જે સુખ ન પામે કોય... ꠶ ૨","Sukhī karyā re jan jaktamā, Prabhu pragaṭi ā vār;
 Nivāsī karyā re brahmamo’lnā, agaṇit narnār... 1
Je sukh agam Aj Īshane, sur sureshne soy;
 Te sukh dīdhu chhe dāsne, je sukh na pāme koy... 2",https://baps.box.com/shared/static/yxnj896nr98x7nkgwk0tuvzpqgkszbcl.mp33,Kirtan - Sukhī karyā re jan  jaktamā - Nishkulanand Swami,The Sukh of Bhagwān
Levels of Sukh | Swamini Vat 1/26,"Much greater than the enjoyment of material pleasures is the bliss of the ātmā, and even greater is the bliss of God, which is like the chintāmani (wish fulfilling stone).", વિષયનું જે સુખ છે તે કરતાં આત્માનું સુખ બહુ અધિક છે ને તે કરતાં ભગવાનનું સુખ એ તો ચિંતામણિ છે. ,Viṣhaynu je sukh chhe te kartā ātmānu sukh bahu adhik chhe ne te kartā Bhagwānnu sukh e to chintāmaṇi chhe. ,https://baps.box.com/shared/static/od778l2iiee94ivqqwturif799bzlgt6.mp3,Swamini Vat 1/26,Levels of Sukh
Levels of Sukh | Sākhi - Tulsidas,"
“There is no happiness in surpur (heaven), narpur (earth) or nagpur (underworld); there is happiness only at the feet of God or His holy Sadhu.”","
“સુરપુર નરપુર નાગપુર, એ તીનમેં સુખ નાંહિ;
કાં સુખ હરિકે ચરનમેં કાં સંતનકે માંહિ.”","Surpur narpur nāgpur, e tīnme sukh nāhi;
Kā sukh Harike charanme, kā santanke māhi. 
",https://baps.box.com/shared/static/ji25oyzmhhiidaj1k9oe1ucbricyio7n.wav,Sākhi - Tulsidas,Levels of Sukh
Experiencing Sukh | Swamini Vat 3/20,"This entire Satsang is the body of Maharaj, but Maharaj eternally resides in the Param Ekantik Sant (Aksharbrahman Guru). When one gets attached to him, one experiences the bliss of Maharaj just as one gets the joy of drinking milk from the cow’s udder.” (This means that just as milk is obtained from the cow’s udder only and not from any other part of the cow’s body, similarly, the bliss of God is only obtained from the Satpurush). ","આ બધોય સત્સંગ તો મહારાજનું શરીર છે, પણ જે મોટા એકાંતિક સાધુ છે, તે દ્વારે તો મહારાજ અખંડ રહ્યા છે, તેને વળગે છે ત્યારે તેને મહારાજનું સુખ આવે છે, જેમ ગાયના આંચળમાંથી દૂધ આવે છે તેમ.","Ā badhoy satsang to Mahārājnu sharīr chhe, paṇ je Moṭā Ekāntik Sādhu chhe, te dwāre to Mahārāj akhanḍ rahyā chhe, tene vaḷge chhe tyāre tene Mahārājnu sukh āve chhe, jem gāynā āchaḷmāthī dūdh āve chhe tem.” ",https://baps.box.com/shared/static/0sdgwv1i18ipdrys766zl86i0da0nf9s.mp3,Swamini Vat 3/20,Experiencing Sukh
Experiencing Sukh | Swamini Vat 3/32,"By remembering God and doing bhajan while performing all activities, one remains at peace within. Seeing the peace within the devotee, the great Sadhu (Aksharbrahman Guru) is pleased. ","ભજન કરતાં કરતાં ક્રિયા કરીએ તો અંતરમાં ટાઢું રહે ને અંતરમાં ટાઢું જોઈને મોટા સાધુ રાજી થાય, ને જેની ઉપર મોટા સાધુ રાજી થાય તેનો જીવ સુખિયો થઈ જાય.","Bhajan kartā kartā kriyā karīe to antarmā ṭāḍhu rahe ne antarmā ṭāḍhu joīne Moṭā Sādhu rājī thāy, ne jenī upar Moṭā Sādhu rājī thāy teno jīv sukhiyo thaī jāy.",https://baps.box.com/shared/static/bfg06gjnbdpm3etqirrcu095nloemj8z.mp3,Swamini Vat 3/32,Experiencing Sukh
Experiencing Sukh | Yogi Gita,"What is greatness? Attaining a high position or status? No, peace within one's heart is greatness. By imbibing the virtues of the great Sadhu (Aksharbrahman Guru), one can experience peace within one's heart. "," મોટપ શું? ગાદી મળે, પાટ મળે ઈ? ના, હૃદયમાં શાંતિ રહે એ મોટપ. મોટાપુરુષના ગુણ આવ્યા હોય તો હૃદયમાં શાંતિ રહે.","Mōṭap shu? Gādī maḷē, pāṭ maḷē ī? Nā, hr̥udaymā shānti rahē ē mōṭap. Mōṭāpuruṣhnā guṇ āvyā hōy tō hr̥udaymā shānti rahē.",https://baps.box.com/shared/static/ghmtcgmxqh0j1iajg7vi14rvqipmccmw.wav,Yogi Gita,Experiencing Sukh
Experiencing Sukh | Satsang Diksha Shlok 46,"My hindrances, sins, flaws and bad qualities will certainly be destroyed. I will surely attain peace, supreme bliss and happiness.","મારાં વિઘ્નો, પાપ, દોષ તથા દુર્ગુણો અવશ્ય નાશ પામશે. હું અવશ્ય શાંતિ, પરમ આનંદ અને સુખ પામીશ. ","Mārā vighno, pāp, doṣh tathā durguṇo avashya nāsh pāmashe. Hu avashya shānti, param ānand ane sukh pāmīsh. ",https://baps.box.com/shared/static/2sluw50fcaiiffr4hgm5zzspvpkm1p4o.mp3,Satsang Diksha Shlok 46,Experiencing Sukh
Prasang,"9/17/2017, Robbinsville.  Around 4 o’clock in the afternoon Swamishri had arrived at Ashokan Reservoir and was taking his daily walk. A New York resident named Kevin Godbey was mesmerized by the darshan of Swamishri. In fact, he even walked back to Swamishri and started doing his darshan while standing behind the santo. Many santo noticed him and asked him what he was doing.  Mr. Godbey said, “I am feeling calmness and serenity here.” He was a website publisher. He had seen so much in the world and had even shown the world so much but he had never seen anyone like Mahant Swami Maharaj. He stayed for a while and did darshan just like a haribhakta and after basking in the peace, he left.",,,https://baps.box.com/shared/static/7x84eomay0xu6uiag0co2h7lfk7cpu9m.mp3,Prasang,"Experiencing Sukh
"
