Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Definition of Swabhāv | Vachanamrut Gadhada I-11,"“A desire within the antahkaran to enjoy vishays that have been previously seen, heard or indulged in is called ‘vāsanā’. Moreover, a desire within the antahkaran to enjoy those vishays that have not been previously indulged in is also called ‘vāsanā’.”",“પૂર્વે જે વિષય ભોગવ્યા હોય ને દીઠા હોય અને સાંભળ્યા હોય તેની જે અંતઃકરણને વિષે ઇચ્છા વર્તે તેને વાસના કહીએ; અને વળી જે વિષય ભોગવ્યામાં ન આવ્યા હોય તેની જે અંતઃકરણને વિષે ઇચ્છા વર્તે તેને પણ વાસના કહીએ.” ,“Pūrve je viṣhay bhogavyā hoy ne dīṭhā hoy ane sāmbhaḷyā hoy tenī je antahkaraṇne viṣhe ichchhā varte tene vāsanā kahīe; ane vaḷī je viṣhay bhogavyāmā na āvyā hoy tenī je antahkaraṇne viṣhe ichchhā varte tene paṇ vāsanā kahīe.” ,https://baps.box.com/shared/static/z8oa1xk5mup4h558p7vajxp22c1x49wr.mp3,Vachanamrut Gadhada I-11,Definition of Swabhāv
Definition of Swabhāv | Swamini Vat 2/190,Desires arising while remembering God are all called ‘swabhāvs’.,ભગવાનની સ્મૃતિ કરતાં જે સંકલ્પ થાય તે સર્વ સ્વભાવ કહેવાય.,Bhagwānnī smṛuti kartā je sankalp thāy te sarva swabhāv kahevāy,https://baps.box.com/shared/static/fh49ukibl7cizx28qwz5z5gcc9zsw24n.mp3,Swamini Vat 2/190,Definition of Swabhāv
"Eradicating one’s Swabhāvs
 | Vachanamrut Sarangpur-18","If a person has some swabhāvs, and he thoughtfully attempts to eradicate them by associating with the Sant (Satpurush), then they can be destroyed.",પોતામાં કોઈ સ્વભાવ હોય ને તેને સંતનો સમાગમ કરીને સમજી વિચારીને ટાળે તો તે સ્વભાવનો નાશ થઈ જાય છે.,Potāmā koī swabhāv hoy ne tene santno samāgam karīne samjī vichārīne ṭāḷe to te swabhāvno nāsh thaī jāy chhe.,https://baps.box.com/shared/static/sa4cj14ldc5h7z3cmv0tth2bvb8yef4g.mp3,Vachanamrut Sarangpur-18,"Eradicating one’s Swabhāvs
"
Eradicating one’s Swabhāvs | Yogi Vani 283/8,"Without determination, our innate nature won’t go away. We must establish a gateway in the form of awareness and have determination to remove our swabhavs. We must develop a hatred for our swabhavs that keep us away from God. ",ખટકા વગર સ્વભાવ ન જાય. જાણપણારૂપ દરવાજો અને ખટકો. વેરભાવ થવો જોઈએ. ,Khaṭakā vagar swabhāv na jāy. Jāṇpaṇārūp darvājō anē khaṭkō. Vērbhāv thavō joie. ,https://baps.box.com/shared/static/39sd2w90zyjoao4myb5rolqdigyy5uv7.wav,Yogi Vani 283/8,Eradicating one’s Swabhāvs
Eradicating one’s Swabhāvs | Vachanamrut Gadhada II-26,"God’s devotee should forsake any swabhāv that does not please God, just as one forsakes an enemy. ",ભગવાનના ભક્તે ભગવાનને ન ગમે એવો કોઈક પોતાનો સ્વભાવ હોય તો તેનો પણ શત્રુની પેઠે ત્યાગ કરવો,Bhagwānnā bhakte Bhagwānne na game evo koīk potāno swabhāv hoy to teno paṇ shatrunī peṭhe tyāg karvo.,https://baps.box.com/shared/static/wieeici5c7v85cfti7kmj3whlc61r6vz.mp3,Vachanamrut Gadhada II-26,Eradicating one’s Swabhāvs
Eradicating one’s Swabhāvs | Vachanamrut Gadhada I-24,"If a person realizes God to be absolutely flawless, then regardless of his own swabhāvs, he himself becomes absolutely flawless as well. ",પોતામાં ગમે તેવા ભૂંડા સ્વભાવ હોય ને જો ભગવાનને અતિશય નિર્દોષ સમજે તો પોતે પણ અતિશય નિર્દોષ થઈ જાય છે.,Potāmā game tevā bhūnḍā swabhāv hoy ne jo Bhagwānne atishay nirdoṣh samje to pote paṇ atishay nirdoṣh thaī jāy chhe. ,https://baps.box.com/shared/static/b9p7wwtgjb2s5xwpxxnk1ocohp11c3ff.mp3,Vachanamrut Gadhada I-24,Eradicating one’s Swabhāvs
Eradicating one’s Swabhāvs | Sākhi - Nishkulanand Swami,"While performing the devotion of God, if you have the feelings of I-ness and my-ness, then the iron door closes on you while on your path to God.","તેમ ભક્તિ કરતાં ભગવાનની, આવી અહં મમતની આડ
પ્રભુ પાસળ પો’ચતાં, આડું દીધું એ લોહ કમાડ
","Tēma bhakti karatāṁ bhagwānanī, āvī ahaṁ mamatanī āḍa
Prabhu pāsaḷa pō’catāṁ, āḍuṁ dīdhuṁ ē lōha kamāḍa
",https://baps.box.com/shared/static/6rt112e5oygqjttodvj4tnl1kvrkr086.mp3,Sākhi - Nishkulanand Swami,Eradicating one’s Swabhāvs
Eradicating one’s Swabhāvs | Kirtan - Dhīr dhurandharā shur sāchā kharā - Muktanand Swami,"Amongst all the enemies, lust, anger, arrogance, and greed are the foremost. There is no chance of defeating them. Many ascetics and renunciants ask for death rather than continue to fight these enemies. When faced with such an army, only those who have the refuge of a Guru (Aksharbrahman Guru) know how to defeat them. Muktanand Swami says, “One who defeats the army of swabhāvs experiences continuous happiness and enjoys an elevated state.”","કામ ને ક્રોધ મદ લોભ દળમાં મુખી, લડવા તણો નવ લાગ લાગે;
જોગિયા જંગમા ત્યાગી તપસી ઘણા, મોરચે ગયે ધર્મદ્વાર માગે... ૩
એવા અરિસૈન્ય શું અડીખમ આથડે, ગુરુમુખી જોગીયા જુક્તિ જાણે;
મુક્તાનંદ મોહફોજ માર્યા પછી, અટલ સુખ અખંડ પદરાજ માણે... ૪
","Kām ne krodh mad lobh daḷmā mukhī, Laḍvā taṇo nav lāg lāge;
Jogīyā jangam tyāgī tapsī ghaṇā,Morche gaye dharmadvār māge... 3
Evā ari-sainya shu aḍīkham āthaḍe, Gurumukhī jogīyā jukti jāṇe;
Muktānand mohfoj māryā pachhī,Aṭaḷ sukh akhanḍ padrāj māṇe... 4
",https://baps.box.com/shared/static/6egvdrp2h1x46thpdeeiwebncfcafq4l.mp3,Kirtan - Dhīr dhurandharā shur sāchā kharā - Muktanand Swami,Eradicating one’s Swabhāvs
Eradicating one’s Swabhāvs | Kirtan - Vaḷī sahu sāmbhaḷo re - Premanand Swami,"All of my devotees, if you want to stay near me...
Then, forsake the false expectations of enjoying the panchvishays (pleasures of the five senses). 
","સહુ હરિભક્તને રે, રહેવું હોયે મારે પાસ;
તો તમે મેલજો રે, મિથ્યા પંચવિષયની આશ
","Sahu haribhaktane re, rahevu hoye Māre pās;
To tame meljo re, mithyā panchvishaynī āsh..3
",https://baps.box.com/shared/static/vi39y6upknfr4mqqm9idp6vk239yrq6o.mp3,Kirtan - Vaḷī sahu sāmbhaḷo re - Premanand Swami,Eradicating one’s Swabhāvs
Prasang,"7/10/19 - Bharuch
During the final evening sabha, santo and karyakars were placing decorative garlands and shawls on Swamishri. Each group would also offer their individual prathanas to Swamishri on this day of his departure from Bharuch. One group said their prathana, “Swami! Hold our hand and take us to Akshardham…please eradicate our swabhavs…” 

Right away Swamishri responded, “Swabhāv tāḍvā paḍshe, pachi (Akshardhāmmā lai jaishu).” (“Swabhavs must be eradicated first, only then can one go to Akshardham.)
",,,https://baps.box.com/shared/static/9bkdd2zkg418dm0e3slmtqnxb3wjekbk.mp3,Prasang,"Eradicating one’s Swabhāvs
"
