Title (optional),English Content,Gujurati Content,Transliteration Content,Audio URL
Swamini Vaat 1,"This Sadhu is like God, but that we are unable to stay with him is our great loss. (1.289)","ભગવાન જેવા આ સાધુ છે, પણ તેની પાસે રહેવાતું નથી, એ મોટી ખોટ છે.","Bhagwān jevā ā Sādhu chhe, paṇ tenī pāse rahevātu nathī, e moṭī khoṭ chhe.",https://baps.box.com/shared/static/1hf8jfi9a6zzryi87vci4qbtd5nl7x4b.mp3
Swamini Vaat 2,Good people do not act differently but they have a different understanding (regarding the form of God and his holy Sadhu). (5.247),સારા માણસને વર્તવામાં તો ફેર નથી પણ સમજવામાં ફેર રહે છે.,Sārā māṇasne vartvāmā to fer nathī paṇ samajavāmā fer rahe chhe.,https://baps.box.com/shared/static/k4t6jp019f06fxh011uzyddn1p5pj26p.mp3
Swamini Vaat 3,To feed a devoted of God is superior than feeding all the jivas of this universe. (2.117),આ બ્રહ્માંડના સર્વ જીવને ખવરાવવું તે કરતાં એક ભગવદીને જમાડવો એ અધિક છે.,Ā brahmānḍnā sarva jīvne khavarāvavu te kartā ek bhagvadīne jamāḍavo e adhik chhe.,https://baps.box.com/shared/static/p0y9a8yalr5mub8514s2wv13l727sbx8.mp3
Swamini Vaat 4,"Poisoned sweet balls taste good when eaten, but after a while the throat burns. Similarly, worldly activities are like this. (5.339)","ઝેરના લાડવા ખાતાં સારા લાગે પણ ઘડીક પછી ગળું ઝલાય, તેમ આ વે’વાર છે.","Jhernā lāḍvā khātā sārā lāge paṇ ghaḍīk pachhī gaḷu jhalāy, tem ā ve’vār chhe.",https://baps.box.com/shared/static/0tnfjkfp0xbujjqeba7dolmk5jjusxxk.mp3
Swamini Vaat 5,One who has resolute conviction in God (that he will grant liberation) has completed all spiritual endeavors. He has nothing more left to do. (1.123),"ભગવાનના સ્વરૂપની નિષ્ઠા થઈ તેને સાધન સર્વે થઈ રહ્યાં, બાકી કાંઈ કરવું રહ્યું નથી.","Bhagwānnā swarūpnī niṣhṭhā thaī tene sādhan sarve thaī rahyā, bākī kāī karvu rahyu nathī.",https://baps.box.com/shared/static/3f4670xr5dlsifprk2qt1vyk9lhyz9rk.mp3
Swamini Vaat 6,Scriptures are the effect and the great Sadhu is their cause. (4.104),શાસ્ત્ર છે તે કાર્ય છે ને મોટા છે તે કારણ છે.,Shāstra chhe te kārya chhe ne Moṭā chhe te kāraṇ chhe.,https://baps.box.com/shared/static/y2tm9lpaxuogcylnad9vgph4vuw2fwtj.mp3
Swamini Vaat 7,"This satsang we have attained is the best chintamani. With it, the jiva (soul) will make great progress. (1.166)","આ સત્સંગ મળ્યો છે એ તો પરમ ચિંતામણિ મળી છે, તેમાં જીવ બહુ વૃદ્ધિને પામે છે.","Ā satsang maḷyo chhe e to param chintāmaṇi maḷī chhe, temā jīv bahu vṛuddhine pāme chhe.",https://baps.box.com/shared/static/mlq5p7qwqy9pad8yhpcnhmyg9h72jou2.mp3
Swamini Vaat 8,"Maharaj used to say one who is wise is pleased when rebuked by Maharaj and his holy Sadhu, while the foolish are pleased when praised. (5.391)","ડાહ્યો હોય તેને વઢે ત્યારે રાજી થાય ને મૂર્ખ હોય તેને વખાણે ત્યારે રાજી થાય, એમ મહારાજ કહેતા.","Ḍāhyo hoy tene vaḍe tyāre rājī thāy ne mūrkh hoy tene vakhāṇe tyāre rājī thāy, em Mahārāj kahetā.",https://baps.box.com/shared/static/rshqvxg7eiojk2sdkzuo7jmq8v5et2of.mp3
Swamini Vaat 9,"When lust, anger, ego, jealousy and body-consciousness are given up, then God and his Sadhu will be pleased. (6.14)","કામ, ક્રોધ, માન, ઈર્ષા ને દેહાભિમાન એ સર્વે મૂકશે ત્યારે ભગવાન ને ભગવાનના સાધુ રાજી થાશે.","Kām, krodh, mān, īrṣhā ne dehābhimān e sarve mūkshe tyāre Bhagwān ne Bhagwānnā Sādhu rājī thāshe.",https://baps.box.com/shared/static/5j8pvk1xhkhkjrgo0rfl8id0ptvl8ae9.mp3
Swamini Vaat 10,"The benefit we have gained is so great that it is indescribable, therefore preserve it. (6.17)",આપણને જે લાભ મળ્યો છે એ તો કાંઈ કહેવાય નહીં. માટે હવે તે જાળવી રાખવો.,Āpaṇne je lābh maḷyo chhe e to kāī kahevāy nahī. Māṭe have te jāḷvī rākhvo.,https://baps.box.com/shared/static/3udtbdj2441wkef4i60pe9vr9o4tl08j.mp3
Swamini Vaat 11,See only God and his holy Sadhu. Only these two are worth seeing. There is no worth in anything else. (1.101),"ભગવાન ને ભગવાનના સાધુ એ બે સામું જોવું ને એ જ જોયા જેવા છે, બીજામાં કાંઈ માલ નથી.","Bhagwān ne Bhagwānnā Sādhu e be sāmu jovu ne ej joyā jevā chhe, bījāmā kāī māl nathī.",https://baps.box.com/shared/static/7du64b80wgvfoy2c55dv14mma7vyobbs.mp3
Swamini Vaat 12,"No amount of money can give us eyes, ears, and other senses, but God has given them. Yet the jiva is forever ungrateful. (1.120)"," કેટલેક રૂપિયે આંખ્ય, કાન આદિક ઇન્દ્રિયું મળે નહિ તે ભગવાને આપ્યાં છે, પણ જીવ કેવળ કૃતઘ્ની છે.","Keṭlek rūpiye ānkhya, kān ādik indriyu maḷe nahi te Bhagwāne āpyā chhe, paṇ jīv kevaḷ kṛutaghnī chhe.",https://baps.box.com/shared/static/z4n1lqux8adsx69kf93oa0b2fhhfl5da.mp3
Swamini Vaat 13,"God’s abode cannot be obtained even after tens of millions of years, but is attained by merely folding one’s hands to such a God-realized Sadhu. (1.121)","કોટિ કલ્પે ભગવાનનું ધામ ન મળે, તે આવા સાધુને હાથ જોડે એટલામાં મળે છે.","Koṭi kalpe Bhagwānnu dhām na maḷe, te āvā Sādhune hāth joḍe eṭlāmā maḷe chhe.",https://baps.box.com/shared/static/2hx30fomw25yj0u2rotgwa87tluueyx7.mp3
