Title,English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title (OPTIONAL)
Importance of Upāsanā | Vachanamrut Gadhada I-56,"Many people become realized yogis; many become omniscient; many become deities and attain countless types of greatness, including the highest state of enlightenment. All this is achieved through the force of God’s upasana. Without upāsanā, though, nothing can be accomplished.","કેટલાક સિદ્ધ થાય છે ને કેટલાક સર્વજ્ઞ થાય છે ને કેટલાક દેવતા થાય છે ઇત્યાદિક અનંત પ્રકારની મોટ્યપ પામે છે તથા પરમ પદને પામે છે એ સર્વે ભગવાનની ઉપાસનાને બળે પામે છે, પણ ઉપાસના વિના કોઈ વાત સિદ્ધ થતી નથી.","Keṭlāk siddha thāy chhe ne keṭlāk sarvagna thāy chhe ne ketlāk devtā thāy chhe ityādik anant prakārnī moṭyap pāme chhe tathā param padne pāme chhe e sarve Bhagwānnī upāsanāne baḷe pāme chhe, paṇ upāsanā vinā koī vāt siddha thatī nathī.",https://baps.box.com/shared/static/g2g0gdj8r0lui8q6gdlkhdopnm0nt9xi.mp3,Vachanamrut Gadhada I-56,Importance of Upāsanā
Importance of Upāsanā | Sakhi - Nishkulanand Swami,A hundred zeros without a one is equal to zero; similarly anything without Mahārāj  is meaningless.,"જેમ સો સો શૂન્ય સારાં કરે, પણ એક અંક ન કરે જો આગળે ।
તે સરવાળો શાનો મેલશે, જે કરે છે કાળપ કાગળે ॥૭॥

તેમ એક હરિ ને પરહરે, બીજી કરે ચતુરાઈ કોટ ।
તે તો માથાફર ચાલે મારગે, જેમ જેમ ચાલે તેમ ખોટ ॥૮॥
","Jem so so shūnya sārā kare, paṇ ek anka na kare jo āgaḷe ।
Te saravāḷo shāno melashe, je kare chhe kāḷap kāgaḷe (7)

Tem ek hari ne parahare, bījī kare chaturāī koṭ ।
Te to māthāfar chāle mārage, jem jem chāle tem khoṭa (8)
",https://baps.box.com/shared/static/neuqduq2trwaj1z37gjv39kn9pwpu2z2.mp3,Sakhi - Nishkulanand Swami,Importance of Upāsanā
Importance of Upāsanā | Satsang Diksha Shlok 288-290,"Those who faithfully and lovingly strengthen āgnā and upāsanā in their life according to this shastra earn the pleasure of Bhagwān and become a recipient of his grace. While living, they attain the brāhmi sthiti described in the shastras. They master ekāntik dharma. They attain the eternal and divine Akshardham of Bhagwān, ultimate moksha and bliss.","આ શાસ્ત્રને અનુસરીને જે જન શ્રદ્ધા અને પ્રીતિથી પોતાના જીવનમાં આજ્ઞા-ઉપાસનાની દૃઢતા કરે, તે ભગવાનનો રાજીપો પ્રાપ્ત કરી તેમની કૃપાનું પાત્ર થાય છે. શાસ્ત્રોમાં કહેલ બ્રાહ્મી સ્થિતિને તે જીવતાં છતાં જ પ્રાપ્ત કરે છે. એકાંતિક ધર્મ સિદ્ધ કરે છે. ભગવાનના શાશ્વત, દિવ્ય એવા અક્ષરધામને પામે છે, આત્યંતિક મુક્તિ મેળવે છે અને સુખ પ્રાપ્ત કરે છે.","Ā shāstrane anusarīne je jan shraddhā ane prītithī potānā jīvanmā āgnā-upāsanānī draḍhtā kare, te Bhagwānno rājīpo prāpt karī temnī kṛupānu pātra thāy chhe. Shāstromā kahel brāhmī sthitine te jīvatā chhatāj prāpt kare chhe. Ekāntik dharma siddha kare chhe. Bhagwānnā shāshvat, divya evā Akṣhardhāmne pāme chhe, ātyantik mukti meḷave chhe ane sukh prāpt kare chhe.",https://baps.box.com/shared/static/wjv60t5f55k76vb8mnzzmsl4fapsb00v.mp3,Satsang Diksha Shlok 288-290,Importance of Upāsanā
Importance of Upāsanā | Swamini Vat 1/56,"Even if one encounters intense misery, like the final destruction of the world, one who has firmly developed the upāsanā of God understands that the body will die one day and we (the ātmā) will go to God’s abode. With this understanding one remains happy.","ભગવાનની ઉપાસનાનું બળ હોય તેને મહાપ્રલય જેવું દુઃખ આવી પડે તો પણ એમ સમજે જે, ‘દેહ તો પડી જાશે ને આપણે ભગવાનના ધામમાં જાશું;’ એમ સમજીને સુખિયો રહે.","Bhagwānnī upāsanānu baḷ hoy tene mahāpralay jevu dukh āvī paḍe to paṇ em samje je, ‘Deh to paḍī jāshe ne āpaṇe Bhagwānnā dhāmmā jāshu,’ em samjīne sukhiyo rahe.",https://baps.box.com/shared/static/mz1et24mhfui9bdcu37197axh72x4cvn.mp3,Swamini Vat 1/56,Importance of Upāsanā
Characteristics of one with Swarupnishthā | Vachanamrut Loya-3,"What would a person who has faith in God and His Sant coupled with the knowledge of their greatness not do for the sake of God and His Sant. For them, he would renounce his family, renounce any fear of public ridicule, renounce a kingdom, renounce pleasures, renounce wealth, renounce his wife, and in the case of a woman, she would renounce her husband.","જેને ભગવાનનો ને સંતનો માહાત્મ્યજ્ઞાને સહિત નિશ્ચય હોય તેથી ભગવાનને અર્થે ને સંતને અર્થે શું ન થાય? એને અર્થે કુટુંબનો ત્યાગ કરે, લોકલાજનો ત્યાગ કરે, રાજ્યનો ત્યાગ કરે, સુખનો ત્યાગ કરે, ધનનો ત્યાગ કરે, સ્ત્રીનો ત્યાગ કરે અને સ્ત્રી હોય તે પુરુષનો ત્યાગ કરે.","Jene Bhagwānno ne santno māhātmya-gnāne sahit nishchay hoy tethī Bhagwānne arthe ne santne arthe shu na thāy? Ene arthe kuṭumbno tyāg kare, loklājno tyāg kare, rājyano tyāg kare, sukhno tyāg kare, dhanno tyāg kare, strīno tyāg kare ane strī hoy te puruṣhno tyāg kare.",https://baps.box.com/shared/static/mycihb5p6y4dkj845bsh9radneh85ou5.mp3,Vachanamrut Loya-3,Characteristics of one with Swarupnishthā
Characteristics of one with Swarupnishthā | Swamini Vat 5/2,"The characteristics of those with firm faith in God and the God-realized Sadhu (Satpurush) are: Just as one with a thousand million kilos of grains and rupees has no fear of death even in the worst drought, and just as a person with two thousand armed soldiers has no fear of being robbed, one is free from the fear of adverse kāl, karma and māyā. One believes oneself to be fulfilled and has no expectations from anyone.","ભગવાનના તથા એકાંતિકના નિશ્ચયનાં લક્ષણ એ છે જે, ઘરમાં સો કરોડ મણ દાણા હોય તથા રૂપિયા હોય તો કાળ પડ્યે મરવાની બીક ન રહે તથા બે હજાર બખતરિયા ભેળા હોય તો લૂંટાવાની બીક ન રહે; એમ નિશ્ચયવાળાને કાળ, કર્મ ને માયા તેની બીક ન રહે; પૂરણકામ માને ને ભગવાન વિના કોઈની અપેક્ષા ન રહે.","Bhagwānnā tathā Ekāntiknā nishchaynā lakṣhaṇ e chhe je, gharmā so karoḍ maṇ dāṇā hoy tathā rūpiyā hoy to kāḷ paḍye marvānī bīk na rahe tathā be hajār bakhtariyā bheḷā hoy to lūṭāvānī bīk na rahe; em nishchay-vāḷāne kāḷ, karma ne māyā tenī bīk na rahe; pūraṇkām māne ne Bhagwān vinā koīnī apekṣhā na rahe.",https://baps.box.com/shared/static/dw5eytito4fuakpohr0mi7ba35yvexck.mp3,Swamini Vat 5/2,Characteristics of one with Swarupnishthā
Characteristics of one with Swarupnishthā | Purushottam Bolya Prite,One in whose heart is the upasana of God lives as a servant. He serves even the servant of God. He has no wish except for God. Even God believes such a devotee to be rare and does not remain distant from him for even a second.,જેના હૃદયમાં ભગવાનની ઉપાસના હોય તે સેવક થઈને વર્તે ભગવાનના જે દાસ તેનો પણ દાસ થઈને વર્તે. ભગવાન સિવાય તેની બીજી કોઈ આશા જ ન હોય. ભગવાન પણ આવા ઉપાસકને દુર્લભ માને છે અને તેનાથી પણ માત્ર દૂર રહેતા નથી.,Jenā hṛudaymā Bhagwānnī upāsanā hoy te sevak thaīne varte Bhagwānnā je dās teno paṇ dās thaīne varte. Bhagwān sivāy tenī bījī koī āshāj na hoy. Bhagwān paṇ āvā upāsakne durlabh māne chhe ane tenāthī paṇ mātra dūr rahetā nathī.,https://baps.box.com/shared/static/edi0xdd2s6gei03h5kogjwpgbo1i37n8.mp3,Purushottam Bolya Prite,Characteristics of one with Swarupnishthā
How to develop Swarupnishthā | Vachanamrut Gadhada III-27,"The attributes of the Sant - being free of lust, avarice, egotism, taste, attachment, etc. - are also described in the scriptures. The Sant who possesses these attributes has a direct relationship with God. Therefore, one should develop the conviction of God based on his words. In fact, to have firm faith in the words of the Sant is itself the conviction of God.”","શાસ્ત્રે કહ્યાં જે નિષ્કામ, નિર્લોભ, નિર્માન, નિઃસ્વાદ, નિઃસ્નેહ ઇત્યાદિક સંતનાં લક્ષણ તેને સાંભળીને એવાં લક્ષણ જ્યાં દેખાય એવા જે સંત તેને ને ભગવાનને સાક્ષાત્ સંબંધ હોય; માટે એવા સંતનાં વચને કરીને ભગવાનનો નિશ્ચય કરવો ને તેના વચનમાં દૃઢ વિશ્વાસ કરવો તેને નિશ્ચય કહીએ.","Shāstre kahyā je niṣhkām, nirlobh, nirmān, niswād, nihsneh ityādik santnā lakṣhaṇ tene sāmbhaḷīne evā lakṣhaṇ jyā dekhāy evā je sant tene ne Bhagwānne sākṣhāt sambandh hoy; māṭe evā santnā vachane karīne Bhagwānno nishchay karvo ne tenā vachanmā draḍh vishvās karvo tene nishchay kahīe.",https://baps.box.com/shared/static/iopwvxt6fsqdyff3rbfcp2u2x8s85ru5.mp3,Vachanamrut Gadhada III-27,How to develop Swarupnishthā
How to develop Swarupnishthā | Yogi Gita,"Only the Satpurush is worthy of being seen and heard. Just as one’s conviction in a mango tree is not lost even when it loses its leaves, one should not lose one’s conviction in the Satpurush.","જોવાનું, દેખવાનું, સાંભળવાનું - આ બધું સંતને વિષે જ છે. આંબાના પાન ખરી જાય પણ આંબાનો નિશ્ચય જતો નથી, તેમ સત્પુરુષનો નિશ્ચય જવો ન જોઈએ.","Jovānu, dekhvānu, sānbhaḷvānu - ā badhu santne viṣhej chhe. Āmbānā pān kharī jāy paṇ āmbāno nishchay jato nathī, tem satpuruṣhno nishchay javo na joīe.",https://baps.box.com/shared/static/a1mnpz02ucf2mn3jnqf5dcfzt0ep4s45.wav,Yogi Gita,How to develop Swarupnishthā
Prasang,"After his walking exercise on April 21, 2017 in Kolkata, Swamishri engaged in letter writing. Roshanbhai, a sevak who was helping with the letter writing asked Swamishri, “Doctor Swami regularly discourses of having the singular goal to make Pramukh Swami Maharaj and Mahant Swami Maharaj happy. Swami, in what lies their utmost happiness?” 

Swamishri responded, “Badhāj niyamo ane nischay rākhe tema chhe. Nischay chhe temāj badhu āvi jāy. Bhale ā kalpanā jevu lāge chhe pan kalpana nathi. Nischay rākhine hajāro ekāntik thai gayā chhe. Nischay hoy to vishay pan khoṭā thai jāy. (Their utmost happiness lies in staying firm in one's niyams and conviction. Everything is included in having conviction. This may seem like a distant thought but it is not. Thousands have become Ekāntik due to faith and conviction. If one has faith and conviction, then one will even understand the sense pleasures to be false.)""  (April 24, 2017, Calcutta)",,,https://baps.box.com/shared/static/ulr9evjgp6wop23a63nz3xchg9ubcvh1.mp3,,How to develop Swarupnishthā
