Title (OPTIONAL),English Content,Gujurati Content,Transliteration Content,Audio URL,Source,Title
"The Benefits of having Vishwās:
",One should listen to the discourses of Purushottam Nārāyan with faith and love. There is no better method to stabilize the mind and to free it of the desires for vishays. ," વિશ્વાસ રાખીને પ્રીતિએ સહિત જે ભગવાન પુરુષોત્તમનારાયણની વાત સાંભળવી એથી બીજું મનને સ્થિર થવાનું ને  નિર્વિષયી થવાનું કોઇ મોટું સાધન નથી. 
 
","Vishvās rākhīne prītie sahit je Bhagwān Puruṣhottam Nārāyaṇnī vāt sāmbhaḷvī ethī bīju manne sthir thavānu ne nirviṣhayī thavānu koī moṭu sādhan nathī. 
",,Vachanamrut Karyani-12,"Vachanamrut Karyani-12 - The Benefits of having Vishwās:
"
"The Benefits of having Vishwās:
","Worship God by meeting a true saint….
Keep faith in His words and immerse yourself in His devotional songs.
If one does this, their previous sins will vanish.","
ભજી લે ભગવાન સાચા સંતને મળી....
વચનમાં વિશ્વાસ રાખી ભજનમાં ભળી,
પૂર્વ કેરા પાપ તારા તો જાશે બળી.... ભજી લે ભગવાન સાચા સંતને મળી.

","Bhajī le Bhagwān, sāchā santne maḷī...
Vachanmā vishvās rākhī, bhajanmā bhaḷī;
Pūrav kerā pāp tārā to jāshe baḷī... Bhajī le Bhagwān, sāchā santne maḷī",,Kirtan - Devanand Swami ,"Kirtan - Devanand Swami  - The Benefits of having Vishwās:
"
"The Benefits of having Vishwās:
","One who has faith has established absolute faith in the words of God and His Sant. Therefore, by the strength of his faith in God, he does not harbor any fear of death. Also, he believes, ‘I have attained the manifest form of Purushottam Bhagwān, and thus I am fulfilled. 
"," જે વિશ્વાસી હોય તે તો પ્રત્યક્ષ ભગવાન ને તેના સાધુ તેના વચનને વિષે અતિશય વિશ્વાસને પામ્યો છે, માટે તે ભગવાનના નિશ્ચયના બળ વડે  કરીને મૃત્યુનો ભય રાખે નહીં અને એમ જાણે જે ‘મને પ્રત્યક્ષ પુરુષોત્તમ ભગવાન મળ્યા છે માટે હું કૃતાર્થ છું.’

","Je vishvāsī hoy te to pratyakṣh Bhagwān ne tenā sādhu tenā vachanne viṣhe atishay vishvāsne pāmyo chhe; māṭe te Bhagwānnā nishchaynā baḷ vaḍe karīne mṛutyuno bhay rākhe nahī ane em jāṇe je, ‘Mane pratyakṣh Puruṣhottam Bhagwān maḷyā chhe māṭe hu kṛutārth chhu. 
 
",,"
 Vachanamrut Loya-2","
 Vachanamrut Loya-2 - The Benefits of having Vishwās:
"
"The Benefits of having Vishwās:
","If a person with shraddhā encounters the company of a true Sant (Aksharbrahman Guru) and develops shraddhā in the words of that Sant, then all of the redemptive virtues of swadharma, vairāgya, gnān, bhakti, wisdom, etc., would develop in his heart, and the vicious natures of lust, anger, etc., would be burnt away. (Vachanamrut Sarangpur-18)","જે શ્રદ્ધાવાન પુરુષ હોય અને તેને જો સાચા સંતનો સંગ મળે અને તે સંતના વચનને વિશે શ્રદ્ધાવાન થાય તો એના હૃદયને વિષે વૈરાગ્ય, વિવેક, જ્ઞાન, ભક્તિ આદિક જે કલ્યાણકારી ગુણ તે સર્વે પ્રકટ થઇ આવે છે અને કામ, ક્રોધ આદિક જે વિકાર તે બળી જાય છે. ","Je shraddhāvān puruṣh hoy ane tene jo sāchā santno sang maḷe ane te santnā vachanne viṣhe shraddhāvān thāy, to enā hṛudayne viṣhe swadharma, vairāgya, vivek, gnān, bhakti ādik je kalyāṇkārī guṇ te sarve prakaṭ thaī āve chhe ane kām-krodhādik je vikār te baḷī jāy chhe. 
",,Vachanamrut Sarangpur-18,"Vachanamrut Sarangpur-18 - The Benefits of having Vishwās:
"
"How to develop Vishwās 
","“If one can realize the greatness of God, then even if one has weak shraddhā, it will grow stronger.” 
",“જો ભગવાનનું માહાત્મ્ય જણાય તો મંદ શ્રદ્ધા હોય તે પણ વૃદ્ધિને પામે.” ,"
“Jo Bhagwānnu māhātmya jaṇāy to mand shraddhā hoy te paṇ vṛuddhine pāme.
",,Vachanamrut Gadhada II-16,"Vachanamrut Gadhada II-16 - How to develop Vishwās 
"
"How to develop Vishwās 
","“ How can faith be increased?” So Swami said, “When one realizes that the great Sadhu (Aksharbrahman Guru) who is speaking to him is not a human speaking. He realizes that it is God who is speaking through him and considers him to be God. Also, he performs his service, offers worship to him and respects him.” 
","“શ્રદ્ધા કેમ વધુ થાય?” એટલે સ્વામી કહે, “એને એમ જણાય જે, મોટા સંત બોલે છે તે કાંઈ માણસ નથી બોલતા. એ તો એમ જાણે છે જે, ઈશ્વર બોલે છે. ને એને વિષે એને દેવબુદ્ધિ હોય, ને તેની પાછી સેવા-ભક્તિ કરે ને વિનય કરે, તેણે કરીને શ્રદ્ધા થાય છે.
","“Shraddhā kem vadhu thāy?” Eṭle Swāmī kahe, “Ene em jaṇāy je, Moṭā Sant bole chhe te kāī māṇas nathī boltā. E to em jāṇe chhe je, īshwar bole chhe. Ne ene viṣhe ene devbuddhi hoy, ne tenī pāchhī sevā-bhakti kare ne vinay kare, teṇe karīne shraddhā thāy chhe.” ",,Swamini Vat 6/23,"Swamini Vat 6/23 - How to develop Vishwās 
"
Vishwās in Bhagwān and the Sant,"When the Sant tells him, ‘You are distinct from the mind, body, indriyas and prāns; you are satya; you are the knower of the body, indriyas and prāns, which are all asatya’ - he accepts this to be the truth. He then behaves as the ātmā - distinct from them all - but never follows the instincts of his own mind. ","""ભગવાન અને સંત તે જે જે વચન કહે તેને પરમ સત્ય કરીને માને, પણ તે વચનને વિષે સંશય કરે નહીં. અને સંત કહે જે , ‘તું દેહ, ઇન્દ્રિય, મન, પ્રાણથી જુદો છું અને સત્ય છું અને એનો જાણનારો છું, અને એ દેહાદિક સર્વે અસત્ય છે, 'એમ વચન કહે તેને સત્ય માનીને તે સર્વેથી જુદો આત્મારૂપે વર્તે પણ મનના ઘાટ ભેળો ભળી જાય નહીં. 
","Bhagwān ane Sant te je je vachan kahe tene param satya karīne māne, paṇ te vachanne vishe sanshay kare nahī. Ane Sant kahe je, ‘Tu deh, indriya, man, prāṇthī judo chhu ane satya chhu ane eno jāṇnāro chhu, ane dehādik sarve asatya chhe,’ em vachan kahe tene satya mānīne te sarvathī judo ātmārūpe varte paṇ mannā ghāṭ bheḷo bhaḷī jāy nahī.
",, Vachanamrut Gadhada I-16, Vachanamrut Gadhada I-16 - Vishwās in Bhagwān and the Sant
Vishwās in Bhagwān and the Sant,"In the village of Pīṭhvājāḷ, Swami said, “Someone may ask what Akshardham is like. Well, we have seen God, seen those who live in Akshardham, seen the servants of God, seen those who live near God and have talked to them. Now, the only thing left is that we cannot see the divine light of Akshardham. And God resides in this Sadhu (Aksharbrahman Guru), therefore keep trust in him.”","ગામ પીઠવાજાળમાં વાત કરી જે, કોઈ કહેશે જે અક્ષરધામ કેવું હશે? તો આપણે તો ભગવાન દીઠા છે, અક્ષરધામમાં રહેનારા દીઠા છે, ભગવાનની હજૂરના ને ભગવાનની પાસે રહેનારા દીઠા છે, ને કાનમાં વાતું કરી છે, હવે તો તેજ દેખાતું નથી એટલું બાકી છે. માટે આ સાધુ છે તેમાં જ ભગવાન રહ્યા છે, માટે વિશ્વાસ રાખજો. 
","Gām Pīṭhvājāḷmā vāt karī je, “Koī kaheshe je Akṣhardhām kevu hashe? To āpaṇe to Bhagwān dīṭhā chhe, Akṣhardhāmmā rahenārā dīṭhā chhe, Bhagwānnī hajūrnā ne Bhagwānnī pāse rahenārā dīṭhā chhe, ne kānmā vātu karī chhe, have to tej dekhātu nathī eṭlu bākī chhe. Māṭe ā Sādhu chhe temāj Bhagwān rahyā chhe, māṭe vishvās rākhjo.” ",,Swamini Vat 4/66,Swamini Vat 4/66
Vishwās in Bhagwān and the Sant,"One should develop firm faith in Bhagwān and the guru, renounce feebleness, have patience and derive strength from Bhagwān. ","ભગવાન તથા ગુરુને વિષે વિશ્વાસ દૃઢ કરવો, નિર્બળતાનો ત્યાગ કરવો, ધીરજ રાખવી તથા ભગવાનનું બળ રાખવું. 
","Bhagwān tathā gurune viṣhe vishvās dṛaḍh karvo, nirbaḷtāno tyāg karvo, dhīraj rākhvī tathā Bhagwānnu baḷ rākhvu. 
",,Satsang Diksha Shlok 132,Satsang Diksha Shlok 132 - Vishwās in Bhagwān and the Sant
Vishwās in Bhagwān and the Sant,"At approximately 11:20am, Mahant Swami Maharaj arrived with Harikrishna Maharaj. During the morning session, a special book compiled on Mahant Swami Maharaj’s life was presented to him by the Pujya Swamis and Yuvak karyakars that had researched, compiled, written and designed the book. This was the first publication on Mahant Swami Maharaj. Pujya Atmaswarup Swami and Pujya Yagnavallabh Swami inaugurated this publication. At that time, the Yuvaks huddled around Swamishri and asked him, ""Swami! Look how beautiful this murti is! While we were compiling this book, particularly towards the end, there were a lot of late nights as the book took shape. During the final weeks, all we could see was this murti of yours in all 3 states. Likewise, on behalf of all of the Yuvaks and Yuvatis that are seated across from you, what can we do to eternally see your murti in our hearts?” At first, Swamishri became a little shy and began to smile. After 16 long seconds of silence, Swamishri replied with a short and sweet answer, “Unflinching faith.” (June 25, 2017 | Atlanta | Yuvak-Yuvati Din)
",,,,,Prasang
